soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soybeans_base,wheat_base,oats_base,hay_base,prod_index
"CANA,V",SIL,2-6,S,MW,2,95,34,38,60,4.6,69
"CANA,V",SIL,6-18,S,MW,3,85,30,35,55,4.2,62
"CANA,V",SIL,8-15,M,MW,2,85,30,35,55,3.5,58
"CANA,V",SIL,15-25,M,MW,3,80,0,35,50,3,52
CANADICE,SIL,0-2,S,P,3,75,28,30,60,3,52
CANADICE,SICL,0-2,S,P,3,75,28,30,60,3,52
"CANADICE,V",MUCK,0-2,S,P,10,80,30,0,0,3,53
CANADICE-CANEADEA,SIL,0-2,S,P,3,83,30,33,65,3,55
CANAL,SIL,0-2,S,SWP,2,110,34,40,74,4,70
CANEADEA,SIL,0-2,S,SWP,2,98,34,38,73,3.4,63
CANEADEA,SIL,2-6,S,SWP,2,94,32,38,72,3.2,60
CANEADEA,SIL,6-12,M,SWP,3,86,30,35,66,3,56
CANEADEA,SIL,12-18,M,SWP,3,0,0,0,0,2.5,42
CANEADEA,SICL,0-2,S,SWP,2,89,31,35,0,3.1,56
CANEADEA,SICL,0-3,S,SWP,2,89,31,35,68,3.1,57
CANEADEA-CANADICE,SIL,0-2,S,SWP,3,83,30,33,65,3,55
"CANEADEA-CANADICE,C",,0-2,S,SWP,3,83,30,33,65,3,55
CANFIELD,SIL,0-2,S,MW,2,112,38,52,80,4.2,75
CANFIELD,SIL,2-5,S,MW,2,110,36,52,80,4,73
CANFIELD,SIL,2-5,M,MW,2,106,35,50,77,4,71
CANFIELD,SIL,2-6,S,MW,2,110,36,52,80,4,73
CANFIELD,SIL,2-6,M,MW,2,106,35,50,77,4,71
CANFIELD,SIL,3-8,S,MW,2,110,36,52,80,4,73
CANFIELD,SIL,5-10,S,MW,2,103,35,48,74,3.5,67
CANFIELD,SIL,5-10,M,MW,2,99,34,46,71,3.2,63
CANFIELD,SIL,6-12,S,MW,2,103,35,48,74,3.5,67
CANFIELD,SIL,6-12,M,MW,2,99,34,46,71,3.2,63
CANFIELD,SIL,8-15,S,MW,2,99,33,46,70,3.2,63
CANFIELD,SIL,12-18,S,MW,3,95,32,44,67,3.1,60
CANFIELD,SIL,12-18,M,MW,3,91,31,42,64,3,58
CANFIELD,SIL,12-20,S,MW,3,94,32,44,67,3.1,60
"CANFIELD,SS-SUBST",SIL,2-6,S,MW,2,110,36,52,80,4,73
"CANFIELD,V,MOD.SHALLOW",SIL,2-6,S,MW,2,105,35,40,75,3,62
"CANFIELD,V,MOD.SHALLOW",SIL,6-12,S,MW,2,95,30,35,70,3,58
CAPTINA,SIL,2-6,S,MW,2,94,33,40,71,4.2,67
CAPTINA,SIL,6-12,M,MW,2,86,30,36,65,3.8,61
CAPTINA,SIL,12-18,M,MW,3,83,29,35,62,3.6,59
CARDINAL,SIL,6-12,M,MW,3,60,24,25,56,2.3,42
CARDINAL,SIL,12-18,M,MW,3,0,0,0,0,1.8,30
CARDINGTON,FSL,2-6,S,MW,2,105,35,46,76,3.7,68
CARDINGTON,SIL,0-2,S,MW,2,110,37,50,81,4,73
CARDINGTON,SIL,2-6,S,MW,2,105,36,48,78,3.7,69
CARDINGTON,SIL,2-6,M,MW,2,100,34,46,74,3.5,66
CARDINGTON,SIL,6-12,S,MW,2,100,34,46,75,3.5,66
CARDINGTON,SIL,6-12,M,MW,2,95,33,44,72,3.3,62
CARDINGTON,SIL,6-12,SE,MW,3,85,24,26,68,3,53
CARDINGTON,SIL,12-18,M,MW,3,70,30,40,65,3.2,55
CARDINGTON,SIL,12-20,M,MW,3,69,30,40,64,3.2,55
CARDINGTON,SIL,12-25,M,MW,3,0,0,0,0,3,50
CARDINGTON,SICL,6-12,M,MW,2,92,32,42,70,3.3,61
CARDINGTON,SICL,6-12,SE,MW,3,80,23,25,65,2.8,50
CARLISLE,MK-SIL,0-2,S,VP,10,128,42,0,0,3,86
CARLISLE,MUCK,0-1,S,VP,10,128,42,0,0,3,86
CARLISLE,MUCK,0-2,S,VP,10,128,42,0,0,3,86
"CARLISLE,PO-PH",MUCK,0-2,S,VP,10,0,0,0,0,0,0
"CARLISLE,DRAINED",MUCK,0-2,S,VP,10,128,42,0,0,3,86
"CARLISLE,UNDRAINED",MUCK,0-2,S,VP,10,0,0,0,0,0,0
CARLISLE,SICL,0-2,S,VP,10,124,41,0,0,3,84
CASCO,GR-L,6-12,S,W,3,71,31,44,57,2.6,51
CASCO,GR-L,8-15,M,W,3,75,0,0,0,2.4,45
CASCO,GR-L,12-18,M,W,3,0,0,0,0,2.3,38
CASCO,GR-L,12-18,SE,W,3,0,0,0,0,2.5,42
CASCO,GR-L,12-20,M,W,3,0,0,0,0,2.3,38
CASCO,L,2-6,S,W,3,76,34,48,60,2.8,55
CASCO,L,2-6,M,W,3,73,33,47,58,2.7,54
CASCO,L,6-12,M,W,3,70,32,45,56,2.6,51
CASCO,L,15-25,S,W,3,0,0,0,0,2,33
CASCO,L,18-25,M,W,3,0,0,0,0,0,0
CASCO,SIL,0-6,S,W,3,77,34,48,60,2.8,56
CASCO,SIL,12-18,M,W,3,0,0,0,0,2.4,40
CASCO,CL,18-25,SE,W,3,0,0,0,0,0,0
CASCO-ELDEAN,L,12-18,M,W,3,0,0,0,0,2.5,42
"CASCO-ELDEAN,C",,12-18,M,W,3,0,0,0,0,2.5,42
CASCO-FOX,SOILS,6-12,M,W,3,68,26,37,64,3,52
"CASCO-KENDALLVILLE,C",,12-18,S,W,3,0,0,0,0,2.6,43
"CASCO-MIAMI-FOX,C",,12-18,M,W,3,0,0,0,0,2.6,43
CASCO-RODMAN,GR-L,6-18,M,W,3,0,0,0,0,2,33
CASCO-RODMAN,GR-L,12-18,S,W,3,0,0,0,0,2.4,40
"CASCO-RODMAN,C",,2-12,M,W,3,65,24,32,64,3,50
"CASCO-RODMAN,C",,12-18,M,W,3,0,0,0,0,0,0
CASCO-RODMAN-FOX,SOILS,18-25,M,W,3,0,0,0,0,0,0
"CASCO,V,VERY FLAGGY SUBSL",L,0-2,S,W,2,75,30,48,65,3,56
"CASCO,V,VERY FLAGGY SUBSL",L,2-6,S,W,3,72,29,45,60,3,54
"CASCO,V,VERY FLAGGY SUBSL",L,6-18,S,W,3,70,21,32,48,2.4,45
CASTALIA,CBV-L,0-2,S,W,3,0,0,0,0,0,0
CASTALIA,CN-SIL,0-2,S,W,3,50,0,40,50,2.5,44
CASTALIA,CN-SIL,2-6,S,W,3,48,0,38,48,2.5,43
CASTALIA,CNV-L,0-2,S,W,3,50,0,40,50,2.5,44
CASTALIA,CNV-L,2-6,S,W,3,48,0,38,48,2.5,43
CASTALIA,CNV-L,12-18,S,W,3,0,0,0,0,0,0
CASTALIA,CNV-SIL,0-2,S,W,3,50,0,40,50,2.5,44
CASTALIA,CNV-SIL,2-6,S,W,3,48,0,38,48,2.5,43
CASTALIA,STV-FSL,1-6,S,W,3,0,0,0,0,0,0
CASTALIA,STV-L,1-6,S,W,3,0,0,0,0,0,0
"CASTALIA-MARBLEHEAD,C",STV,0-6,S,W,3,0,0,0,0,0,0
CAVODE,SIL,2-5,S,SWP,2,86,32,42,66,4,64
CAVODE,SIL,5-10,S,SWP,2,82,30,38,60,3.8,60
CAVODE,SIL,5-10,M,SWP,2,78,28,34,58,3.6,57
CELINA,SIL,0-2,S,MW,2,116,40,54,73,4.7,79
CELINA,SIL,2-6,S,MW,2,112,38,52,70,4.5,76
CELINA,SIL,2-6,M,MW,2,106,36,50,66,4.4,73
CELINA,SIL,6-12,M,MW,2,100,34,48,62,4.2,69
CELINA,BY-SIL,2-6,S,MW,2,100,33,40,70,3.5,64
"CELINA,LM-SUBST",SIL,0-2,S,MW,2,116,40,54,73,4.7,79
CELINA-CROSBY,SIL,0-2,S,MW,2,117,40,53,73,4.8,80
CELINA-LOSANTVILLE,SIL,2-6,S,MW,2,107,37,50,67,4.5,74
CELINA-LOSANTVILLE,SIL,2-6,M,MW,2,101,34,48,64,4.3,70
CELINA-MIAMI,SIL,6-12,M,MW,2,100,34,48,62,4.2,69
CELINA-XENIA,SIL,0-2,S,MW,2,116,40,54,73,4.7,79
CELINA-XENIA,SIL,2-6,S,MW,2,112,38,52,70,4.5,76
"CELINA,V",SIL,6-15,S,MW,2,85,20,37,0,4.2,61
"CELINA-STRAWN,C",,0-2,S,MW,2,108,34,46,67,4.6,74
"CELINA-STRAWN,C",,2-6,S,MW,2,105,33,45,65,4.5,72
CENTERBURG,SIL,1-4,S,MW,2,112,38,47,79,4.6,77
CENTERBURG,SIL,2-6,S,MW,2,110,36,46,76,4.5,75
CENTERBURG,SIL,2-6,M,MW,2,106,35,44,73,4.3,72
CENTERBURG,SIL,6-12,S,MW,2,105,34,45,75,4.3,72
CENTERBURG,SIL,6-12,M,MW,2,100,33,42,72,4.1,68
CERESCO,SL,0-2,S,SWP,2,105,40,36,70,4.5,72
"CERESCO,OF-PH",SL,0-2,S,SWP,2,105,40,36,70,4.5,72
CHAGRIN,L,0-2,S,W,2,120,42,40,70,4.6,77
"CHAGRIN,ALK-PH",L,0-2,S,W,2,110,42,42,74,4.5,75
"CHAGRIN,FF-PH",L,0-2,S,W,11,90,35,35,60,3,57
"CHAGRIN,OF-PH",L,0-2,S,W,2,120,42,40,70,4.6,77
"CHAGRIN,RF-PH",L,0-2,S,W,2,125,40,45,74,5,81
CHAGRIN,SIL,0-2,S,W,2,120,42,40,70,4.6,77
"CHAGRIN,ALK-PH.",SIL,0-2,S,W,2,130,42,45,80,4.5,80
"CHAGRIN,FF-PH",SIL,0-2,S,W,11,90,35,35,60,3,57
"CHAGRIN,OF-PH",SIL,0-2,S,W,2,120,42,40,70,4.6,77
"CHAGRIN,RF-PH",SIL,0-2,S,W,2,130,46,54,80,5,86
CHANNAHON,SIL,0-2,S,W,3,68,27,42,52,3,52
CHANNAHON,SIL,2-6,S,W,3,65,26,40,50,2.9,50
CHANNAHON-FAIRMONT,SOILS,18-25,M,W,3,0,0,0,0,2.6,43
"CHANNAHON-BIGLICK,C",,6-12,S,W,3,58,23,34,53,2.7,46
CHAVIES,L,0-2,S,W,2,89,31,39,63,3.7,62
CHAVIES,L,0-6,S,W,2,86,30,38,61,3.7,61
CHAVIES,L,2-6,S,W,2,85,29,38,61,3.6,59
CHAVIES,SIL,6-15,S,W,2,79,28,35,56,3.4,56
"CHAVIES,RF-PH",SIL,0-2,S,W,2,89,31,39,63,3.7,62
"CHAVIES,RF-PH",SIL,2-6,S,W,2,85,29,40,62,3.3,58
"CHAVIES,RF-PH",FSL,0-2,S,W,2,86,30,38,61,3.6,60
CHENANGO,GR-L,0-2,S,W,2,97,32,41,69,3.5,63
CHENANGO,GR-L,2-6,S,W,2,93,31,39,66,3.5,61
CHENANGO,GR-L,6-12,S,W,2,88,30,36,62,3.6,60
CHENANGO,GR-L,6-12,M,W,2,85,29,35,60,3.5,58
CHENANGO,GR-L,12-18,S,W,2,82,29,34,58,3.6,58
CHENANGO,SIL,0-2,S,W,2,100,33,42,71,4,68
CHENANGO,SIL,2-6,S,W,2,96,32,40,68,4,66
CHENANGO,SIL,6-12,M,W,2,89,30,38,63,3.8,62
CHENANGO,SIL,12-18,M,W,3,81,28,33,57,3.6,57
CHILI,GR-L,0-3,S,W,2,100,32,44,68,3.6,65
CHILI,GR-L,2-5,S,W,2,97,31,43,66,3.5,63
CHILI,GR-L,2-6,S,W,2,97,31,43,66,3.5,63
CHILI,GR-L,3-8,S,W,2,95,30,42,65,3.4,61
CHILI,GR-L,5-10,M,W,2,89,29,40,61,3.2,58
CHILI,GR-L,6-12,S,W,2,93,30,41,64,3.3,60
CHILI,GR-L,6-12,M,W,2,89,29,40,61,3.2,58
CHILI,GR-L,8-15,S,W,2,89,28,40,61,3.2,58
CHILI,GR-L,10-15,M,W,3,81,26,36,55,2.9,52
CHILI,GR-L,12-18,S,W,3,85,27,38,58,3,55
CHILI,GR-L,12-18,M,W,3,81,26,36,55,2.9,52
CHILI,GR-L,12-25,M,W,3,0,28,28,44,2.8,47
CHILI,GR-L,18-25,S,W,3,0,0,0,0,2.6,43
CHILI,GR-L,18-25,M,W,3,0,0,0,0,2.4,40
CHILI,L,0-2,S,W,2,104,33,46,71,4,69
CHILI,L,0-3,S,W,2,104,33,46,71,4,69
CHILI,L,2-5,S,W,2,100,32,44,68,4,67
CHILI,L,2-5,M,W,2,96,31,42,65,3.5,62
CHILI,L,2-6,S,W,2,100,32,44,68,4,67
CHILI,L,3-8,S,W,2,100,32,44,68,4,67
CHILI,L,5-10,S,W,2,96,30,42,65,3.8,64
CHILI,L,5-10,M,W,2,92,29,40,62,3.3,59
CHILI,L,6-12,S,W,2,95,30,42,65,3.4,61
CHILI,L,6-12,M,W,2,92,29,40,62,3.3,59
CHILI,L,6-15,S,W,2,94,29,40,62,3.3,60
CHILI,L,8-15,M,W,2,92,29,40,62,3.3,59
CHILI,L,6-18,M,W,3,85,28,32,62,3.2,56
CHILI,L,10-15,S,W,3,92,29,40,62,3.3,59
CHILI,L,10-15,M,W,3,88,28,38,60,3.2,57
CHILI,L,12-18,S,W,3,87,28,39,60,3.1,56
CHILI,L,12-18,M,W,3,84,27,37,58,3,54
CHILI,L,12-20,S,W,3,86,28,39,60,3.1,56
CHILI,L,15-20,M,W,3,84,27,37,58,3,54
CHILI,L,15-25,S,W,3,0,0,0,0,2.7,45
CHILI,L,18-25,S,W,3,0,0,0,0,2.5,42
CHILI,L,18-25,M,W,3,0,0,0,0,2.5,42
"CHILI,L-SUBST",L,2-6,S,W,2,100,32,44,68,4,67
"CHILI,L-SUBST",L,6-12,S,W,2,95,30,42,65,3.4,61
CHILI,SIL,0-2,S,W,2,104,33,46,71,4,69
CHILI,SIL,0-3,S,W,2,104,33,46,71,4,69
CHILI,SIL,2-6,S,W,2,100,32,44,68,4,67
CHILI,SIL,3-8,S,W,2,98,31,43,67,4,67
CHILI,SIL,6-12,S,W,2,96,30,42,65,3.4,62
CHILI,SIL,6-12,M,W,2,92,29,40,62,3.3,59
CHILI,SIL,8-15,S,W,2,92,29,40,62,3.3,59
"CHILI-AMANDA,C",,18-25,S,W,3,0,0,0,0,3.2,53
CHILI-CONOTTON,GR-L,12-18,S,W,3,0,0,26,52,3.2,51
CHILI-CONOTTON,SOILS,12-18,S,W,3,0,0,26,52,3.2,51
CHILI-CONOTTON,SOILS,12-18,SE,W,3,0,0,0,0,0,0
CHILI-CONOTTON,SOILS,18-25,S,W,3,0,0,0,0,2,33
"CHILI-CONOTTON,GRAVELLY",SOILS,18-25,S,W,3,0,0,24,48,2.9,46
CHILI-HOMEWOOD,SIL,6-12,S,W,2,90,32,38,76,4,65
CHILI-HOMEWOOD,SIL,12-18,S,W,3,80,0,36,73,3.7,61
"CHILI-OSHTEMO,C",,6-18,S,W,3,80,0,30,58,3.2,54
"CHILI-OSHTEMO,C",,12-18,S,W,3,75,0,28,55,3.2,52
"CHILI-OSHTEMO,C",,12-18,M,W,3,70,0,26,52,3.1,49
"CHILI-OSHTEMO,C",,18-25,S,W,3,0,0,0,0,2.5,42
"CHILI-WOOSTER,C",,6-12,S,W,2,92,30,35,65,4.3,65
"CHILI-WOOSTER,C",,6-12,M,W,2,90,29,36,68,3.6,61
"CHILI-WOOSTER,C",,12-18,S,W,3,80,0,32,0,3.6,57
"CHILI-WOOSTER,C",,12-18,M,W,3,78,0,31,0,3.6,56
"CHILI-WOOSTER,C",,18-25,S,W,3,78,0,30,0,3.4,54
"CHILI-WOOSTER,C",,18-25,M,W,3,0,0,0,0,3.2,53
CHILI,SOILS,5-10,SE,W,3,64,0,25,27,2,37
CHILI,SOILS,10-15,SE,W,3,0,0,19,19,1.8,28
CHILI,SOILS,15-20,SE,W,3,0,0,0,0,1.5,25
CHILO,SICL,0-2,S,VP,2,116,42,46,68,5,79
CIDERMILL,SIL,0-2,S,W,2,110,40,42,80,4.6,76
CIDERMILL,SIL,0-3,S,W,2,110,40,42,80,4.6,76
CIDERMILL,SIL,2-6,S,W,2,105,35,40,78,4.6,73
CINCINNATI,SIL,1-8,S,W,2,110,36,46,68,4.5,74
CINCINNATI,SIL,2-6,S,W,2,110,36,46,68,4.5,74
CINCINNATI,SIL,2-6,M,W,2,106,35,44,65,4.3,71
CINCINNATI,SIL,3-8,M,W,2,103,34,43,64,4.2,69
CINCINNATI,SIL,6-12,S,W,2,105,34,44,65,4,68
CINCINNATI,SIL,6-12,M,W,2,101,33,42,62,3.9,66
CINCINNATI,SIL,6-15,M,W,2,97,32,42,62,3.8,65
CINCINNATI,SIL,8-15,M,W,2,97,32,42,62,3.8,65
CINCINNATI,SIL,12-18,M,W,3,93,31,40,59,3.9,64
CINCINNATI-HICKORY,SOILS,12-25,SE,W,3,0,0,0,0,2.5,42
"CINCINNATI-WELLSTON,C",,6-12,M,MW,2,100,32,44,64,4,67
CLARKSBURG,SIL,6-12,M,MW,2,92,32,37,64,3.2,59
CLARKSBURG,SIL,6-15,S,MW,2,91,32,37,64,3.2,59
CLARKSBURG,SIL,8-15,M,MW,3,85,30,35,62,3,55
CLARKSBURG,SIL,12-18,M,MW,3,81,28,33,57,3,53
CLARKSBURG,SIL,15-25,S,MW,3,81,28,33,57,3,53
CLARKSBURG,CN-SIL,15-25,S,MW,3,78,26,31,55,2.9,51
"CLAVERACK,V,SI-SUBSL",LFS,0-2,S,MW,2,88,34,40,86,3.6,64
"CLAVERACK,V,SI-SUBSL",LFS,2-6,S,MW,2,84,33,38,83,3.5,62
"CLAVERACK,V,SI-SUBSL",LFS,6-12,S,MW,2,81,31,37,79,3.3,59
"CLAVERACK,V,MOD SHAL",LFS,2-6,S,MW,3,74,29,33,73,3.1,54
"CLAYSVILLE-GUERNSEY,C",,8-15,S,SWP,3,80,0,0,0,3,52
CLERMONT,SIL,0-1,S,P,2,110,36,46,68,4,70
CLERMONT,SIL,0-2,S,P,2,110,36,46,68,4,70
"CLIFTY,OF-PH",SIL,0-2,S,W,2,110,35,35,70,4.5,72
CLYMER,L,8-15,S,W,2,99,26,35,57,3.7,61
CLYMER,L,15-25,S,W,3,90,0,35,52,3,55
CLYMER,SIL,3-8,S,W,2,105,27,38,60,3.9,65
CLYMER,SIL,6-12,S,W,2,104,26,36,58,3.6,62
CLYMER,SIL,8-15,S,W,2,99,26,35,57,3.7,61
CLYMER,SIL,12-18,S,W,3,99,22,32,54,3.3,57
"COBLEN,RF-PH",L,0-2,S,MW,2,140,45,54,78,5.4,90
COHOCTAH,FSL,0-2,S,VP,11,100,42,0,0,4.5,74
"COHOCTAH,OF-PH",FSL,0-2,S,VP,2,120,44,42,74,4.8,79
"COHOCTAH,FF-PH",FSL,0-2,S,VP,11,100,42,0,0,4.5,74
"COHOCTAH,OF-PH",L,0-1,S,VP,2,124,45,42,76,4.8,80
COHOCTAH,L,0-2,S,VP,2,124,45,42,76,4.8,80
COLONIE,LFS,2-6,S,W,3,70,28,30,60,3,51
COLONIE,LFS,6-18,S,W,3,65,26,28,56,2.8,47
COLONIE,LFS,12-18,S,W,3,62,25,27,54,2.7,45
COLWOOD,FSL,0-2,S,VP,2,141,50,58,89,5.6,94
COLWOOD,L,0-1,S,VP,2,145,52,58,92,5.8,97
COLWOOD,L,0-2,S,VP,2,145,52,58,92,5.8,97
COLWOOD,SIL,0-2,S,VP,2,145,52,58,92,5.8,97
"COLWOOD,BR-SUBST",SIL,0-1,S,VP,2,120,40,45,85,4.5,78
"COLWOOD,LM-SUBST",SIL,0-2,S,VP,2,120,40,45,85,4.5,78
"COLWOOD,V,ACID",SICL,0-2,S,VP,2,110,36,48,90,3.5,70
"COLWOOD,V,ACID",SIL,0-2,S,VP,2,105,34,45,90,3.5,68
COLYER,SH-L,0-2,S,W,3,60,25,36,60,2,43
COLYER,SH-L,2-12,S,W,3,56,23,34,56,1.9,40
"COLYER-TRAPPIST,C",,12-18,M,W,3,0,0,0,0,2.5,42
CONDIT,SIL,0-1,S,P,2,88,30,34,68,3.6,60
CONDIT,SIL,0-2,S,P,2,88,30,34,68,3.6,60
CONDIT,SICL,0-2,S,P,2,85,30,33,66,3.6,59
CONDIT-BENNINGTON,SIL,0-2,S,P,2,100,31,34,68,4,65
CONNEAUT,SIL,0-1,S,P,2,92,32,36,70,3.2,59
CONNEAUT,SIL,0-2,S,P,2,92,32,36,70,3.2,59
CONNEAUT,SIL,1-4,S,P,2,90,31,35,69,3.1,58
"CONNEAUT,SH-SUBST",SIL,0-2,S,P,2,92,32,36,70,3.2,59
CONOTTON,GR-L,0-2,S,W,2,87,33,37,58,3.5,59
CONOTTON,GR-L,0-3,S,W,2,87,33,37,58,3.5,59
CONOTTON,GR-L,0-6,S,W,2,84,32,35,56,3.3,57
CONOTTON,GR-L,1-6,S,W,2,84,32,35,56,3.3,57
CONOTTON,GR-L,2-6,S,W,2,84,32,35,56,3.3,57
CONOTTON,GR-L,2-12,S,W,3,80,30,34,53,3.2,54
CONOTTON,GR-L,3-8,S,W,2,82,31,35,55,3.3,56
CONOTTON,GR-L,6-12,S,W,3,80,30,34,53,3.2,54
CONOTTON,GR-L,6-12,M,W,3,74,28,32,49,3,51
CONOTTON,GR-L,6-15,S,W,3,78,29,33,52,3.1,53
CONOTTON,GR-L,6-18,S,W,3,77,29,33,51,3.1,53
CONOTTON,GR-L,12-18,M,W,3,0,0,0,0,2.5,42
CONOTTON,GR-L,15-25,S,W,3,0,0,0,0,0,0
CONOTTON,GR-L,18-25,M,W,3,0,0,0,0,0,0
CONOTTON,L,0-2,S,W,2,90,34,38,60,3.6,61
CONOTTON,L,2-6,S,W,2,87,33,37,58,3.5,59
"CONOTTON-CHILI,C",GR-L,18-25,S,W,3,0,0,0,0,0,0
"CONOTTON-OSHTEMO,C",,12-18,S,W,3,0,0,0,0,2.8,47
"CONOTTON-OSHTEMO,C",,18-25,S,W,3,0,0,0,0,2,33
"CONOTTON,V",GR-L,10-20,S,W,3,71,27,30,47,2.8,48
COOLVILLE,SIL,0-2,S,MW,2,96,35,47,72,4.3,70
COOLVILLE,SIL,1-6,S,MW,2,94,34,46,70,4.2,69
COOLVILLE,SIL,1-8,S,MW,2,92,33,45,69,4.1,67
COOLVILLE,SIL,2-6,S,MW,2,94,34,46,70,4.2,69
COOLVILLE,SIL,3-8,S,MW,2,92,33,45,69,4.1,67
COOLVILLE,SIL,6-12,M,MW,2,88,30,42,66,4,64
COOLVILLE,SIL,8-15,S,MW,2,86,31,42,64,3.9,63
"COOLVILLE-BLAIRTON,AS",,5-20,S,MW,3,88,28,33,64,3.7,60
COOLVILLE-RARDEN,SIL,6-12,M,MW,2,90,30,34,58,3.3,57
COOLVILLE-RARDEN,SIL,8-15,S,MW,2,90,25,35,64,3.7,60
COOLVILLE-RARDEN,SIL,12-18,M,MW,3,90,28,33,57,3.2,56
COOLVILLE-TILSIT,SIL,2-6,S,MW,2,94,34,46,70,4.2,69
CORWIN,SIL,0-2,S,MW,2,121,42,56,81,4.8,82
CORWIN,SIL,2-6,S,MW,2,116,40,54,78,4.6,79
COSHOCTON,L,2-6,S,MW,2,100,33,52,75,4.2,71
COSHOCTON,L,6-15,S,MW,2,94,29,46,70,3.8,65
COSHOCTON,L,15-25,S,MW,3,87,26,33,0,3.1,54
COSHOCTON,SIL,1-7,S,MW,2,102,33,52,78,4.2,72
COSHOCTON,SIL,2-6,S,MW,2,102,33,52,78,4.2,72
COSHOCTON,SIL,3-8,S,MW,2,100,32,51,76,4.1,70
COSHOCTON,SIL,6-12,S,MW,2,98,31,50,75,4,69
COSHOCTON,SIL,6-12,M,MW,2,96,30,46,68,3.8,65
COSHOCTON,SIL,6-15,S,MW,2,97,31,47,74,3.9,67
COSHOCTON,SIL,6-15,M,MW,2,96,30,46,68,3.8,65
COSHOCTON,SIL,8-15,S,MW,2,96,31,46,74,3.9,67
COSHOCTON,SIL,8-15,M,MW,2,95,30,45,68,3.8,65
COSHOCTON,SIL,12-18,S,MW,3,92,28,46,68,3.6,63
COSHOCTON,SIL,12-18,M,MW,3,90,28,41,62,3.6,61
COSHOCTON,SIL,15-25,S,MW,3,87,26,33,0,3.1,54
COSHOCTON,SIL,15-25,M,MW,3,85,25,25,48,3,51
COSHOCTON,SIL,18-25,M,MW,3,85,0,25,55,3,52
"COSHOCTON,VERY STONY",SIL,6-15,S,MW,3,0,0,0,0,0,0
"COSHOCTON,VERY STONY",SIL,12-25,S,MW,3,0,0,0,0,0,0
"COSHOCTON,VERY STONY",SIL,15-25,S,MW,3,0,0,0,0,0,0
COSHOCTON-GUERNSEY,SIL,8-15,S,MW,2,91,30,40,60,3.5,60
COSHOCTON-GUERNSEY,SIL,15-25,S,MW,3,80,0,32,0,3,52
COSHOCTON-GUERNSEY,STV-SIL,8-15,S,MW,3,0,0,0,0,0,0
COSHOCTON-GUERNSEY,STV-SIL,15-25,S,MW,3,0,0,0,0,0,0
COSHOCTON-KEENE,SIL,3-8,S,MW,2,110,35,52,76,4.5,76
"COSHOCTON-RIGLEY,C",,15-25,S,MW,3,82,25,32,0,3,52
"COSHOCTON-WESTMORELAND,C",,15-25,S,MW,3,86,26,33,0,3.3,55
CRANE,SIL,0-2,S,SWP,2,120,42,48,74,4.6,79
CRANE,SIL,1-4,S,SWP,2,120,42,48,74,4.6,79
CRIDER,SIL,1-6,S,W,2,125,40,46,72,4.3,76
CRIDER,SIL,2-6,S,W,2,125,40,46,72,4.3,76
CROSBY,SIL,0-2,S,SWP,2,118,40,50,74,5,81
CROSBY,SIL,2-6,S,SWP,2,114,38,48,70,4.6,76
CROSBY,SIL,2-6,M,SWP,2,110,36,46,66,4.2,72
"CROSBY,LM-SUBST",SIL,0-2,S,SWP,2,115,40,45,75,4.5,76
CROSBY,BY-SIL,0-2,S,SWP,2,95,34,36,70,3.4,62
CROSBY,BY-SIL,0-6,S,SWP,2,92,33,36,70,3.4,61
CROSBY,BY-SIL,2-6,S,SWP,2,90,32,36,70,3.4,60
CROSBY-CELINA,SIL,0-2,S,SWP,2,117,40,50,73,5,81
CROSBY-CELINA,SIL,2-4,S,SWP,2,115,39,49,71,5,80
CROSBY-CELINA,SIL,2-6,S,SWP,2,114,38,48,70,5,79
CROSBY-FINCASTLE,SIL,0-2,S,SWP,2,115,46,46,0,5,81
CROSBY-FINCASTLE,SIL,2-6,S,SWP,2,110,46,44,0,5,80
CROSBY-LEWISBURG,SIL,0-2,S,SWP,2,115,38,45,0,4.8,78
CROSBY-LEWISBURG,SIL,2-6,S,SWP,2,110,35,45,0,4.8,76
CROUSE-MIAMIAN,SIL,6-12,M,MW,2,106,36,47,71,4.4,73
CROUSE-MIAMIAN,SIL,12-18,M,MW,3,100,34,44,67,4.1,68
CRUZE,SIL,6-12,M,MW,2,96,30,36,56,4,63
CRUZE,SIL,8-15,S,MW,2,95,30,35,55,4,63
CRUZE,SIL,12-20,S,MW,3,83,25,30,53,3.8,57
"CUBA,OF-PH",SIL,0-2,S,W,2,110,32,44,80,4.4,73
"CUBA,FF-PH",SIL,0-2,S,W,11,105,30,42,87,4.2,71
CULLEOKA,SIL,3-8,S,W,2,105,34,44,70,4,69
CULLEOKA,SIL,8-15,S,W,2,95,30,41,66,3.7,63
CYCLONE,L,0-2,S,VP,2,132,46,52,76,5.6,89
CYGNET,L,0-2,S,MW,2,100,40,48,84,4.4,74
CYGNET,L,0-3,S,MW,2,99,40,48,83,4.4,74
DAMASCUS,L,0-2,S,P,2,92,28,38,72,3.2,59
"DAMASCUS,T-SUBST",L,0-2,S,P,2,92,28,38,72,3.2,59
DAMASCUS,SIL,0-2,S,P,2,92,28,38,72,3.2,59
DANA,SIL,0-2,S,MW,2,130,46,54,76,4.8,84
DANA,SIL,0-4,S,MW,2,127,45,53,74,4.7,82
DANA,SIL,2-6,S,MW,2,125,44,52,74,4.6,81
