county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,year
pickaway,268583500000,51137240000,NA,89492181000,409212921000,11353516000,NA,2135883000,3688649000,1986
pike,99393310000,34526190000,NA,9679819000,143599319000,5122612000,NA,1687683000,536072000,1986
portage,801228710000,110363980000,NA,144877094000,1056469784000,54066722000,NA,7365256000,9737649000,1986
preble,258800790000,26905950000,NA,27225315000,312932055000,11749600000,NA,1196681000,1262477000,1986
putnam,227109540000,24534930000,NA,28756684000,280401154000,9870440000,NA,1084382000,1139301000,1986
richland,817540680000,103532300000,NA,248057515000,1169130495000,45439738000,NA,5769035000,13419910000,1986
ross,389830470000,47216700000,NA,134831178000,571878348000,19852874000,NA,2392760000,7029319000,1986
sandusky,412129070000,53979210000,NA,127022534000,593130814000,18738781000,NA,2482515000,5759840000,1986
scioto,347944230000,73675920000,NA,77854192000,499474342000,16626891000,NA,3443479000,3438490000,1986
seneca,369601990000,45803160000,NA,107530361000,522935511000,16535907000,NA,2058718000,4741567000,1986
shelby,293142580000,44732510000,NA,127716640000,465591730000,12554297000,NA,1892637000,5292599000,1986
stark,2513498290000,286763090000,NA,651967963000,3452229343000,131813401000,NA,14951627000,32772223000,1986
summit,3696609340000,346197870000,NA,734648307000,4777455517000,237650250000,NA,22199072000,46428163000,1986
trumbull,1495557580000,182799490000,NA,415381142000,2093738212000,80684238000,NA,9677502000,21694090000,1986
tuscarawas,530544080000,72987150000,NA,140262447000,743793677000,24381840000,NA,3309373000,6444312000,1986
union,263252560000,48442080000,NA,156075090000,467769730000,12348345000,NA,2107016000,6267437000,1986
van wert,210461910000,23525790000,NA,49156611000,283144311000,9784895000,NA,1087007000,2295917000,1986
vinton,57013420000,19114950000,NA,17607193000,93735563000,2071673000,NA,675832000,615186000,1986
warren,744189740000,91301290000,NA,99183253000,934674283000,41687244000,NA,5161276000,5572980000,1986
washington,398569300000,99024930000,NA,160199457000,657793687000,16410328000,NA,3776770000,6245473000,1986
wayne,761632960000,68934900000,NA,161990960000,992558820000,37670638000,NA,3361685000,8199626000,1986
williams,234231595000,38094800000,NA,72644439000,344970834000,12899238000,NA,2144961000,3936403000,1986
wood,806259140000,97599590000,NA,188987499000,1092846229000,44066311000,NA,5198836000,9884740000,1986
wyandot,154469540000,19562620000,NA,30150178000,204182338000,7101646000,NA,887230000,1420415000,1986
adams,147440380000,315898460000,16493588000,479832428000,4516442000,8953549000,516324000,13986315000,0,1987
allen,684037260000,105438770000,348335238000,1137811268000,29880246000,4598793000,14795032000,49274071000,1398658000,1987
ashland,290590070000,78810250000,60918123000,430318443000,15104344000,3962598000,3189037000,22255979000,23724000,1987
ashtabula,597592470000,113175610000,125243479000,836011559000,33807439000,6328987000,7129042000,47265468000,1094789000,1987
athens,237941770000,67512000000,19091700000,324545470000,15433627000,4050447000,1248863000,20732938000,1094789000,1987
auglaize,298922310000,32897750000,75258926000,407078986000,14096838000,1549224000,3492690000,19138751000,545275000,1987
belmont,414050520000,105718200000,60707056000,580475776000,19888671000,4848453000,2891421000,27628545000,41518000,1987
brown,169686150000,38470230000,13101240000,221257620000,7203278000,1582548000,568817000,9354643000,8085000,1987
butler,2047599445000,209731020000,447502859000,2704833324000,103856835000,10473610000,21453992000,135784436000,2821049000,1987
carroll,173141820000,41801120000,22644525000,237587465000,8025613000,1861934000,1112705000,11000253000,51936000,1987
champaign,215651020000,31748850000,51921720000,299321590000,11446787000,1684744000,2824887000,15956418000,52071000,1987
clark,794418150000,103727680000,147921308000,1046067138000,44811899000,5817478000,8212562000,58841938000,306778000,1987
clermont,969497590000,197947492000,147278607000,1314723689000,58824740000,11362258000,8016851000,78203850000,371566000,1987
clinton,235933210000,29784250000,52051990000,317769450000,10917312000,1349181000,2441694000,14708187000,135308000,1987
columbiana,533026490000,95523090000,82683939000,711233519000,26905829000,4755859000,4240437000,35902125000,185387000,1987
coshocton,240367630000,174795750000,68800442000,483963822000,10580735000,6327411000,3029651000,19937798000,121120000,1987
