county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,year
athens,335118710000,82880940000,23182464000,441182114000,16358951000,5707571000,1690202000,23756724000,499671000,1993
auglaize,409045790000,42021360000,95421981000,546489131000,16874147000,2162542000,4903424000,23940113000,588681000,1993
belmont,426193880000,134798600000,57502056000,618494536000,19203163000,6974109000,3106904000,29284176000,32389000,1993
brown,224639920000,50445970000,15299042000,290384932000,9224516000,2409815000,699077000,12333408000,21522000,1993
butler,3290003502000,378208250000,473409431000,4141621183000,137997747000,21098285000,26547734000,185643766000,2816950000,1993
carroll,190032660000,47195920000,25260067000,262488647000,7207631000,2294141000,1348878000,10850649000,76969000,1993
champaign,288927030000,33165400000,52697080000,374789510000,12500978000,1958256000,3150075000,17609309000,150726000,1993
clark,1197759400000,133409090000,163635969000,1494804459000,54996894000,8628436000,10437401000,74062731000,329342000,1993
clermont,1594875610000,610846890000,165837837000,2371560337000,70441523000,35509738000,10915253000,116866515000,350564000,1993
clinton,330637190000,48252860000,65211775000,444101825000,13606886000,2357215000,3311562000,19275663000,234747000,1993
columbiana,673250790000,117427740000,110402423000,901080953000,30428353000,7052985000,6692830000,44174168000,144300000,1993
coshocton,269591310000,183979240000,67833003000,521403553000,10708826000,7753053000,3282463000,21744342000,91283000,1993
crawford,307579060000,41214250000,77544119000,426337429000,14821254000,2634492000,4901390000,22357136000,77130000,1993
cuyahoga,16923520210000,1446063020000,2391274540000,20760857770000,1003242495000,124160466000,191461752000,1318864713000,25118253000,1993
darke,470251400000,58281970000,77386780000,605920150000,16890087000,2578814000,3609056000,23077957000,147832000,1993
defiance,331763480000,81336250000,60274137000,473373867000,13641535000,4277307000,3138271000,21057112000,381900000,1993
delaware,1270604590000,118373870000,103069986000,1492048446000,57804952000,6937705000,6252488000,70995145000,106057000,1993
erie,835053090000,103031110000,147779087000,1085863287000,41536751000,7600293000,11022999000,60160043000,1705305000,1993
fairfield,1024153290000,112207850000,100275897000,1236637037000,46088413000,7567382000,6905492000,60561287000,194962000,1993
fayette,199233520000,47899480000,36974613000,284107613000,8497917000,2313352000,1889956000,12701226000,199652000,1993
franklin,12555130560000,912177910000,1825363330000,15292671800000,694925575000,71108933000,138674914000,904709423000,2194827000,1993
fulton,368227940000,66716220000,82761741000,517705901000,17983759000,4319674000,5379652000,27683086000,409811000,1993
gallia,219133980000,266008460000,22595973000,507738413000,7184556000,9522074000,900679000,17607310000,41682000,1993
geauga,1333116480000,103712240000,91942238000,1528770958000,64646699000,8553491000,7581152000,80781342000,601386000,1993
greene,1564577280000,143678590000,102763758000,1811019628000,73440249000,9762168000,7106943000,90309360000,1895086000,1993
guernsey,234796980000,57873110000,53898571000,346568661000,12939777000,3599279000,3520445000,20059502000,46127000,1993
hamilton,11029472030000,1084285090000,1918342620000,14032099740000,576858724000,82885942000,139573778000,799318444000,3416172000,1993
hancock,725425400000,89656210000,183864510000,998946120000,29300650000,4515901000,9399473000,43216024000,457326000,1993
hardin,228133730000,35124000000,34774972000,298032702000,NA,1750046000,1857661000,3607707000,NA,1993
harrison,118793350000,33043740000,13292895000,165129985000,5152699000,1843823000,756970000,7753492000,39925000,1993
henry,262602140000,43761980000,65847722000,372211842000,12664754000,2663642000,4045918000,19374313000,672322000,1993
highland,219592000000,31989390000,32787336000,284368726000,7991290000,1414704000,1452854000,10858847000,34068000,1993
hocking,171128960000,66993120000,22086055000,260208135000,7349119000,3881217000,1239291000,12469627000,26124000,1993
holmes,274046580000,35224990000,46653880000,355925450000,11604326000,1833147000,2357993000,15795465000,65268000,1993
huron,430273730000,59177280000,107347877000,596798887000,17346235000,3396562000,6384936000,27127734000,191435000,1993
jackson,187845520000,49684450000,35848493000,273378463000,7249763000,2051788000,1612256000,10913808000,8277000,1993
jefferson,447746050000,440090110000,108883380000,996719540000,19060513000,20920424000,5779785000,45760722000,199453000,1993
knox,407289470000,49316460000,77041358000,533647288000,18864393000,2835843000,4230990000,25931226000,926606000,1993
lake,2773986260000,772670680000,459118851000,4005775791000,145444626000,57418267000,35759968000,238622860000,6853543000,1993
lawrence,310687650000,78292410000,54966529000,443946589000,10879563000,2932217000,2019573000,15831353000,161678000,1993
licking,1312243360000,150942850000,195624434000,1658810644000,57283381000,8849843000,11200289000,77333512000,634856000,1993
logan,398233320000,52711150000,143947415000,594891885000,16846941000,2995146000,8056138000,27898225000,695342000,1993
lorain,2362495180000,373355140000,417373667000,3153223987000,127357041000,27147277000,30744679000,185248997000,2161991000,1993
lucas,4180080030000,538556300000,706832872000,5425469202000,244766069000,42796183000,55737831000,343300083000,14702300000,1993
madison,317859780000,54307670000,37749829000,409917279000,14237075000,2835303000,2079268000,19151646000,357751000,1993
mahoning,2087608980000,258722990000,262299680000,2608631650000,108137109000,17815474000,18591578000,144544160000,893268000,1993
marion,434363870000,69470660000,124222405000,628056935000,20722994000,4272051000,7437143000,32432187000,418489000,1993
medina,1486734420000,157599210000,164232670000,1808566300000,76852181000,12265454000,12820389000,101938024000,2111064000,1993
meigs,139917030000,57826440000,29561130000,227304600000,5294242000,2452011000,1176203000,8922456000,0,1993
mercer,397665430000,31910150000,50261131000,479836711000,15659090000,1473337000,2272201000,19404628000,348585000,1993
miami,939181050000,91337000000,242993484000,1273511534000,37830165000,5688580000,14746095000,58264840000,591067000,1993
monroe,107366360000,50992080000,69625720000,227984160000,3779812000,2277853000,3061442000,9119107000,5289000,1993
montgomery,5780889440000,521650200000,872794525000,7175334165000,330597775000,41979728000,68411690000,440989193000,7356053000,1993
morgan,102490480000,91684780000,24222750000,218398010000,3618249000,3897010000,1061312000,8576570000,0,1993
morrow,208388420000,47000630000,14683225000,270072275000,9664886000,2756690000,924493000,13346068000,146578000,1993
muskingum,526413630000,102241430000,99133094000,727788154000,22209949000,5880262000,5753845000,33844056000,455816000,1993
noble,79120840000,40965150000,12963863000,133049853000,3371575000,1934710000,563552000,5869837000,0,1993
ottawa,589664310000,378586370000,114245747000,1082496427000,22459818000,17000566000,5909716000,45370100000,1227072000,1993
paulding,136381110000,25953500000,16974520000,179309130000,6701957000,1411343000,956626000,9069927000,310131000,1993
perry,173980950000,41085930000,17289907000,232356787000,7394965000,2267131000,943495000,10605591000,19273000,1993
pickaway,406389140000,81059030000,93464401000,580912571000,17069194000,4200320000,5173704000,26443218000,101378000,1993
pike,131227110000,43520000000,17733742000,192480852000,5791808000,2263663000,1176127000,9231598000,0,1993
portage,1154898220000,152972090000,156061345000,1463931655000,59993005000,11897520000,12587336000,84477861000,1409494000,1993
preble,344488660000,57730270000,51534960000,453753890000,14130521000,2969680000,2656559000,19756759000,421083000,1993
putnam,292427170000,32598040000,45193847000,370219057000,11456278000,1537148000,1966015000,14959441000,63496000,1993
richland,1055766910000,149879750000,222966602000,1428613262000,51984867000,10048287000,14471413000,76504566000,934595000,1993
ross,432108650000,72718120000,139511220000,644337990000,17871693000,3803473000,7510923000,29186089000,149090000,1993
sandusky,489338370000,77180070000,128369889000,694888329000,20279134000,4062577000,6590949000,30932660000,445254000,1993
scioto,416048180000,97721500000,57683040000,571452720000,17753610000,5274816000,3061929000,26090355000,236636000,1993
seneca,439692140000,69323670000,95929914000,604945724000,18699336000,3779041000,5356832000,27835209000,241391000,1993
shelby,461021270000,45667390000,202786783000,709475443000,16029934000,2184276000,9364985000,27579195000,585847000,1993
stark,3173052500000,377940400000,621920345000,4172913245000,150180822000,24866665000,39981084000,215028572000,1011709000,1993
summit,5820485720000,478831300000,849862632000,7149179652000,298619964000,34996418000,60753519000,394369901000,15876089000,1993
trumbull,1809269110000,247173340000,391655426000,2448097876000,88491057000,15488083000,24218624000,128197764000,1073511000,1993
tuscarawas,669041300000,96010440000,144021608000,909073348000,28471667000,5215691000,7947433000,41634791000,112241000,1993
union,358148578000,59927520000,137401452000,555477550000,18711271000,3595914000,8462102000,30769287000,134160000,1993
van wert,256868930000,26770850000,39608873000,323248653000,11842739000,1562950000,2333568000,15739258000,759375000,1993
vinton,63416330000,32775090000,15259719000,111451139000,2323945000,1225346000,558230000,4107521000,0,1993
warren,1313743860000,191915170000,180832896000,1686491926000,57098500000,12449197000,11731627000,81279325000,2450432000,1993
washington,453952700000,120230790000,156661107000,730844597000,18638163000,5649812000,7403588000,31691563000,34512000,1993
wayne,917255570000,111575690000,175547282000,1204378542000,46239205000,7208608000,12059771000,65507583000,158484000,1993
williams,273596830000,53506670000,90019850000,417123350000,12958224000,3346975000,5842708000,22147908000,406489000,1993
wood,1171940490000,161511040000,202963679000,1536415209000,57083602000,10948170000,13884312000,81916084000,2463423000,1993
wyandot,166930670000,20022050000,30275978000,217228698000,6479892000,1011329000,1535835000,9027056000,39731000,1993
adams,180903400,306146800,24211800,511262100,7264400,12613800,1103900,20982100,4086000,1994
allen,916765600,135178900,361666800,1413611300,38109600,6711300,17364700,62185600,1859896000,1994
ashland,378773100,93852400,72317800,544943200,18723000,5797900,4803700,29324700,5145000,1994
ashtabula,734430400,152849400,133819100,1021098900,38207500,10558800,9363800,58130000,1638220000,1994
athens,343322500,87066000,27077800,457466300,18763600,6261300,2046100,27071000,201691000,1994
auglaize,415386500,43565200,101247300,560199000,17080300,2236700,5206400,24523400,607596000,1994
belmont,483944100,139686800,58830800,682461700,20515900,7292500,3198700,31007100,33737000,1994
brown,264911800,48238500,15713600,328863900,10115200,2269500,686700,13071400,18262000,1994
butler,3386156400,400692900,522958400,4309807700,151000900,22849000,29741800,203591700,2966405000,1994
carroll,197231600,54477200,31284900,282993600,7687600,2683300,1665300,12036200,76340000,1994
champaign,293475400,34245000,55126600,382847000,12651200,2017900,3314500,17983600,41959000,1994
clark,1214565900,134115500,181648200,1530329600,57523800,8807800,11859400,78190900,312036000,1994
clermont,1700475900,607226900,167743700,2475446500,81878500,36085800,12085200,130049500,315132000,1994
clinton,338786800,52802700,75066800,466656200,14050700,2604300,3839700,20494700,241654000,1994
columbiana,682664000,118285500,129252100,930201600,32224300,7089600,7886900,47200800,151463000,1994
coshocton,289991900,185012600,73369100,548373500,11462400,7828700,3567500,22858700,93095000,1994
crawford,344106800,43243700,82412300,469762800,16833900,2956000,5617100,25407000,74530000,1994
cuyahoga,18770759100,1468398200,2451538400,22690695700,1067458399.9999999,127335200,198232500,1393026100,27543688000,1994
darke,479362800,55695600,93053800,628112100,17434100,2489800,4332100,24255900,192899000,1994
defiance,335843500,85210300,68747300,489801100,13778400,4512800,3581700,21872900,391732000,1994
delaware,1376740300,124775400,101075100,1602590800,66907500,7565400,6281600,80754500,84539000,1994
erie,980322900,107011000,151318600,1238652600,45281700,7882300,11198300,64362300,1660688000,1994
fairfield,1056041300,113252000,102758800,1272052100,46136800,7441200,6885500,60463500,269493000,1994
fayette,255135600,63315100,40121600,358572300,9926500,3016500,2046300,14989400,113572000,1994
franklin,12768360000,983248400,1902260000,15653868400,733933700,78949600,149056900,961940100,2529492000,1994
fulton,376692800,68728800,92264100,537685700,17672000,4361300,5827800,27861100,468070000,1994
gallia,221392400,261089800,22821400,505303600,7095900,8926500,897200,16919600,44012000,1994
geauga,1374356900,107639700,95604200,1577600900,68927500,9016600,7826200,85770400,600714000,1994
greene,1666584800,148865200,127792500,1943242600,77978800,10092200,8850900,96922000,2116245000,1994
guernsey,243470200,60845900,66944200,371260400,13058800,3746900,4288100,21093800,49437000,1994
hamilton,11165473400,1126310900,1891684500,14183468800,606910800,85834000,139493000,832237800,3094974000,1994
hancock,743427100,82726700,193815800,1019969600,32699900,4432300,10704500,47836600,418784000,1994
hardin,232048100,34556300,36086900,302691300,9897400,1870300,1942100,13709800,277502000,1994
harrison,117526300,34397200,15698900,167622400,5181900,1927000,886800,7995700,31107000,1994
henry,264870099.99999997,48421400,71631700,384923200,12856400,2925000,4398400,20179800,744469000,1994
highland,259108500,33124800.000000004,36064500,328297800,9034500,1434100,1579500,12048200,78043000,1994
hocking,177327800,61190600,22892300,261410700,7611000,3534700,1283500,12429100,28816000,1994
holmes,289674800,34574300,55235100,379484200,13527700,1932000,3054600,18514300,3500000,1994
huron,490434700,65218100,115702900,671355700,19405200,3841600,7017800,30264500,195383000,1994
jackson,192344500,46062400,38065300,276472200,7546600,1921900,1727000,11195600,40247000,1994
jefferson,520300600,449000200,109917300,1079218200,21215000,21784600,5905300,48904900,142904000,1994
knox,412835200,50306200,80592200,543733600,20076500,3002700,4591700,27670900,809425000,1994
lake,3120454900,777576700,464494200,4362525800,157827200,58419800,36554200,252801200,6834760000,1994
lawrence,310672900,78735400,61147700,450556000,11112800,2998900,2320700,16432400.000000002,159442000,1994
licking,1363806000,158156800,197659400,1719622300,60487900,9280300,11330000,81098100,1090323000,1994
logan,407712600,53987200,140032600,601732300,17447200,3087200,7875800,28410200,660224000,1994
lorain,2739952000,382707900,423435000,3546094800,135934600,28064900,31198000,195197500,2095063000,1994
lucas,4449354300,552579900,720090300,5722024600,252471000,44480500,57794400,354745900,14801542000,1994
madison,326524500,55049800,40131200,421705500,14670800,2834100,2190300,19695200,385416000,1994
mahoning,2121140500,263038300,272238400,2656417200,110790000,18023200,19240100,148053300,1246268000,1994
marion,444787700,70293400,131043000,646124000,21192600,4318700,7848400,33359600,382678000,1994
medina,1587063500,163740800,180273400,1931077600,85059800,13239400,14628500,112927600,2324085000,1994
meigs,141003200,53652000,29374000,224029200,5819300,2436900,1301500,9557700,0,1994
mercer,404977000,32668900,53753600,491399500,16839900,1563700,2576000,20979600,370473000,1994
miami,958142200,94655000,259375400,1312172500,39393900,5928400,15896400,61218700,572624000,1994
monroe,107971500,53962000,60691100,222624600,3781100,2389000,2677100,8847200,5375000,1994
montgomery,5799419200,548213100,919688500,7267320800,349117700,45232100,74129300,468479200,13429918000,1994
morgan,117465900,94040200,33779500,245285600,3992800,4451600,1515300,9959800,0,1994
morrow,212243100,50712900,16836100,279792100,9559600,2862800,1023900,13446300,142509000,1994
muskingum,615419700,104363200,101346700,821129600,25583400,6228100,6124600,37936100,448885000,1994
noble,79977700,42908000,10776500,133662200.00000001,3654400,2120000,516000,6290300,5076000,1994
ottawa,694167900,386790700,129700600,1210659200,26868000,18157900,7039200,52065100,1252189000,1994
paulding,138614100,26546000,19061700,184221700,6821900,1444900,1069400,9336200,311828000,1994
perry,177726000,42949700,17068600,237744200,7906800,2471100,958500,11336400,19789000,1994
pickaway,417862000,87670000,103589700,609121700,17594500,4579600,5744400,27918500,104784000,1994
pike,132056799.99999999,44257500,20916800,197231100,5841100,2300600,1378700,9520400,0,1994
portage,1398352900,162318200,164431100,1725102200,67636700,12846700,13528000,94011400,1403036000,1994
preble,351943100,58177900,55834300,465955300,14532900,2963100,2989900,20486000,433557000,1994
putnam,297852700,34056100,45326200,377234900,11721200,1612200,1980400,15313800,66306000,1994
richland,1058709300,146520900,227497500,1432727700,54301000,10157900,15455000,79913900,960607000,1994
ross,446373700,73295800,146340500,666010000,18427800,3833000,7879400,30140200,303598000,1994
sandusky,543259400,78352300,130072400,751684100,21758100,4198700,6832300,32789000,405586000,1994
scioto,428131500,93953400,58837700,580922600,18943300,5210800,3229400,27383500,229825000,1994
seneca,446202400,74785300,95672600,616660300,18933100,4077000,5336700,28346700,203922000,1994
shelby,470593500,48537600,199684000,718815100,16442700,2317100,9274700,28034400,746266000,1994
stark,3528381700,386419700,639820300,4554621700,159210300,25380800,41450600,226041700,932731000,1994
summit,5971500100,498673600,897155100,7367328800,342789700,39334700,69261600,451386000,6482794000,1994
trumbull,1833401000,258070200,410267200,2501738400,94929800,16886500,26694800,138511100,1198864000,1994
tuscarawas,682325200,102970300,147020100,932315700,31703600,6016000,8522700,46242400,664993000,1994
union,374640200,60126100,145085600,579851900,19545800,3569800,8886900,32002500,129904000,1994
van wert,258692000,27775800,40376000,326843800,12775900,1693700,2518300,16987900,749087000,1994
vinton,68049200,33010900,16675800,117735900,2741500,1357300,671500,4770300,2710000,1994
warren,1595178400,185048700,199280200,1979507300,66183100.00000001,12290800,13058200,91532000,2804660000,1994
washington,463490500,129957300,153929500,747377300,19247100,6168300,7268400,32683800,29216000,1994
wayne,944102800,110609800,191675500,1246388100,48479000,7302800,13537100,69318900,635115000,1994
williams,342242200,54565600,96313000,493120800,14797500,3446200,6408500,24652300,457044000,1994
wood,1199623400,172317200,214987200,1586927700,58631100,11729700,14793900,85154600,2551590000,1994
wyandot,170231200,19944200,33229199.999999996,223404500,6674000,1027700,1698200,9399800,48903000,1994
adams,190473600,314188000,20934900,525596500,7532700,12925300,963000,21421100,0,1995
allen,937086200,126668300,368365100,1432119700,39143000,6308200,17728700,63179900,2199120000,1995
ashland,389468100,86014000,75524000,551006100,19451200,5323300,5078000,29852400,5145000,1995
ashtabula,745124800,144797400,143557700,1033479900,39337600,10079900,10085800,59503300,1732507000,1995
athens,351360200,81121600,27521700,460003500,19796800,5902000,2148900,27847600,212893000,1995
auglaize,426134300,35163800,113189300,574487400,17749200,1827100,5851100,25427400,809128000,1995
belmont,486071700,130929200,69662600,686663500,21175000,6915600,3814300,31905000,33722000,1995
brown,270636700,49991100,18405000,339032800,10333200,2357100,810900,13501100,128449000,1995
butler,3544859700,376081800,572529500,4493471000,159941400,21896400,32727000,214564800,3309084000,1995
carroll,248447600,53254600,37879200,339581400,9057500,2617800,2043900,13719300,75625000,1995
champaign,347201400,30599400,64715600,442516500,13988500,1794300,3907800,19690500,46750000,1995
clark,1292688100,123534800,190170700,1606393600,62024000,8249000,12603200,82876200,497856000,1995
clermont,1773498000,606328300,178956300,2558782600,87702400,36127100,13170500,137000000,318692000,1995
clinton,350443100,40757800,87698400,478899400,15197200,2079500,4658400,21935200,220954000,1995
columbiana,811645400,116076100,118096000,1045817500,36854100,7001700,7244800,51100600,138813000,1995
coshocton,293878000,186987800,79049700,559915500,12237800,8494000,4048500,24780300,83228000,1995
crawford,348172000,40350700,86880400,475403100,17436900,2804300,6007900,26249100,121391000,1995
cuyahoga,18983267000,1355614800,2575140000,22914021800,1131304300,118790800,210687200,1460782200,27595273000,1995
darke,490338400,62381600,90235600,642955600,18168000,2815700,4261600,25245200,172933000,1995
defiance,338835900,73124300,79130600,491090900,14091400,3954200,4177100.0000000005,22222700,383511000,1995
delaware,1499827300,116854500,129015000,1745696800,74996600,7326200,8170100,90492900,92754000,1995
erie,980970900,97469900,162886700,1241327500,46904700,7306900,12285000,66496500,1527656000,1995
fairfield,1404189900,111732600,117554100,1633476500,55503900,7362900,7909200,70776000,289552000,1995
fayette,260464300,59111900,41870700,361446800,9897600,2741700,2103700,14743100,84125000,1995
franklin,13157120500,898236200,2041622600,16096979300,779457700,72870500,163740100,1016068200,2899276000,1995
fulton,390234700,61570700,97543200,549348600,18807900,3932100,6223700,28963700,492909000,1995
gallia,226438800,273974100,25534600,525947400,7268800,9357800,1014100,17640600,39973000,1995
geauga,1419602800,107058200,107435300,1634096400,75835300,9322500,9147200,94305000,834882000,1995
greene,1733673300,128825400,140672800,2003171500,84059000,8960600,10049600,103069300,2331753000,1995
guernsey,248348700,59713700,73623400,381685700,13410400,3666400,4582900,21659700,102392000,1995
hamilton,11305623300,1064575399.9999999,1933366600,14303565200,639902000,84311900,147345600,871559500,10941056000,1995
hancock,826690200,73352500,219682200,1119724800,34580800,3956500,12132900,50670200,809487000,1995
hardin,237308000,30914000,41440700,309662800,10114100,1677400,2250600,14042000,300108000,1995
harrison,118073900,32048800,17306100,167428800,5187200,1791600,973600,7952400,25739000,1995
henry,268288599.99999997,35398900,71171000,374858500,13898600,2275500,4504300,20678400,705815000,1995
highland,266066700,32656800,39126300,337849800,9287000,1419700,1706000,12412700,75949000,1995
hocking,203741800,61379800,26437600,291559200,8501400,3560500,1489100,13551000,30743000,1995
holmes,333073000,34606000,61400700,429079700,14989600,1914500,3371000,20275200,3288000,1995
huron,502096600,54004300,132896600,688997400,19896000,3184000,8061100,31141100,165468000,1995
jackson,194446600,46605200,41435000,282486900,7581800,1930200,1860900,11372900,7822000,1995
jefferson,520031300,437794800,122580000,1080406100,21882800,21996500,6648700,50528000,163162000,1995
knox,430425100,48540200,74307000,553272300,20803600,2886700,4205900,27896200,726202000,1995
lake,3178666500,781362300,524602199.99999994,4484631000,161182400,58464500,41203500,260850300,7102111000,1995
lawrence,345118900,76949600,47479900,469548300,12068200,2933200,1781400,16782800,150516000,1995
licking,1417766900,152954300,213003200,1783724400,64260000,9044400,12247400,85551900,1281101000,1995
logan,484045300,48662500,137121000,669828800,20141200,2871000,7847400,30859600,653259000,1995
lorain,2810300700,376250800,488234000,3674785500,149351100,28445400,37279900,215076400,2365451000,1995
lucas,4481819000,518510000,757233800,5757562700,265943800,42462900,62044500,370451200,26799252000,1995
madison,339119100,44694500,46777900,430591500,16187400,2511700,2642800,21341900,389511000,1995
mahoning,2168731900,246450500,302080600,2717263000,116839700,17165600,21549600,155554900,1120751000,1995
marion,533626500,68540600,142811800,744978900,24102900,4312900,8824200,37240000,297274000,1995
medina,2077094300,147020400,203381900,2427496600,97265600,12161400,17085500,126512500,2261270000,1995
meigs,142532000,51491600,24971600,218995200,5864000,2339500,1121000,9324500,3415000,1995
mercer,413255600,31126300,57671800,502053700,18116200,1546500,2941000,22603600,567589000,1995
miami,1176664100,88326700,260203100,1525193900,40865800,5193300,14983800,61042800,580539000,1995
monroe,115525000,55536600,76644100,247705600,3969000,2484000,3428200,9881200,3342000,1995
montgomery,5907063000,506846200,972243200,7386152400,370944800,42317700,79748800,493011300,13769018000,1995
morgan,117973800,92530200,29489100,239993100,4028700,4387900,1323000,9739600,1057000,1995
morrow,219272500,37187700,18936100,275396300,9793700,2092300.0000000002,1150600,13036700,147241000,1995
muskingum,630380500,102273500,111680300,844334300,26752900,6175100,6722700,39650700,447506000,1995
noble,80532600,44295000,11213100,136040700,3774700,2252100,550800,6577600,9665000,1995
ottawa,698341300,367181900,102951000,1168474100,27510100,17676700,6002800,51189600,1253923000,1995
paulding,150237600,27200300,21691200,199129100,7114400,1456800,1189000,9760300,312839000,1995
perry,181974000,51074500,17456700,250505200,8271000,2991600,1000800,12263400,22291000,1995
pickaway,429003300,83943300,110938200,623884800,18000300,4379400,6130000,28509800,233863000,1995
pike,134247500,39458100,23362800,197068400,5908500,1960300,1523400,9392200,0,1995
portage,1449241500,141899000,184854100,1775994600,73506800,11558200,15332000,100397000,1362980000,1995
preble,360326400,49816300,64365600,474508400,14851000,2579900,3414600,20845600,439442000,1995
putnam,306056500,31844000,44830000,382730500,12071500,1506100,1989600,15567200,213028000,1995
richland,1079388800,136769400,258411900,1474570100,58130700,9894600,18143100,86168500,1703567000,1995
ross,528764000,64741600,150055500,743561100,21076700,3485500,8293700.000000001,32855800.000000004,300228000,1995
sandusky,553872900,70780700,143191200,767844800,22260200,3810400,7461700,33532400,293553000,1995
scioto,447195600,93170700,60887500,601253800,19779600,5213200,3380300,28373100,294808000,1995
seneca,451810100,60229400,94948900,606988500,20051000,3419200,5651000,29121100,203897000,1995
shelby,487721100,49809400,216019900,753550400,19331200,2596900,11080600,33008699.999999996,733090000,1995
stark,3524008400,375267500,672878200,4572154100,169238100,25607100,45626100,240471300,1229797000,1995
summit,6125776900,466476000,954803900,7547056800,360426200,37447900,75074200,472948300,16571244000,1995
trumbull,1867577400,231525400,431660500,2530763200,98122400,15346100,28450200,141918700,1348558000,1995
tuscarawas,788144500,99330000,164659300,1052133899.9999999,33781300,5739300,9506600,49027200,94755000,1995
union,444893900,58280800,142533200,645707800,21828500,3434000,8668500,33930900,106368000,1995
van wert,261994400,26534400,39011700,327540500,13220100,1642600,2501700,17364400,847749000,1995
vinton,68538000,28428000,15375100,112341100,2780700,1181900,633100,4595700,0,1995
warren,1698827900,180306000,228067600,2107201600,75309200,12567100,15646800,103523100,2740416000,1995
washington,515340900,133215000,177396600,825952600,21043900,6567000,8871900,36482800,57651000,1995
wayne,983500300,96478600,213771800,1293750700,51487000,6479500,15481800,73448300,241515000,1995
williams,351173300,45063800,100853700,497090800,15315900,2863600,6728000,24907500,524008000,1995
wood,1238351500,141989300,230258800,1610599600,62596700,9788700,15978700,88364200,2634262000,1995
wyandot,201872200,19409800,39745000,261027000,7581900,1017300,2107200,10706400,60403000,1995
adams,194389800,322328200,20684400,537402300,8178500,13985800,1004800,23169100,3919000,1996
allen,955511300,123504800,363933600,1442949600,41359000,6339700,18079600,65778300,2061525000,1996
ashland,469718200,79011400,82922100,631651700,20853400,4878000,5562900,31294300,5588000,1996
ashtabula,918972000,153917900,167991600,1240881400,42036900,10729500,11825200,64591600,1745523000,1996
athens,416613100,81457500,31008400,529079100,21411900,5904800,2436800,29753400,231916000,1996
auglaize,479535800,34530400,121413200,635479400,20217600,1889900,6739000,28846600,600141000,1996
belmont,492827600,120891100,67733700,681452400,21591500,6441000,3747900,31780400,23672000,1996
brown,283673400,50903700,19430400,354007500,11058900,2436600,883100,14378600,64042000,1996
butler,3939072800,376357300,606694100,4922124200,179084100,22406300,36891600,238381900,3987249000,1996
carroll,250068700,53558500,30037600,333664700,9375800,2672500,1652400,13700800,72954000,1996
champaign,354808700,31920700,63701400,450430900,14713100,1884200,3826600,20423900,52632000,1996
clark,1319908700,121929500,190504500,1632342700,64128200,8151900,12629100,84909200,430221000,1996
clermont,2100575600,608199100,194651300,2903425900,97272300,36339900,14369000,147981200,398355000,1996
clinton,385923800,43608500,93574100,523106400,16560200,2238000,4958400,23756500,240725000,1996
columbiana,830638600,109157400,127920000,1067716000,37493100,6505700,7775300,51774100,161482000,1996
coshocton,299259600,189300600,83945000,572505200,12476100,8590600,4268100,25334800,45038000,1996
crawford,351476700,39856500,90956600,482289800,18210200,2835700,6461100,27507000,75924000,1996
cuyahoga,19291442200,1337935600,2638450800,23267828600,1220662100,124289800,228447100,1573399000,27785343000,1996
darke,545561400,62743500,96671100,704976000,20282800,2966200,4968200,28217300,206432000,1996
defiance,365244900,74446600,80060300,519751800,16040400,4245900,4470300,24756500,413700000,1996
delaware,1837111600,117730600,133110000,2087952100,87028800,7508900,8764300,103302000,130128000,1996
erie,1014087600,98781100,170255700,1283124400,50492900,7578900,13255100,71327000,1414430000,1996
fairfield,1451165200,111312600,124476400,1686954200,55932400,7364900,8403600,71700900,389110000,1996
fayette,266363099.99999997,49965000,46015200,362343200,10625000,2374000,2391900,15390900,99223000,1996
franklin,14302457200,909060000,2151766900,17363284100,836470500,76169900,177818300,1090458700,3311809000,1996
fulton,465414500,62027200,97878200,625319900,21811700,4057000,6550500,32419200,541349000,1996
gallia,249005100,269801900,28299100,547106000,7770100,8880600,1121900,17772600,40211000,1996
geauga,1562911000,104988600,111913500,1779813200,79340700,9075800,9492500,97908900,821699000,1996
greene,2041054100,138943600,155463100,2335460800,96445400,9866800,11004500,117316600,2315106000,1996
guernsey,249922400,58584800,76580900,385088100,13500400,3588200,4819300,21907900,101635000,1996
hamilton,11989127600,1071856800,1963437800,15024422300,675717600,86508800,152952400,915178800,16474005000,1996
hancock,851864600,72747100,245789100,1170400700,36118500,3943500,13685600,53747600,542409000,1996
hardin,240815900,30216700,47084800,318117400,9921900,1604800,2418300,13945000,185416000,1996
harrison,127654700,34420100,14176100,176250800,5506300,1952200,832800,8291299.999999999,26212000,1996
henry,292726800,36360700,80675300,409762800,15381700,2421400,5329700,23132800,748909000,1996
highland,274789300,32631500,47407700,354828500,9581600,1415700,2104500,13101800,86879000,1996
hocking,211574700,54583200,26614300,292772200,8717000,3165700,1487600,13370300,19340000,1996
holmes,346194100,31957100,64634600,442785800,16206700,1875500,3608500,21690700,3076000,1996
huron,513618700,53051800,132951299.99999999,699621800,20250800,3122600,8052300,31425700,157400000,1996
jackson,214415600,46344700,39440800,300201100,8687300,1956300,1798600,12442200,0,1996
jefferson,521006200,422643900,154929200,1098579300,23653100,21510200,9058900,54222200,122171000,1996
