year,county,school_district,sd_number,political_unit,info_number,total_rate_gross,total_rate_class1,total_rate_class2,emergency_rate,current_expense_rate_gross,current_expense_rate_class1,current_expense_rate_class2,bond_rate,general_fund_millage,recreation_rate_gross,recreation_rate_class1,recreation_rate_class2,improvement_rate_gross,improvement_rate_class1,improvement_rate_class2,library_millage,library_rate_gross,library_rate_class1,library_rate_class2,acquisition_rate,mill_floor_rate_class1,mill_floor_rate_class2,sub_levy_rate,library_rate_millage,safety_rate_gross,safety_rate_class1,safety_rate_class2,credit_qualify_rate_class1,qualifying_nonbusiness_class1
1994,athens,athens csd,NA,NA,NA,58.4,34.41203,37.49673000000001,0,49.9,26.208679999999998,29.16902,1.6,4,0,0,0,2.9,2.6033600000000003,2.7277100000000005,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,athens,federal hocking lsd,NA,NA,NA,37,28,28.001050000000003,0,25.5,16.5,16.501050000000003,8,3.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,athens,nelsonville york csd,NA,NA,NA,27.7,20.00001,20.00001,0,24,16.30001,16.30001,0,3.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,athens,trimble lsd,NA,NA,NA,33.9,26.50001,26.908629999999995,0,23.5,16.10001,16.508629999999997,6.5,3.9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,minster lsd,NA,NA,NA,39.120000000000005,32.88061,34.46067,0,31.17,25.337210000000002,26.91903,1.35,4.8,0,0,0,1.8,1.3934,1.39165,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,new bremen lsd,NA,NA,NA,45.63,29.73457,33.193960000000004,0,37.849999999999994,22.47355,25.863239999999998,1.78,5,0,0,0,1,0.48102000000000006,0.5507200000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,new knoxville lsd,NA,NA,NA,42.15,29.4366,22.705589999999997,0,36.25,23.800050000000002,17.328870000000002,0,4.4,0,0,0,1.5,1.23655,0.97672,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,st. marys csd,NA,NA,NA,44.349999999999994,30.110450000000004,34.38699999999999,0,37.75,24.08131,27.955209999999997,0,4.1,0,0,0,2.5,1.9291399999999999,2.33179,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,wapakoneta csd,NA,NA,NA,33.5,27.82952,27.913970000000003,0,20.95,15.45002,15.47597,7,4.55,0,0,0,1,0.8295,0.8879900000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,auglaize,waynesfield-goshen lsd,NA,NA,NA,46.82,37.572790000000005,33.95339,5.859999999999999,28.5,19.722689999999997,16.22792,6.06,4.4,0,0,0,2,1.5301,1.4054699999999998,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,barnesville evsd,NA,NA,NA,41.949999999999996,33.38393,31.04449,0,36.55,27.983929999999997,25.64449,1.5,3.9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
