county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
shelby,47.98,38.14,48.44,37.7,45.43,1993
stark,66.8,45.92,65.89,47.33,61.31,1993
summit,73.52,54.54,71.05,51.3,68.16,1993
trumbull,64.65,54.06,62.39,53.75,61.63,1993
tuscarawas,54.65,40.49,55.25,45.36,52.02,1993
union,55.06,44.88,53.34,47.15,51.98,1993
van wert,56.51,47.58,57.45,48.46,54.57,1993
vinton,38.63,36.59,39.47,38.02,36.61,1993
warren,64.89,43.13,63.85,42.68,62.72,1993
washington,50.06,40.67,50.96,42.31,45.78,1993
wayne,65.35,50.22,68.75,52.4,62.45,1993
williams,64.86,47.29,65.91,50.05,62.7,1993
wood,70.46,52.53,70.03,57.16,66.45,1993
wyandot,51.02,39.36,51.21,38.95,48.6,1993
adams,39.42,34.43,36.67,33.38,35.47,1994
allen,49.66,41.7,48.58,42.18,48.44,1994
ashland,58.89,42.69,58.35,45.79,57.55,1994
ashtabula,66.24,49.46,66.93,52.65,66.38,1994
athens,72.28,48.14,75.05,50.82,69.75,1994
auglaize,51.74,40.93,51.1,42.53,51.41,1994
belmont,54.82,44.96,53.47,45.36,52.42,1994
brown,47.68,40.92,49.34,42.09,47.29,1994
butler,59.7,41.71,59.59,42.66,55.95,1994
carroll,50.21,37.69,52.48,39.3,50.28,1994
champaign,57.65,42.39,63.19,48.56,59.49,1994
clark,63.75,44.74,65.41,50.14,64.19,1994
clermont,69.07,43.96,66.8,44.75,59.77,1994
clinton,49.77,40.51,51.83,43.23,49.96,1994
columbiana,59.12,45.61,61.27,43.56,60.33,1994
coshocton,49.59,39.8,49.99,39.53,43.82,1994
crawford,64.19,48.09,65.14,48.51,63.46,1994
cuyahoga,93.76,57.41,85.05,63.23,82.25,1994
darke,45.05,35.85,46.74,36.32,45.61,1994
defiance,51.34,40.88,52.33,42.18,52.37,1994
delaware,61.33,45.12,61.44,47.57,59.56,1994
erie,75.27,48.6,75.58,53.09,74.25,1994
fairfield,71.39,44.99,72.09,45.07,68.11,1994
fayette,49.78,42.47,52.88,43.42,49.52,1994
franklin,80.56,54.17,76.19,57.41,76.63,1994
fulton,65.56,48.8,64.83,49,64.89,1994
gallia,39.06,32.61,38.35,33.12,36.11,1994
geauga,84.52,47.85,84.06,53.8,82.46,1994
greene,71.11,47,69.03,46.65,68.45,1994
guernsey,62.78,54.05,65.01,58.46,63.7,1994
hamilton,77.94,51.06,76.51,54.79,74.09,1994
hancock,52.63,39.1,53.23,44.01,50.88,1994
hardin,NA,NA,NA,NA,51.61,1994
harrison,55.91,42.54,56.19,46.33,56.13,1994
henry,60.11,47.59,61.42,52.06,61.21,1994
highland,43.84,36.6,43.08,35.22,44.27,1994
hocking,57.36,43.12,56.31,41.9,57.48,1994
holmes,49.96,41.89,51.54,44.04,51.19,1994
huron,57.83,39.6,59.65,42.67,58.74,1994
jackson,43.69,37.88,45.76,40.84,42.84,1994
jefferson,52.31,41.03,51.21,46.15,48.64,1994
knox,58.24,45.99,55.79,47.99,55.93,1994
lake,82.25,52.11,78.21,53.27,75.64,1994
lawrence,37.81,35.24,37.82,34.07,37.16,1994
licking,60.57,43.11,58.85,45.79,57.85,1994
logan,57.19,41.5,59,45.75,56.2,1994
lorain,73.22,52.92,73.63,57.52,73.21,1994
lucas,84.53,57.22,81.34,61.59,79.12,1994
madison,53.96,43.89,56.56,50.62,53.39,1994
mahoning,69.83,50.88,71.31,54.67,69.88,1994
marion,61.04,47.39,60.87,48.65,60.45,1994
medina,79.98,50.38,81,58.56,77.95,1994
meigs,41.35,37.41,42.01,38.86,41.52,1994
mercer,46.51,39.64,44.73,38.04,45.58,1994
miami,61.49,39.82,60.46,42.17,61.12,1994
monroe,45.31,33.79,44.56,38.63,44.27,1994
montgomery,81.18,55.45,79.55,61.64,79.17,1994
morgan,44.39,35.53,43.32,34.58,42.78,1994
morrow,57.4,46.03,61.04,49.42,59.68,1994
muskingum,58.3,41.86,58.58,43.16,57.77,1994
noble,46.18,42.86,44.13,41.43,46.33,1994
ottawa,62.43,38.38,56.29,37.16,46.49,1994
paulding,55.42,48.87,59.02,51.01,55.16,1994
perry,55.4,41.93,56.22,45.42,55,1994
pickaway,53.48,41.15,56.11,45.73,53.71,1994
pike,56.3,43.7,63.27,46.79,56.16,1994
portage,79.74,50.49,81.53,58.01,79.23,1994
preble,51.12,41.26,51.63,39.54,51.49,1994
putnam,46.59,39.15,44.12,39.42,45.03,1994
richland,66.21,48.95,67.14,50,65.76,1994
ross,52.51,41.24,53.85,41.75,53.31,1994
sandusky,52.64,41.25,51.54,42.13,51.83,1994
scioto,54.6,42.37,56.3,43.68,53.65,1994
seneca,54.66,41.53,55.21,46.74,55.28,1994
shelby,47.93,34.57,48.36,35.48,46.48,1994
stark,68.1,47.02,66.85,48.29,64.86,1994
summit,74.27,51.48,71.73,50.8,72.06,1994
trumbull,63.33,48.33,61.08,50.78,62.16,1994
tuscarawas,55.25,41.42,55.7,45.99,54.84,1994
union,60.33,50.9,61.58,55.8,61.11,1994
van wert,58.04,45.33,59.2,49.96,58.7,1994
vinton,38.44,36.37,39.57,38.08,37.13,1994
warren,65.31,43.49,64.53,43.35,64.87,1994
washington,49.88,40.51,50.93,42.59,47.14,1994
wayne,65.69,49.47,69.78,53.76,67.11,1994
williams,63.96,46.64,65.14,49.98,64.03,1994
wood,69.64,47.94,69.2,50.94,68.13,1994
wyandot,51.01,38.79,51.28,38.94,50.64,1994
adams,45.59,40.62,42.68,39.43,41.52,1995
allen,49.78,41.34,48.53,42.25,48.46,1995
ashland,64.97,48.51,66.46,53.82,63.8,1995
ashtabula,67.71,51.15,69.15,55.02,69.5,1995
athens,76.07,53.73,79.85,57.36,72.78,1995
auglaize,51.68,40.81,50.92,42.4,51.4,1995
belmont,55.07,42.62,53.92,41.76,52.85,1995
brown,46.87,37.99,47.48,39.62,46.23,1995
butler,62,44.4,61.4,45.19,56.94,1995
carroll,51.1,38.8,52.81,39.95,50.71,1995
champaign,57.52,42.27,63.02,48.38,59.67,1995
clark,64.78,46.28,66.36,51.31,65.45,1995
clermont,72.98,47.54,71.99,49.83,62.16,1995
clinton,50.4,40.95,51.88,43.19,50.4,1995
columbiana,60.11,47.5,61.22,46.03,60.5,1995
coshocton,51.32,39.17,50.85,40.52,44.11,1995
crawford,68.27,48,69.2,52.69,68.23,1995
cuyahoga,94.9,54.75,85.98,61.84,83.05,1995
darke,45.53,36.31,47.16,36.71,45.86,1995
defiance,52,40.55,52.46,43.03,52.58,1995
delaware,64.23,48.33,63.43,50.17,61.31,1995
erie,74.4,44.31,75.45,52.49,73.86,1995
fairfield,69.64,43.69,70.37,43.71,66.32,1995
fayette,49.51,38.4,52.66,41.09,48.95,1995
franklin,82.8,56.33,78.22,59.55,79.02,1995
fulton,64.11,46.86,63,47.15,63.29,1995
gallia,38.27,31.92,37.53,32.3,34.6,1995
geauga,85.99,49.62,84.26,54.66,82.87,1995
greene,70.99,46.95,69.02,46.11,68.47,1995
guernsey,62.11,52.28,64.81,58.28,62.88,1995
hamilton,78.99,53.47,76.78,56.15,74.66,1995
hancock,55.94,42.55,57.3,48.03,54.74,1995
hardin,54.21,42.85,54.45,41.63,53.97,1995
harrison,56.09,43.31,56.6,47.09,56.17,1995
henry,60.15,47.65,61.38,53.97,61,1995
highland,43.21,34.95,42.76,34.35,43.56,1995
hocking,57.29,43.09,56.28,41.94,57.3,1995
holmes,54.22,46.25,55.72,48.27,55.52,1995
huron,58.91,38.61,60.7,43.26,60.02,1995
jackson,43.84,38.41,46.15,41.67,43.37,1995
jefferson,52.74,38.88,51.88,46.04,49.54,1995
knox,60.64,48.35,58.02,50.17,58.02,1995
lake,82.88,49.79,79.11,52.78,76.46,1995
lawrence,38.5,35.93,38.59,35.03,38.03,1995
licking,61.2,43.82,59.52,46.46,57.92,1995
logan,57.41,42.01,59.14,46.13,56.5,1995
lorain,73.64,48.33,73.82,54.62,73.51,1995
lucas,85.25,55.67,82.1,59.2,80.36,1995
madison,53.38,44.12,55.81,50.14,52.79,1995
mahoning,70,51.42,71.12,54.83,69.62,1995
marion,60.97,47.33,60.73,48.54,60.43,1995
medina,83.06,52.23,83.92,61.15,81.01,1995
meigs,44.75,40.74,45.7,42.54,45.03,1995
mercer,48.24,41.74,47.2,40.76,47.9,1995
miami,62.15,40.6,61.44,43.23,61.65,1995
monroe,45.11,33.6,44.54,38.49,44.19,1995
montgomery,83.9,58.63,81.83,64.28,81.31,1995
morgan,45.32,33.39,46.19,36.05,46.68,1995
morrow,55.95,44.63,60.05,48.65,57.54,1995
muskingum,60.37,40.9,60.59,43.75,60.05,1995
noble,49.23,45.66,48.64,45.84,49.1,1995
ottawa,66.1,38.69,59.46,38.75,48.79,1995
paulding,55.5,48.93,59.23,51.19,55.13,1995
perry,57.79,43.96,58.07,47.24,57.14,1995
pickaway,53.77,41.32,55.93,45.59,53.98,1995
pike,56.56,43.9,62.46,46.28,56.45,1995
portage,81.35,46.96,83.58,54.14,80.72,1995
preble,51.31,41.42,52.73,40.54,52.21,1995
putnam,46.76,39.33,44.11,39.56,45.26,1995
richland,68.31,51.07,68.95,51.88,68.48,1995
ross,52.48,41.14,53.9,41.73,53.33,1995
sandusky,53.5,39.55,51.37,42.09,52.93,1995
scioto,55.99,43.93,57.61,45.23,55.24,1995
seneca,54.8,41.37,55.29,46.83,55.23,1995
shelby,48.06,34.74,48.39,35.66,46.7,1995
stark,67.7,45,67.09,45.49,65.12,1995
summit,79.31,57.43,77.36,57.32,77.8,1995
trumbull,66.21,51.24,63.76,53.51,65.21,1995
tuscarawas,58.98,45.37,59.21,49.78,58.16,1995
union,60.05,50.84,61.44,55.74,60.7,1995
van wert,60.71,48.51,62.68,53.76,61.8,1995
vinton,42.42,39.94,43.71,42.19,40.83,1995
warren,66.64,41.23,66.03,42.55,65.96,1995
washington,50.45,41.02,51.38,42.92,47.33,1995
wayne,66.78,50.44,70.72,54.6,68.94,1995
williams,65.36,42.09,66.35,47.9,65.32,1995
wood,69.83,47.98,69.44,51.5,68.48,1995
wyandot,51.75,39.34,51.3,38.6,51.26,1995
adams,45.68,39.62,42.77,39.43,41.44,1996
allen,50,41.56,48.69,42.41,48.56,1996
ashland,65.64,48.99,67.04,54.58,64.39,1996
ashtabula,68.4,51.96,69.6,55.7,69.93,1996
athens,77.29,55.22,81.23,59.73,74.1,1996
auglaize,52.08,41.39,51.14,42.73,51.76,1996
belmont,56.13,43.75,54.81,43.04,53.49,1996
brown,46.88,37.96,47.58,39.84,46.32,1996
butler,62.6,44.79,62.7,46.14,57.58,1996
carroll,50.94,36.02,52.85,39.06,51.15,1996
champaign,57.48,39.69,63.09,44.1,59.82,1996
clark,66.25,46.8,67.17,52.47,66.47,1996
clermont,74.17,48.62,73.3,51.87,62.78,1996
clinton,52.05,42.76,53.6,45.33,52.45,1996
columbiana,60.69,45.25,61.73,46.07,60.84,1996
coshocton,53.28,41.22,52.86,42.84,47.15,1996
crawford,69.45,49.11,70.44,54.03,69.26,1996
cuyahoga,96.34,57.75,86.96,63.9,83.82,1996
darke,46.32,36.99,47.87,37.41,46.37,1996
defiance,52.54,41.08,53.1,43.8,53.41,1996
delaware,65.62,49.65,65.16,52.21,63.03,1996
erie,75.96,45.8,76.72,54.46,75.25,1996
fairfield,69.8,39.23,70.71,41.14,66.61,1996
fayette,48.48,37.36,52.33,40.69,47.98,1996
franklin,84.63,58.23,79.5,61.08,80.48,1996
fulton,65.27,48.27,63.78,47.92,63.83,1996
gallia,38.34,32.01,37.5,32.28,34.63,1996
geauga,89.24,52.82,88.03,58.61,86.11,1996
greene,72.42,48.6,71.3,48.03,70.54,1996
guernsey,61.91,52.4,64.41,59.41,61.87,1996
hamilton,80.75,55.34,79.42,59.18,77.27,1996
hancock,56.22,39.77,57.45,48.38,54.91,1996
hardin,54.37,42.74,55.11,42.04,54.29,1996
harrison,55.91,43.12,56.29,47.13,56.03,1996
henry,63.34,50.92,63.75,57.57,63.62,1996
highland,43.22,35,42.73,34.36,43.54,1996
hocking,57.51,41.67,56.33,42.06,57.5,1996
holmes,53.54,44.26,55.16,47.89,55.05,1996
huron,58.99,38.6,60.9,43.5,60.17,1996
jackson,43.59,38.23,45.72,41.3,43.06,1996
jefferson,53.99,40.17,53.13,47.43,51.12,1996
knox,60.45,48.09,57.4,49.58,57.74,1996
lake,82.8,49.83,79.05,53.21,76.32,1996
lawrence,38.45,34.99,38.37,34.88,37.89,1996
licking,61.88,45.02,59.65,46.58,58.18,1996
logan,59.64,40.83,60.45,45.19,57.69,1996
lorain,76.75,51.91,76.55,58.07,76.03,1996
lucas,87.44,57.97,83.73,62.52,81.92,1996
madison,56.54,47.15,57.63,51.38,56.35,1996
mahoning,71.36,52.97,72.54,56.82,70.58,1996
marion,62.33,44.45,62.94,47.42,62.16,1996
medina,84.01,45.87,86.78,52.01,83.47,1996
meigs,44.69,40.64,45.56,42.39,45.26,1996
mercer,50.19,43.78,50.51,44.13,50.54,1996
miami,58.19,34.04,57.78,37.9,57.89,1996
monroe,45.57,32.59,45.11,39.09,44.73,1996
montgomery,85.09,61.21,83.48,66.93,82.53,1996
morgan,45.58,33.49,46.53,36.49,46.8,1996
morrow,55.83,44.26,59.79,48.32,57.78,1996
muskingum,60.64,41.95,60.42,43.99,60.28,1996
noble,50.48,46.76,49.78,47.42,50.49,1996
ottawa,65.68,39.3,59.73,39.71,50.37,1996
paulding,54.79,47.04,58.51,49.66,54.12,1996
perry,58.88,44.92,59.01,48.23,58.26,1996
pickaway,53.81,41.17,55.85,45.5,53.93,1996
pike,56.17,43.66,61.61,46.18,55.45,1996
portage,83.1,49.45,84.64,55.94,82.3,1996
preble,51.33,41.37,52.53,40.27,52.5,1996
putnam,46.8,39.42,44.17,39.58,45.59,1996
richland,70.87,53.65,71.04,54.4,70.95,1996
ross,53.8,39.51,55.32,41.09,54.84,1996
sandusky,53.69,39.7,51.45,42.21,52.68,1996
scioto,56.53,43.73,58.36,45.87,55.78,1996
seneca,56.67,42.98,58.66,50.19,58.45,1996
shelby,52.65,38.89,54.98,42.21,51.45,1996
stark,70.27,47.37,69.55,50.17,67.96,1996
summit,80.64,58.65,78.91,59.4,79.17,1996
trumbull,66.78,52.03,64.27,54.19,66.04,1996
tuscarawas,58.37,41.35,58.79,47.96,57.75,1996
union,60.42,47.05,61.08,55.26,60.27,1996
van wert,61.66,49.42,64.65,55.7,63.23,1996
vinton,42.71,40.24,43.88,42.39,41.44,1996
warren,69.49,44,68.62,45.69,69.09,1996
washington,51.74,40.22,52.04,42.65,49.7,1996
wayne,67.88,51.31,72.29,55.93,70.79,1996
williams,65.56,42.37,66.58,48.49,65.73,1996
wood,70.76,49.6,70.69,53.4,69.22,1996
wyandot,52.72,36.98,53.6,40.47,52.82,1996
adams,48.11,42.17,45.16,41.91,43.7,1997
allen,51.61,43.08,50.17,43.9,50.1,1997
ashland,65.25,43.25,66.76,50.19,64.48,1997
ashtabula,68.53,44.36,69.48,51.04,70.07,1997
athens,77.19,50.23,81.97,55.08,74.17,1997
auglaize,54.83,41.61,54.14,44.56,55.33,1997
belmont,56.4,44.01,54.99,43.25,54.02,1997
brown,47.62,38.78,48.31,40.46,47.2,1997
butler,64.73,44.98,64.41,47.01,60.32,1997
carroll,52.07,37.14,53.39,39.74,51.74,1997
champaign,57.57,40.83,63.23,45.49,59.72,1997
clark,66.72,47.49,67.08,52.65,66.51,1997
clermont,74.72,45.79,73.76,47.8,63.16,1997
clinton,52.22,42.28,53.33,45.05,52.46,1997
columbiana,59.76,45,60.72,45.7,60.24,1997
coshocton,53.38,41.27,52.87,42.88,47.06,1997
crawford,71.15,50.76,72.42,56.08,71.07,1997
cuyahoga,99.29,60.8,92.12,68.96,88.71,1997
darke,48.47,36.57,51.64,40.66,49.77,1997
defiance,56.57,43.09,57.15,47.63,56.41,1997
delaware,65.88,46.85,67,50.5,64.87,1997
erie,77.49,47.61,79,56.74,77.44,1997
fairfield,70.33,38.34,70.72,39.63,66.88,1997
fayette,50.06,39.11,54.81,43.09,49.65,1997
franklin,86.25,56.42,82.39,62.53,82.98,1997
fulton,66.82,46.17,66.52,49.71,66.34,1997
gallia,38.09,30.81,37.13,32.04,33.55,1997
geauga,88.45,50.02,87.28,57.51,85.61,1997
greene,72.53,47.14,71.32,47.72,70.89,1997
guernsey,61.86,52.34,65.04,59.99,62.2,1997
hamilton,82.37,54.22,80.74,61.19,78.89,1997
hancock,56.43,40.43,57.53,48.65,55.34,1997
hardin,53.28,41.46,52.8,39.91,52.04,1997
harrison,56.6,42.32,57.07,46.26,57.31,1997
henry,66.07,51.47,66.54,60,66.23,1997
highland,43.17,34.93,42.97,34.55,43.98,1997
hocking,57.33,41.15,55.99,41.5,57.31,1997
holmes,55.62,46.06,56.98,49.77,56.77,1997
huron,58.89,38.41,60.6,43.3,60.08,1997
jackson,44.46,39.41,46.87,44.14,43.77,1997
jefferson,56.88,43.61,55.57,50.47,52.93,1997
knox,63.48,47.79,61.96,52.9,62.2,1997
lake,85.03,52.66,80.96,56.24,77.64,1997
lawrence,38.42,35.14,38.37,35.07,37.93,1997
licking,63.02,42.62,60.59,47.97,58.97,1997
logan,59.51,40.98,60.46,45.63,57.24,1997
lorain,77.49,53.17,77.01,59.2,76.69,1997
lucas,89.66,60.19,86.13,65.27,83.97,1997
madison,56.34,46.1,57.12,48.1,56.15,1997
mahoning,74.67,53.16,76.42,60.81,73.98,1997
marion,63.99,46.59,64.37,49.68,62.95,1997
medina,84.09,46.32,86.71,52.57,83.71,1997
meigs,44.64,40.4,45.77,42.57,45.32,1997
mercer,49.55,42.62,49.43,43.12,49.46,1997
miami,60.58,36.39,61.06,41.13,61.51,1997
monroe,47.87,34.68,47.53,41.57,47.2,1997
montgomery,84.94,56.05,83.19,64.79,82.44,1997
morgan,45.87,33.89,46.81,36.89,47.05,1997
morrow,57.92,44.68,61.6,50.29,59.37,1997
muskingum,62.5,43.78,63.26,46.87,62.68,1997
noble,50.91,42.42,49.95,44.77,50.75,1997
ottawa,65.64,39.25,60.16,40.07,51.38,1997
paulding,52.42,44.98,55.98,47.76,52.04,1997
perry,58.79,43.42,59.01,47.05,58.22,1997
pickaway,54.14,39.77,56.07,43.76,54.41,1997
pike,55.86,42.01,61.38,43.85,56.13,1997
portage,86.61,53.09,88.54,59.96,86.59,1997
preble,51.33,39.67,52.45,40.12,52.54,1997
putnam,47.09,38.97,44.31,39.76,45.43,1997
richland,71.26,51.46,71.18,54.72,71.04,1997
ross,52.7,38.39,54.13,40.03,53.68,1997
sandusky,53.6,39.59,51.13,41.76,52.57,1997
scioto,56.66,44.38,58.34,46.21,55.82,1997
seneca,56.9,41.07,58.66,50.55,58.51,1997
shelby,52.54,37.96,54.76,42.08,50.89,1997
stark,72.5,50.23,71.31,53.22,70.47,1997
summit,77.13,48.99,75.47,54.91,75.51,1997
trumbull,65.8,48.38,63.48,52.81,65.32,1997
tuscarawas,60.47,43.49,61.09,50.42,60.09,1997
union,60.64,47.9,60.72,56.2,59.86,1997
van wert,62.22,46.9,64.79,55.82,63.6,1997
vinton,42.73,40.12,43.97,42.33,41.47,1997
warren,69.86,44.11,69.65,46.82,70.09,1997
washington,52.24,40.8,52.17,42.99,49.6,1997
wayne,67.98,45.53,72.15,54.91,70.83,1997
williams,65.21,41.79,65.79,47.8,65.24,1997
wood,70.67,46.81,70.44,53.38,68.96,1997
wyandot,52.52,37.18,52.28,39.31,52.4,1997
adams,47.66,41.83,45.18,42,43.59,1998
allen,51.45,41.51,50.36,42.52,50.74,1998
ashland,65.33,43.49,65.66,49.47,63.88,1998
ashtabula,68.58,46.01,69.49,52.43,69.95,1998
athens,76.61,51,81.52,55.88,73.68,1998
auglaize,55.8,42.51,54.72,45.18,55.18,1998
belmont,57.86,42.38,56.55,44.21,55.33,1998
brown,49.07,38.74,50.11,42.15,49,1998
butler,64.44,44.54,63.81,46.77,60.13,1998
carroll,53.79,38.91,55.09,41.46,53.04,1998
champaign,59.02,42.39,63.71,46.12,61.32,1998
clark,67.04,48.31,67.56,53.38,67.13,1998
clermont,76.01,46.98,74.69,49.11,63.63,1998
clinton,53.23,44.08,54.59,47.06,54.02,1998
columbiana,59.71,45.45,60.7,46.3,60.37,1998
coshocton,53.45,36.69,52.95,39.63,47.26,1998
crawford,70.58,45.77,71.81,55.6,70.47,1998
cuyahoga,99.57,58.48,92.33,68.07,89.06,1998
darke,48.46,36.58,51.63,40.57,50.34,1998
defiance,56.95,43.59,57.49,47.95,56.69,1998
delaware,65.79,47.14,66.87,50.21,64.19,1998
erie,78.1,44.5,79.25,57.23,77.91,1998
fairfield,73.83,41.86,76.2,44.89,71.59,1998
fayette,50.26,37.75,54.57,43.29,49.97,1998
franklin,86.9,57.39,82.83,62.92,83.65,1998
fulton,67.1,46.97,66.71,50.83,66.66,1998
gallia,38.47,31.53,37.7,32.85,34.6,1998
geauga,90.97,52.32,89.7,60.29,87.38,1998
greene,72.49,47.59,71.14,48.29,70.73,1998
guernsey,59.3,47.84,62.3,55.22,58.95,1998
hamilton,83.22,55.74,80.88,61.79,78.9,1998
hancock,56.23,40.48,57.46,48.65,54.81,1998
hardin,53.42,41.44,52.9,39.57,52.17,1998
harrison,57.66,43.55,58.17,47.74,57.71,1998
henry,65.6,50.95,66.21,59.7,65.93,1998
highland,44.43,35.19,43.43,34.7,44.38,1998
hocking,57.71,42.91,56.62,43.68,57.73,1998
holmes,56.06,46.57,57.22,50.02,57.21,1998
huron,57.89,37.14,59.75,42,58.89,1998
jackson,44.45,39.42,46.87,44.21,43.91,1998
jefferson,57.43,42.26,56.11,51.11,52.96,1998
knox,62.62,46.94,61.08,52,61.46,1998
lake,84.33,48.07,80.67,54.87,77.07,1998
lawrence,38.37,35.13,38.34,35.09,37.93,1998
licking,63.55,43.59,62.09,49.75,59.39,1998
logan,59.59,41.38,60.41,46.13,57.32,1998
lorain,74.59,46.64,74.19,53.87,73.99,1998
lucas,89.3,55.87,85.96,65.41,83.72,1998
madison,55.92,46.28,56.9,48.73,55.48,1998
mahoning,74.64,53.11,76.23,60.9,74.12,1998
marion,65.35,47.91,65.65,51.21,64.57,1998
medina,84.17,46.57,86.43,52.6,83.79,1998
meigs,44.73,40.4,45.79,42.58,45.49,1998
mercer,49.03,42.16,48.89,42.63,49.2,1998
miami,62.51,39.19,62.75,43.61,63.44,1998
monroe,47.88,34.42,47.56,41.95,47.22,1998
montgomery,84.68,56.29,82.95,65.18,81.9,1998
morgan,46.17,33.06,47,36.34,47.24,1998
morrow,58.48,45.32,62.76,51.61,60.46,1998
muskingum,62.76,41.37,63.51,45.26,62.93,1998
noble,50.62,42.16,50.06,44.96,50.53,1998
ottawa,65.42,36.33,61.26,37.6,51.89,1998
paulding,53.12,45.71,56.56,48.36,52.58,1998
perry,58.78,43.46,59.35,47.37,58.3,1998
pickaway,53.33,39.23,55.57,43.3,54.12,1998
pike,56.46,42.64,61.42,43.92,56.47,1998
portage,86.36,48.39,88.58,57.42,86.52,1998
preble,51.62,39.99,53.15,40.95,53.35,1998
putnam,47,38.89,44.44,39.77,45.86,1998
richland,73.24,53.74,73.29,57.59,73.18,1998
ross,53.16,38.78,54.04,40.16,53.75,1998
sandusky,53.21,37.01,50.6,38.29,52.16,1998
scioto,57.33,45.15,58.53,46.41,56.23,1998
seneca,56.86,40.93,59.1,51.04,58.83,1998
shelby,52.46,37.92,54.69,42.25,51.38,1998
stark,72.95,46.77,71.7,50.71,70.62,1998
summit,77.68,49.81,76.02,56.22,76.23,1998
trumbull,66.02,48.73,63.75,53.14,65.6,1998
tuscarawas,62.57,45.58,63.21,52.5,62.25,1998
union,60.8,48.27,61,56.61,60.27,1998
van wert,63.32,47.87,64.44,55.31,64.02,1998
vinton,46.45,42.06,47.77,44.77,45.41,1998
warren,70.06,41.72,69.95,44.62,70.13,1998
washington,52.82,41.45,53.02,44.3,50,1998
wayne,69.23,46.85,72.87,56.3,72.08,1998
williams,65.41,39.33,65.77,47.85,65.63,1998
wood,71.6,48.14,71.29,54.52,69.72,1998
wyandot,51.75,36.43,52.07,39.12,52.03,1998
adams,47.21,38,45.35,41.56,48.07,1999
allen,51.35,41.57,50.35,42.64,50.55,1999
ashland,65.2,43.45,65.8,49.62,65.82,1999
ashtabula,68.67,46.5,69.59,52.8,70.12,1999
athens,76.21,51.39,81.07,56.28,75.24,1999
auglaize,56.01,42.71,55,45.48,55.95,1999
belmont,58.01,42.51,56.6,44.39,56.34,1999
brown,49.13,38.97,50.21,42.24,48.54,1999
butler,64.87,44.85,64.18,47.09,60.92,1999
carroll,53.46,37.39,54.53,40.83,56.7,1999
champaign,58.66,39.5,63.51,44.1,63.98,1999
clark,66.51,44.49,67.05,51.71,66.26,1999
clermont,76.83,47.73,74.97,49.37,74.93,1999
clinton,54.27,45.1,55.79,48.31,56,1999
columbiana,60.67,44.23,61.04,46.43,61.95,1999
coshocton,53.14,36.33,52.96,39.81,51.2,1999
crawford,71.76,46.87,72.77,56.83,71.14,1999
cuyahoga,98.74,60.8,91.47,69.36,86.35,1999
darke,48.92,36.95,51.78,40.97,52.17,1999
defiance,57.26,43.86,57.79,48.23,56.76,1999
delaware,66.38,47.27,66.42,49.75,65.02,1999
erie,79.02,46.61,80.12,58.57,79.81,1999
fairfield,73.17,40.68,76.25,42.84,73.17,1999
fayette,54.15,41.65,57.34,46.14,55.91,1999
franklin,91.63,61.97,86.68,66.45,87.38,1999
fulton,67.8,47.67,67.31,51.58,67.7,1999
gallia,37.75,30.84,37.23,31.7,37.72,1999
geauga,90.92,52.34,89.55,59.98,86.17,1999
greene,72.57,48.02,71.29,48.59,70.16,1999
guernsey,59.34,48.07,62.12,55.36,58.48,1999
hamilton,85.22,57.87,82.7,63.72,79.48,1999
hancock,55.72,36.64,57.05,45.48,55.64,1999
hardin,54.03,41.88,53.45,40.25,52,1999
harrison,58.67,44.42,59.13,48.69,58.63,1999
henry,64.8,50.6,65.41,58.96,66.17,1999
highland,44.57,35.35,43.38,34.69,44.58,1999
hocking,57.54,41.65,56.4,42.95,55.99,1999
holmes,55.43,44.02,56.09,48.18,55.02,1999
huron,59.97,39.24,62.44,44.88,61.83,1999
jackson,45.38,40.68,48.17,45.59,46.84,1999
jefferson,57.37,42.19,56.1,51.11,59.19,1999
knox,62.26,46.75,61.01,51.85,60.94,1999
lake,85.59,50.18,82,56.63,81.71,1999
lawrence,36.35,32.47,35.66,31.59,36.33,1999
licking,65.58,45.81,63.28,51.12,61.62,1999
logan,59.65,40.03,60.4,46.45,56.94,1999
lorain,74.17,46.95,73.81,54.53,73.6,1999
lucas,89.74,57.35,86.46,66.31,84.89,1999
madison,56.32,46.67,57.07,49.26,55.5,1999
mahoning,73.27,53.08,74.43,60.33,75.71,1999
marion,63.97,43.43,64.41,49.63,63.65,1999
medina,84.97,46.14,86.72,52.95,84.46,1999
meigs,45.79,39.01,47.67,43,46.42,1999
mercer,49.03,42.12,48.83,42.58,49.66,1999
miami,62.47,37.04,62.7,43.03,63.12,1999
monroe,47.94,31.57,47.64,40.75,47.26,1999
montgomery,84.88,57.48,83.1,65.23,81.84,1999
morgan,46.15,32.87,46.95,35.75,45.68,1999
morrow,58.86,45.6,62.85,52.09,63.38,1999
muskingum,62.96,42.25,63.58,45.85,63.35,1999
noble,50.3,41.66,49.73,44.61,49.42,1999
ottawa,65.42,36.96,61.2,38.28,58.28,1999
paulding,53.47,41.12,56.65,44.69,53.01,1999
perry,59.93,45.7,61.61,50.84,60.13,1999
pickaway,53.15,40.55,55.09,44.35,55.54,1999
pike,57.48,43.62,61.57,44.83,51.12,1999
portage,85.94,48.25,87.85,56.87,86.53,1999
