county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
guernsey,51.14,42.92,53,46.11,52.23,1989
hamilton,67.1,49.77,64.48,51.87,60.86,1989
hancock,46.98,37.92,48.49,39.44,45.78,1989
hardin,48.35,40.95,48.79,37.34,47.04,1989
harrison,47.7,36.38,47.41,37.34,47.02,1989
henry,52.06,46.84,50.34,44.77,50.05,1989
highland,42.92,37.35,42.35,35.15,43,1989
hocking,49.8,37.67,49.33,36.76,49.24,1989
holmes,46.49,38.86,47.68,40.49,46.35,1989
huron,56.47,39.31,57.46,42.12,56.12,1989
jackson,37.8,33.87,38.54,34.64,38.11,1989
jefferson,45.55,34.25,44.53,39.64,45.71,1989
knox,55.5,44.84,54.01,45.27,53.57,1989
lake,74.41,46.66,67.8,40.34,70.43,1989
lawrence,40.39,36.87,41.63,37.44,40.97,1989
licking,54.49,42.93,53.02,42.34,50.5,1989
logan,52.66,39.66,52.96,40.39,52.29,1989
lorain,68.97,50.37,69.01,52.66,69.28,1989
lucas,74.99,50.51,72.76,52.54,71.02,1989
madison,47.75,42.98,50.61,44.47,48.56,1989
mahoning,66.66,54.83,67.58,58.92,67.27,1989
marion,50.66,37.37,50.63,38.57,49.83,1989
medina,71.57,47.75,71.27,52.66,69.4,1989
meigs,38.42,34.61,39.69,37,39.44,1989
mercer,42.73,38.2,41.44,35.35,42.5,1989
miami,57.01,39.57,57.56,44.19,57.51,1989
monroe,44.29,33.27,43.69,38.03,43.39,1989
montgomery,69.35,52.81,68.1,54.36,67.45,1989
morgan,38.83,30.61,40.18,30.83,39.04,1989
morrow,52.27,44.38,54.64,43.56,54.48,1989
muskingum,55.49,37.73,55.53,39.5,55.35,1989
noble,42,39.16,42.52,39.31,41.44,1989
ottawa,57.38,35.31,53.48,34.11,44.16,1989
paulding,56.38,49.22,59.7,51.21,57.13,1989
perry,53.84,43.33,55.27,45.12,55.08,1989
pickaway,44.99,37.59,47.17,39.9,44.76,1989
pike,53.93,41.38,59.2,43.5,59.8,1989
portage,69.65,44.35,71.04,50.62,69.87,1989
preble,46.91,41.5,48.94,37.59,48.82,1989
putnam,48.32,44.05,45.66,41.26,44.37,1989
richland,59.84,48.01,58.93,45.61,57.46,1989
ross,52.72,40.41,54.64,41.35,54.06,1989
sandusky,49.88,41.09,48.14,42.54,48.33,1989
scioto,50.44,39.46,52.97,44.21,48.52,1989
seneca,49.65,39.57,49.97,42.62,49.48,1989
shelby,45.26,36.67,45.48,34.4,44.25,1989
stark,56.91,39.98,56.31,38.95,55.5,1989
summit,68.81,54.25,67.6,51.8,67.24,1989
trumbull,57.62,47.22,55.46,46.68,55.36,1989
tuscarawas,49.83,38.24,50.31,42.27,49.86,1989
union,50.68,42.27,46.94,40.54,44.89,1989
van wert,53,45.68,53.16,44.26,52.65,1989
vinton,38.89,36.02,38.63,36.27,37.29,1989
warren,59.08,40.17,57.62,39.49,58.82,1989
washington,41.98,33.8,41.77,35.58,40.18,1989
wayne,55.5,41.02,56.99,43.12,56.69,1989
williams,58.77,42.05,57.9,41.36,57.98,1989
wood,62.14,47.71,61.04,49.84,58.84,1989
wyandot,48.01,36.95,49.28,37.82,48.92,1989
adams,38.8,38.06,36.33,34.45,35.37,1990
allen,46.02,40.46,44.48,39.47,46.21,1990
ashland,55.06,43.14,56.79,46.17,54.99,1990
ashtabula,58.3,46.07,58.45,47.23,57.94,1990
athens,70.03,52.93,72.53,54.96,68.19,1990
auglaize,49.15,42.5,48.11,41.62,47.8,1990
belmont,49.71,40.06,48.51,40.57,47.86,1990
brown,47.75,42.44,48.66,42.26,47.81,1990
butler,56,43.84,55.67,45.48,53.79,1990
carroll,47.9,36.31,49.82,36.05,48.09,1990
champaign,53.32,40.67,56.93,41.26,54.15,1990
clark,57.28,40.41,56.49,41.96,56.5,1990
clermont,63.93,47,63.27,46.55,60.02,1990
clinton,49.69,44.38,50.32,44.39,49.24,1990
columbiana,54.93,44.85,56.89,44.22,55.58,1990
coshocton,47.5,40,47.86,40.73,40.84,1990
crawford,60.46,45.16,60.34,43.61,59.73,1990
cuyahoga,86.87,55.88,79.74,62.68,76.49,1990
darke,45.68,40.8,46.88,38.17,46.06,1990
defiance,49.92,44.05,48.74,40.76,48.73,1990
delaware,54.77,46.28,53.77,44.62,52.9,1990
erie,67.25,44.76,67.3,46.79,66.16,1990
fairfield,65.13,39.68,62.61,36.25,61.27,1990
fayette,46.15,40.97,49.2,38.7,46.27,1990
franklin,69.5,52.2,65.57,48.35,65.96,1990
fulton,58.65,49.31,57.35,43.43,57.5,1990
gallia,34.02,30.39,33.35,30.6,32.15,1990
