county,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,year
lawrence,611434280,84250350,9224270,91782100,702830,797393830,2010
licking,2742319160,230724340,97061800,510157450,2717520,3582980270,2010
logan,723600280,136872140,72525990,105136360,0,1038134770,2010
lorain,5111409040,115861950,249680840,928277860,76350,6405306040,2010
lucas,5649127760,77445730,262249380,1784618784,0,7773441654,2010
madison,566088380,131236770,35760500,86367600,0,819453250,2010
mahoning,2912997570,132993450,140895290,779023100,10106530,3976015940,2010
marion,648857260,123381960,41180970,143376970,1640,956798800,2010
medina,3426336140,244015410,162317320,583741750,1086080,4417496700,2010
meigs,152657760,80057200,20204230,21110880,2895550,276925620,2010
mercer,557113380,155787940,25317870,66360440,4370,804584000,2010
miami,1577338020,134719120,120996480,270227960,0,2103281580,2010
monroe,92791120,86292530,6914670,13937150,7099340,207034810,2010
montgomery,7352260120,118757780,322853110,2045540190,0,9839411200,2010
morgan,106572190,74803160,4632500,21940310,1873870,209822030,2010
morrow,503306670,98888980,8085010,38710300,1925170,650916130,2010
muskingum,998615190,140924420,39359240,261962260,7847920,1448709030,2010
noble,93818040,83832230,2855770,14439550,4447140,199392730,2010
ottawa,1314627890,78033630,66077400,193433790,0,1652172710,2010
paulding,187257360,100579090,10825960,22951930,0,321614340,2010
perry,357362760,76327820,9141890,33787500,2946380,479566350,2010
pickaway,719602750,144753870,23439450,108893340,605660,997295070,2010
pike,204192570,59341770,12647310,32858960,0,309040610,2010
portage,2457260480,149648910,180373100,442254550,8716530,3238253570,2010
preble,519695100,153955220,35749740,58057900,0,767457960,2010
putnam,426295460,136737880,26487340,39066030,0,628586710,2010
richland,1472751870,130318160,77909480,289717180,100010,1970796700,2010
ross,737034320,162709260,43484300,153917440,290,1097145610,2010
sandusky,807660800,120771340,57103380,143700860,31670,1129268050,2010
scioto,603247900,113727480,11024480,135769030,7350,863776240,2010
seneca,596888140,155076180,33178040,98055400,18930,883216690,2010
shelby,614671190,128251990,102519150,91698940,0,937141270,2010
stark,5137492420,241313880,264618080,1181982120,13457930,6838864430,2010
summit,9361598220,101467420,383560890,2452978760,7414010,12307019300,2010
trumbull,2425190920,243407350,147359540,478971480,9198440,3304127730,2010
tuscarawas,1064852740,173330510,71570260,213550620,11891410,1535195540,2010
union,835256360,187658600,120357920,134567820,0,1277840700,2010
van wert,313348420,91967690,15245340,36542230,0,457103680,2010
vinton,82861060,60172990,4462710,7175220,2401050,157073030,2010
warren,4387334580,160170600,181573370,783478430,0,5512556980,2010
washington,625807460,118884910,48662940,173899140,2931980,970186430,2010
wayne,1527490640,210499020,108896340,277057340,7789740,2131733080,2010
williams,424592890,126602030,54174810,85988440,0,691358170,2010
wood,1951708390,136900500,187621330,511090140,4500,2787324860,2010
wyandot,230484170,121113690,21342870,34017060,7100,406964890,2010
adams,197664280,86873000,63416780,33941970,0,381896030,2011
allen,1203348670,111254120,109153550,343728750,0,1767485090,2011
ashland,631766980,122663670,31041840,106577610,401070,892451170,2011
ashtabula,1065967390,286709170,82232260,241161870,2866510,1678937200,2011
athens,546045450,112241750,6044330,178073140,1061070,843465740,2011
auglaize,595473030,150399240,53480070,94413790,0,893766130,2011
belmont,648846510,100580280,28464790,182831740,18933620,979656940,2011
brown,481239590,143384380,6228120,57624350,0,688476440,2011
butler,5314185780,181033080,515804900,1051605060,0,7062628820,2011
carroll,328417410,131546650,13420340,40427940,5447760,519260100,2011
champaign,467101040,144170030,27702770,65237310,0,704211150,2011
clark,1570063880,151465490,94427450,398447180,0,2214404000,2011
clermont,2972156140,112141760,100624130,584480880,0,3769402910,2011
clinton,448787280,167726260,25404410,134461950,0,776379900,2011
columbiana,1099990280,197003790,51186970,188567920,2120110,1538869070,2011
coshocton,327253070,125472740,45801030,70824030,3794720,573145590,2011
crawford,423332870,112727030,32030020,75774870,0,643864790,2011
cuyahoga,20295156550,8370120,1275283150,7489093650,7909250,29075812720,2011
darke,595848870,235936670,36471470,87329870,0,955586880,2011
defiance,421492390,149207360,23121420,85694010,0,679515180,2011
delaware,5134252590,120130890,128264270,583971470,51640,5966670860,2011
erie,1496060280,79184740,43754240,383878150,52410,2002929820,2011
fairfield,2381628400,219970830,38213330,440637390,1189380,3081639330,2011
fayette,315582290,129893590,28289890,76110100,2960,549878830,2011
franklin,17765108290,66506660,1412182580,6392019650,0,25635817180,2011
fulton,515301280,173888000,54119140,86001990,110,829310520,2011
gallia,254373450,111833770,5093670,119074710,458200,490833800,2011
geauga,2271959950,303733560,84714830,249962880,4364390,2914735610,2011
greene,2755081020,201869380,46632570,676233450,0,3679816420,2011
guernsey,358741240,74695560,19193280,87271610,4792490,544694180,2011
hamilton,12700328940,49068010,940474400,3827088790,0,17516960140,2011
hancock,1020071800,185217120,85357860,239762650,0,1530409430,2011
hardin,271175540,174030410,20595200,39668350,0,505469500,2011
harrison,118734650,89380580,7977130,17483260,2746780,236322400,2011
henry,352500010,169984720,20656150,41099500,0,584240380,2011
highland,448613300,136562210,13415270,64989080,0,663579860,2011
hocking,414914160,47582240,6695060,40997330,653660,510842450,2011
holmes,425364410,209751650,40897690,89359520,3149100,768522370,2011
huron,722116080,141259710,40848920,119374770,560750,1024160230,2011
jackson,271975100,72822540,14065270,68711640,390510,427965060,2011
jefferson,631283685,73492650,69664090,127673070,2859870,904973365,2011
knox,747655140,244198630,33636070,91518350,2619020,1119627210,2011
lake,4543110230,64556340,364433120,1005382670,1413150,5978895510,2011
lawrence,610863220,84390990,9038610,90550790,702830,795546440,2011
licking,2686145830,266702260,101496960,539017780,2881250,3596244080,2011
