county,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,year
huron,243322520,52054350,21725210,58988410,40510,376131000,1989
jackson,90096100,27800730,10901960,22214590,306860,151320240,1989
jefferson,276706640,31358700,64181930,63753260,1433060,437433590,1989
knox,197846250,68439170,12532420,37066060,1595480,317479380,1989
lake,1571955860,46704320,184451180,1163940320,0,2967051680,1989
lawrence,193737740,32603890,8152880,36075430,956370,271526310,1989
licking,633158500,99613710,47507910,164783490,1353360,946416970,1989
logan,214868880,49808960,21787250,45778030,0,332243120,1989
lorain,1400851060,61084000,114092600,335257540,256700,1911541900,1989
lucas,2471525720,42746660,205584230,951344140,0,3671200750,1989
madison,138389430,64707860,9374500,26965520,0,239437310,1989
mahoning,1123969930,64096960,68221500,316893220,6578600,1579760210,1989
marion,251076800,48367010,30031920,69215140,18330,398709200,1989
medina,869146160,107831100,46932360,147157230,3312880,1174379730,1989
meigs,56219250,33297870,22528910,11451700,4705220,128202950,1989
mercer,160746780,92112050,14429780,38843350,2000,306133960,1989
miami,563778920,60694360,58610880,99289000,0,782373160,1989
monroe,39952420,26759750,19611500,6204120,4825250,97353040,1989
montgomery,2948196080,62547120,275818440,1084542840,0,4371104480,1989
morgan,36943730,33905590,5004170,16281060,3247540,95382090,1989
morrow,99647300,50000450,4292530,12962570,1843110,168745960,1989
muskingum,316971480,65534040,17743760,92566450,8501830,501317560,1989
noble,29119410,29384590,2579650,5602410,4522000,71208060,1989
ottawa,313843050,48401770,36744750,67381020,29060,466399650,1989
paulding,65931200,36948210,6398710,9742690,0,119020810,1989
perry,86941780,33319410,6130150,16120310,4014210,146525860,1989
pickaway,170783940,66276050,21394030,34369210,0,292823230,1989
pike,66655150,28754930,1752410,12536330,0,109698820,1989
portage,669006660,73924750,45864360,129300230,7424000,925520000,1989
preble,162798110,67041960,12847270,24252570,0,266939910,1989
putnam,122014000,80007470,5936950,21531390,0,229489810,1989
richland,537068020,52422740,70761810,175534280,0,835786850,1989
ross,250618350,56425520,36149210,60281000,0,403474080,1989
sandusky,265281380,63946930,29674580,50643160,29820,409575870,1989
scioto,239789900,37450430,13575620,62152410,0,352968360,1989
seneca,225961110,81829520,23565200,52035130,11900,383402860,1989
shelby,177606160,63763890,37017770,45173840,290,323561950,1989
stark,1809177810,143370360,155314330,567275830,8272370,2683410700,1989
summit,2956498190,50184120,200905150,961118020,6561900,4175267380,1989
trumbull,1021199560,110369550,121368400,258628760,7272620,1518838890,1989
tuscarawas,342063780,78281510,34511460,96231030,9169850,560257630,1989
union,130431880,65241270,53187750,33750550,0,282611450,1989
van wert,110700510,62739570,15405800,24724650,1010,213571540,1989
vinton,26248740,21396630,5164000,3437090,1874960,58121420,1989
warren,706720760,60568700,30542950,181526180,0,979358590,1989
washington,234351710,65341250,36494180,62649830,3481430,402318400,1989
wayne,512696420,119139660,57287850,102820080,4465930,796409940,1989
williams,142156280,46050380,23910160,28675620,0,240792440,1989
wood,570358570,92025020,66283470,159652450,9200,888328710,1989
wyandot,77504440,45749770,12488930,14526370,1000,150270510,1989
adams,49495500,33923510,52991870,10966210,0,147377090,1990
allen,463626140,56040790,56295820,137565150,0,713527900,1990
ashland,208631640,51953280,19042710,42130490,336850,322094970,1990
ashtabula,394717290,108118080,45865230,109179790,3526660,661407050,1990
athens,177883530,43011080,5707320,69704550,1442560,297749040,1990
auglaize,220667260,48076650,22754740,44684800,0,336183450,1990
belmont,261797770,43085140,20766640,75252730,6250130,407152410,1990
brown,115489320,48972470,4396400,22481980,0,191340170,1990
butler,1986709820,81509550,246010190,483995610,0,2798225170,1990
carroll,89471130,58083830,6622590,17968110,2335630,174481290,1990
champaign,144954130,54927710,11645100,27692050,0,239218990,1990
clark,704894760,53220650,50639460,182887630,0,991642500,1990
clermont,897531160,57371880,37589920,287454930,0,1279947890,1990
clinton,137589170,55755470,16513190,39589360,0,249447190,1990
columbiana,356828740,85610200,23864570,68077010,1867010,536247530,1990
coshocton,126603520,51891620,27575570,30407660,5894150,242372520,1990
crawford,179877580,52414840,23387840,44815010,0,300495270,1990
cuyahoga,9377569890,1095900,980805240,3608663700,0,13968134730,1990
darke,227817670,91279910,14935090,40704200,0,374736870,1990
defiance,175265480,45446530,18658390,38421210,0,277791610,1990
delaware,684645270,69837140,39429120,101412460,0,895323990,1990
erie,459651440,50573020,54947370,121140940,24980,686337750,1990
fairfield,647311930,80652510,30300080,133185410,205500,891655430,1990
fayette,88458000,54874490,8134020,27267060,0,178733570,1990
franklin,6426724180,69182050,774106940,3466428490,0,10736441660,1990
fulton,188209890,65620940,31212810,37879240,110,322922990,1990
gallia,84258520,32680810,2755220,61583800,609880,181888230,1990
geauga,797098670,128897870,32794320,86148220,2683170,1047622250,1990
greene,1053535120,64912250,33534390,201727450,0,1353709210,1990
guernsey,126983440,38531880,10615360,39563680,5043000,220737360,1990
hamilton,6186398080,17313860,639744700,2520363330,0,9363819970,1990
hancock,337342630,93242450,62721040,116158220,0,609464340,1990
hardin,92938980,54884410,9128940,22529770,490,179482590,1990
harrison,55865850,27553040,8493790,11177970,3370950,106461600,1990
henry,118972810,69902630,15530570,18967690,0,223373700,1990
highland,115153070,50237840,5898240,25725470,0,197014620,1990
hocking,107090660,16089660,6847690,13040500,1463630,144532140,1990
holmes,97754810,82810550,12695020,24033070,3095400,220388850,1990
huron,247561610,51586450,23501870,62149190,47690,384846810,1990
jackson,91363190,27772890,10875000,23837120,313770,154161970,1990
jefferson,277528840,30606530,63788060,64739400,1449180,438112010,1990
knox,221852470,70154260,13113990,40341790,1515900,346978410,1990
lake,1613484320,44815710,194815140,1187542310,0,3040657480,1990
lawrence,195308970,32531500,8178720,36601990,951910,273573090,1990
licking,742622970,99542160,48045630,171203960,1253340,1062668060,1990
logan,222043160,49987670,23419040,46926630,0,342376500,1990
lorain,1439356580,59142460,120826980,336769570,249600,1956345190,1990
lucas,2533745790,43109890,206874890,967954800,0,3751685370,1990
madison,149362200,54319020,10141250,30764460,0,244586930,1990
mahoning,1185600540,63360770,69431670,321993680,6737290,1647123950,1990
marion,252405340,47979840,29531890,69864760,83430,399865260,1990
medina,902263000,107884860,48314440,157722840,3031220,1219216360,1990
meigs,57101600,33215260,22504290,11052770,4604530,128478450,1990
mercer,189521390,85410480,14480580,41072470,2000,330486920,1990
miami,578278660,59109160,60605930,103074590,0,801068340,1990
monroe,40461750,25853220,19265010,6327140,5046570,96953690,1990
montgomery,3724104110,62415040,278394630,1329998070,0,5394911850,1990
morgan,37646030,35070670,5058840,16307900,3163450,97246890,1990
morrow,101734930,44110510,4246570,13101220,1856760,165049990,1990
muskingum,320873660,65305180,18059330,94247520,8157520,506643210,1990
noble,31536700,32841870,2562850,5840220,4485380,77267020,1990
ottawa,324817940,48421890,37795690,70548020,29010,481612550,1990
paulding,67617310,36638420,6647150,10127940,0,121030820,1990
perry,91480770,32498180,6212300,16203700,3771860,150166810,1990
pickaway,198335300,56789490,21267860,37124310,0,313516960,1990
pike,68248300,28715920,1475730,13760690,0,112200640,1990
portage,685088590,74995490,45656740,136141990,6909220,948792030,1990
preble,175220520,58897750,13585210,25604500,0,273307980,1990
putnam,139466380,70739270,6301640,22061330,0,238568620,1990
richland,577728530,47745260,72110870,179603230,0,877187890,1990
ross,254318510,56503950,36261670,61455460,0,408539590,1990
sandusky,267700540,62810680,32911650,54317860,31220,417771950,1990
scioto,241683680,37151870,11610330,62483580,0,352929460,1990
seneca,236137110,72145330,25206010,50482680,11240,383982370,1990
shelby,212303680,61011260,39480840,47621210,290,360417280,1990
stark,1858047230,148321610,150437000,593219190,8037420,2758062450,1990
summit,3543438100,59940440,242256970,1156131820,5990830,5007758160,1990
trumbull,1052866130,108850810,122470770,263834790,6898740,1554921240,1990
tuscarawas,347780490,79580380,35719870,98829110,8447970,570357820,1990
union,136712000,66112780,51903180,34079340,0,288807300,1990
van wert,127591130,54236780,15442190,26887760,970,224158830,1990
vinton,26914300,21399760,5196730,3420780,1848930,58780500,1990
warren,743899890,61983730,33040680,190480400,0,1029404700,1990
washington,238258600,66150890,37232230,62650650,3318040,407610410,1990
wayne,535383880,97691510,61109380,109748640,4166200,808099610,1990
williams,145521520,46247180,24105440,29231060,0,245105200,1990
wood,649856310,79217400,67562200,175963000,8850,972607760,1990
wyandot,79185420,45386290,12296600,14671430,950,151540690,1990
adams,51791930,34754320,52991870,11331740,0,150869860,1991
allen,564607850,58462800,62183270,150877110,0,836131030,1991
ashland,212877850,51900410,19794110,43644870,391120,328608360,1991
ashtabula,397559970,108308870,45022380,108730730,3656150,663278100,1991
athens,180690060,42682500,5453840,69682440,1369030,299877870,1991
auglaize,225809720,47990130,24087500,48220410,0,346107760,1991
belmont,266931880,43412690,20892560,76922980,6102160,414262270,1991
brown,135732270,47956010,4909560,23057340,0,211655180,1991
butler,2043865180,74700210,262267600,475737510,0,2856570500,1991
carroll,91124630,58156750,6714640,18081430,2570700,176648150,1991
champaign,148663210,55281150,11705490,28067320,0,243717170,1991
clark,718855830,53990320,51491860,185854790,0,1010192800,1991
clermont,933842670,56872260,40177250,337572080,0,1368464260,1991
clinton,141459090,55697670,16605800,40738630,0,254501190,1991
columbiana,360458180,86720230,24555610,71082410,2308260,545124690,1991
coshocton,143487130,48870210,34462560,34249320,5743400,266812620,1991
crawford,187619890,49103600,22828870,44827380,0,304379740,1991
cuyahoga,11231249810,1155050,1090495570,4289017870,0,16611918300,1991
darke,232483120,91189620,15162350,41093620,0,379928710,1991
defiance,178306550,45411590,18752220,38810730,0,281281090,1991
delaware,745025300,70598070,38012160,112829600,0,966465130,1991
erie,545005400,52392230,57173120,140448760,20490,795040000,1991
fairfield,671181770,80095560,29915160,141447830,297460,922937780,1991
fayette,101644090,52991530,8850580,27190670,0,190676870,1991
franklin,6611546430,73238140,804888010,3545465630,0,11035138210,1991
fulton,192602330,64743200,34621240,39204130,110,331171010,1991
gallia,85169010,32432020,2755220,62245260,572270,183173780,1991
geauga,825399150,131029100,32913350,89968910,3253270,1082563780,1991
greene,1082218900,65842920,33276800,204506890,0,1385845510,1991
guernsey,142904250,33069840,10139730,41025480,5364940,232504240,1991
hamilton,6329696960,17146130,638313790,2567049400,0,9552206280,1991
hancock,346159930,94390060,64775540,110927520,0,616253050,1991
hardin,94854160,54053840,10387010,22698880,490,181994380,1991
harrison,56354530,27571320,8551220,11199600,3838260,107514930,1991
henry,122101470,58387180,14736820,18326050,0,213551520,1991
highland,128775950,49770090,6087520,26185910,0,210819470,1991
hocking,109675280,16530970,7026660,13531960,1350680,148115550,1991
holmes,100576690,84177420,15166010,26084890,4250450,230255460,1991
huron,268216630,49522410,24265880,69640520,37310,411682750,1991
jackson,93237440,27612350,10376320,24117590,324910,155668610,1991
jefferson,278386880,30467790,63762810,66328470,1457560,440403510,1991
knox,225724640,69870220,15683240,40819940,1570090,353668130,1991
lake,1853851110,47543440,204379640,540637160,0,2646411350,1991
lawrence,197319070,32521390,8099700,37171440,1010030,276121630,1991
licking,766554130,98126350,49506300,182217470,1316160,1097720410,1991
logan,229978900,50206720,24637320,48844440,0,353667380,1991
lorain,1708852390,56391260,126582830,362701460,277830,2254805770,1991
lucas,2791476320,44128130,205846780,1040070810,0,4081522040,1991
madison,168095490,54395120,9901220,31242940,0,263634770,1991
mahoning,1214988140,63632380,70318780,328691790,9290570,1686921660,1991
marion,254677830,47701200,30282560,73643110,100890,406405590,1991
medina,941888290,108383030,48579850,164302190,3835610,1266988970,1991
meigs,57869830,33212560,23571080,11312270,4615200,130580940,1991
mercer,194437080,85526530,14527590,42019640,1900,336512740,1991
miami,592606880,59335670,59651040,108229010,0,819822600,1991
monroe,41499910,26217740,19282380,6416830,5076600,98493460,1991
montgomery,3767800650,64469190,277721670,1329075100,0,5439066610,1991
morgan,40027670,35124630,5080640,16489920,3272670,99995530,1991
morrow,103728670,44075260,4399870,13512110,2478140,168194050,1991
muskingum,325493870,57542850,18886150,98936670,8154420,509013960,1991
noble,31929620,32460890,2562850,5837990,4831450,77622800,1991
ottawa,383732050,47068130,37745920,79251050,28340,547825490,1991
paulding,68934890,36526550,6598660,10204210,0,122264310,1991
perry,93000490,32184350,6302290,16284690,3750480,151522300,1991
pickaway,204105150,57123640,21224340,38217620,0,320670750,1991
pike,69409730,28585470,1475650,13895570,0,113366420,1991
portage,797990020,76883160,46483650,158283220,8524810,1088164860,1991
preble,178642670,58927980,13731730,25932570,0,277234950,1991
putnam,144283190,70351460,6899050,22502630,0,244036330,1991
richland,587263270,48144410,71935780,183394210,0,890737670,1991
ross,259406500,56958320,37305580,61942470,0,415612870,1991
sandusky,308653540,63098130,36304770,65949030,28490,474033960,1991
scioto,246203410,37963440,10836060,65918490,0,360921400,1991
seneca,238342910,72459840,27684780,53078370,11640,391577540,1991
shelby,222149840,61403800,40531990,48904210,2400,372992240,1991
stark,2139460170,161215880,148929240,610202250,8935630,3068743170,1991
summit,3621141760,58365030,223001140,1192649260,5949630,5101106820,1991
trumbull,1072484460,109166180,125175650,269286510,8703190,1584815990,1991
tuscarawas,357561950,81874710,36691100,102880410,9618810,588626980,1991
union,143135200,65770577,53607490,39137230,0,301650497,1991
van wert,129805400,54114130,15709460,27011450,23310,226663750,1991
vinton,28735710,22885460,4391260,3779970,1852920,61645320,1991
warren,867606150,63700680,42183880,221619620,0,1195110330,1991
washington,242106870,66877130,38338480,64066030,3404500,414793010,1991
wayne,548273640,97070310,62368700,113677010,4647820,826037480,1991
williams,163546330,42381920,24178670,30560550,0,260667470,1991
wood,666337710,79039690,68237120,184667660,8650,998290830,1991
wyandot,80574520,45132810,12321120,15730190,930,153759570,1991
adams,66303240,39035510,56549710,12482230,0,174370690,1992
allen,574448000,57762120,62568270,152458630,0,847237020,1992
ashland,217453190,52250490,19771420,44442990,362520,334280610,1992
ashtabula,402835100,108923080,45338870,111349200,3026710,671472960,1992
athens,184780830,42308900,5513020,70886470,1236410,304725630,1992
auglaize,231650740,47791360,24554740,50100760,0,354097600,1992
belmont,270224040,43768160,20730190,78581900,4938620,418242910,1992
brown,140626190,48429560,4848740,23348950,0,217253440,1992
butler,2115533010,74608220,267379670,470535120,0,2928056020,1992
carroll,100732090,59130550,6744210,18433670,2067230,187107750,1992
champaign,178960280,62088900,11760470,28364570,0,281174220,1992
clark,858056230,60499480,55844310,201558130,0,1175958150,1992
clermont,971807400,57426020,41349960,335056400,0,1405639780,1992
clinton,145535800,56335390,17091780,40962350,0,259925320,1992
columbiana,477132860,65839100,32983090,99746120,2765750,678466920,1992
coshocton,144203350,48274970,34503760,33766540,5457490,266206110,1992
crawford,188944560,48965270,22491260,44736830,0,305137920,1992
cuyahoga,11353944870,1249300,1093403150,4307334080,0,16755931400,1992
darke,238989980,91462920,15165200,42483170,0,388101270,1992
defiance,181765380,45858600,18741610,38879460,0,285245050,1992
delaware,791876470,70174560,38564360,116090380,0,1016705770,1992
erie,554895310,52696730,56207410,146869690,28900,810698040,1992
fairfield,725188510,80289250,30462560,144778190,174340,980892850,1992
fayette,104217680,52529670,9195230,27490310,2370,193435260,1992
franklin,6789002630,70334070,832718930,3578939440,0,11270995070,1992
fulton,198107480,64304130,31791180,40030160,110,334233060,1992
gallia,87353850,33056460,2644800,62552700,550240,186158050,1992
geauga,852236110,130985850,33802080,90230020,3086250,1110340310,1992
greene,1108749560,66457630,33832600,210530690,0,1419570480,1992
guernsey,144066440,32537990,10119370,41585630,4868850,233178280,1992
hamilton,6464911300,18205970,667985880,2543740690,0,9694843840,1992
hancock,434958620,92192620,64941540,119112470,0,711205250,1992
hardin,97686150,54466380,10817760,22747170,0,185717460,1992
harrison,56565200,27393480,8551220,11491480,3756620,107758000,1992
henry,126299760,58422690,15716100,18926850,0,219365400,1992
highland,131725920,50433400,5852140,26676520,0,214687980,1992
hocking,124324490,17089160,7593470,15429830,940380,165377330,1992
holmes,114987220,97246030,17014950,30051530,5342570,264642300,1992
huron,274203700,49010590,25002490,71176590,34820,419428190,1992
jackson,96032640,28062850,15850820,24183940,327240,164457490,1992
jefferson,280709780,30045160,63794150,68228520,1531890,444309500,1992
knox,230550470,70439720,16125680,41345630,1193360,359654860,1992
lake,1904062250,48020410,205548670,547722770,0,2705354100,1992
lawrence,226465600,34631480,9222010,51185220,762450,322266760,1992
licking,792187940,98373090,49025070,181999600,1403720,1122989420,1992
logan,262380160,52220740,24726370,50305750,0,389633020,1992
lorain,1751435260,55555390,129787030,369738530,269740,2306785950,1992
lucas,2819699970,43565250,203608770,1043604720,0,4110478710,1992
madison,174879840,54083610,9901880,32058760,0,270924090,1992
mahoning,1240069980,65056060,69545070,335322480,8753700,1718747290,1992
marion,269903120,50079730,29134630,78160570,10930,427288980,1992
medina,1078043020,115857090,49743870,178695100,3227330,1425566410,1992
meigs,62965760,34430510,23819170,12705280,4423500,138344220,1992
mercer,200283890,87370750,13940400,42253590,2000,343850630,1992
miami,674269170,64306400,61720930,118228860,0,918525360,1992
monroe,45195130,30548730,19234350,6951800,5165270,107095280,1992
montgomery,3812714700,68340750,283321840,1313811650,0,5478188940,1992
morgan,40729300,36424940,5080640,16211900,2835150,101281930,1992
morrow,107898600,44430480,4187490,13547300,1941270,172005140,1992
muskingum,329213640,57178690,19344530,100863260,7924440,514524560,1992
noble,32406170,32585300,2528570,5795420,5252200,78567660,1992
ottawa,389707590,47688970,58732190,81184040,28300,577341090,1992
paulding,78291160,39069010,6784210,10395700,0,134540080,1992
perry,98731970,33192410,6439090,17107950,3601780,159073200,1992
pickaway,209073500,57827460,21835250,41273580,0,330009790,1992
pike,70970650,28471170,1435530,14006000,0,114883350,1992
portage,826659060,77248450,48188680,160572120,8496670,1121164980,1992
preble,182798910,59099100,15231690,26592620,0,283722320,1992
putnam,148532800,70847200,7144440,22935370,0,249459810,1992
richland,595505940,48095780,63754510,183569680,0,890925910,1992
ross,265400250,58692640,36503550,63146200,0,423742640,1992
sandusky,313126100,62909870,36514950,65378470,27860,477957250,1992
scioto,274836900,41330370,11933350,78901130,0,407001750,1992
seneca,240901900,72245890,25387190,53958130,11710,392504820,1992
shelby,230255360,61877330,42438730,46902500,1880,381475800,1992
