year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2019,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,350,350,980
2019,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,350,350,1070
2019,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,350,350,990
2019,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,350,350,980
2019,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,350,350,610
2019,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,350,350,920
2019,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,1180,810,2030
2019,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350
2019,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,920,550,1730
2019,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,910,540,1720
2019,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,880,510,1680
2019,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,570,350,1320
2019,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,480,350,1220
2019,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,600,350,1370
2019,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,470,350,1210
2019,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,580,350,1340
2019,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350
2019,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,350,350,1090
2019,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350
2019,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,350,350,1090
2019,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,350,350,1090
2019,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,1610,1210,2570
2019,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,1610,1210,2570
2019,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,350,350,430
2019,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350
2019,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350
2019,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350
2019,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,800,420,1620
2019,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,350,350,560
2019,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,350,350,790
2019,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,350,350,550
2019,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350
2019,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350
2019,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,380,350,1150
2019,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,630,350,1430
