year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2016,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,840,550,1880
2016,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,950,650,2000
2016,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,980,680,2060
2016,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,940,640,2010
2016,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,390,350,1380
2016,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,780,490,1820
2016,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,2060,1740,3250
2016,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350
2016,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,1790,1470,2940
2016,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,1740,1430,2880
2016,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,1710,1400,2850
2016,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,1260,960,2350
2016,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,1140,840,2210
2016,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,1310,1010,2410
2016,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,1120,820,2180
2016,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,1280,980,2370
2016,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350
2016,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,1160,830,2310
2016,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350
2016,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,1160,830,2310
2016,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,1160,830,2310
2016,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,2870,2520,4200
2016,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,2870,2520,4200
2016,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,350,350,1240
2016,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350
2016,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350
2016,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350
2016,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,1700,1370,2880
2016,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,420,350,1430
2016,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,620,350,1650
2016,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,400,350,1400
2016,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350
2016,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350
2016,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,1180,870,2300
2016,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,1460,1140,2610
2016,ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,990,680,2070
2016,ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,1180,870,2300
2016,ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,950,650,2030
2016,"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,3320,2960,4690
2016,ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,indx_89,3620,3250,5020
2016,ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,indx_79,3320,2960,4690
2016,ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,indx_59,350,350,350
2016,ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,indx_49,350,350,350
2016,ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,indx_79,3320,2960,4690
2016,ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,indx_79,3320,2960,4690
2016,ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,indx_69,2240,1910,3470
2016,ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,indx_79,2940,2590,4260
2016,ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,indx_69,2150,1820,3370
2016,ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,indx_69,1670,1350,2820
2016,ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,indx_69,2010,1690,3200
2016,"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,3040,2690,4380
2016,"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,1970,1620,3240
2016,"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,2870,2520,4200
2016,ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,indx_79,2830,2480,4150
2016,ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,indx_79,2870,2520,4200
2016,ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,1440,1130,2550
2016,ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,1820,1500,2980
2016,"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,1460,1140,2610
2016,"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,indx_59,350,350,350
2016,"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,indx_69,1750,1430,2920
2016,ALLEGHENYL15-25SW,ALLEGHENY,L,15-25,S,W,indx_59,350,350,350
2016,ALLEGHENYL2-6SW,ALLEGHENY,L,2-6,S,W,indx_79,1860,1530,3060
2016,ALLEGHENYL3-8SW,ALLEGHENY,L,3-8,S,W,indx_79,1690,1370,2870
2016,ALLEGHENYL6-12SW,ALLEGHENY,L,6-12,S,W,indx_69,1460,1140,2610
2016,ALLEGHENYL8-15SW,ALLEGHENY,L,8-15,S,W,indx_69,1230,920,2340
2016,ALLEGHENYSIL10-15MW,ALLEGHENY,SIL,10-15,M,W,indx_69,1040,730,2120
2016,ALLEGHENYSIL10-15SW,ALLEGHENY,SIL,10-15,S,W,indx_69,1230,920,2340
2016,ALLEGHENYSIL12-18SW,ALLEGHENY,SIL,12-18,S,W,indx_69,1040,730,2120
2016,ALLEGHENYSIL2-6SW,ALLEGHENY,SIL,2-6,S,W,indx_79,1860,1530,3060
2016,ALLEGHENYSIL5-10MW,ALLEGHENY,SIL,5-10,M,W,indx_69,1270,960,2390
2016,ALLEGHENYSIL5-10SW,ALLEGHENY,SIL,5-10,S,W,indx_69,1460,1140,2610
2016,ALLEGHENYSIL6-12SW,ALLEGHENY,SIL,6-12,S,W,indx_69,1460,1140,2610
2016,ALLISCL0-2SP,ALLIS,CL,0-2,S,P,indx_59,350,350,350
2016,ALLISL0-2SP,ALLIS,L,0-2,S,P,indx_59,350,350,350
2016,ALLISSICL0-2SP,ALLIS,SICL,0-2,S,P,indx_59,350,350,350
2016,ALLISSICL2-6SP,ALLIS,SICL,2-6,S,P,indx_59,350,350,350
2016,ALLISSIL0-2SP,ALLIS,SIL,0-2,S,P,indx_59,350,350,350
2016,ALLISST-SIL0-2SP,ALLIS,ST-SIL,0-2,S,P,indx_49,350,350,350
2016,ALVADAL0-1SVP,ALVADA,L,0-1,S,VP,indx_99,3930,3550,5410
2016,ALVADASICL0-1SVP,ALVADA,SICL,0-1,S,VP,indx_99,3760,3380,5210
2016,"AMANDA-LOUDONVILLE,C12-20MW","AMANDA-LOUDONVILLE,C",,12-20,M,W,indx_59,350,350,1330
2016,"AMANDA-LOUDONVILLE,C2-6MW","AMANDA-LOUDONVILLE,C",,2-6,M,W,indx_69,1330,1010,2450
2016,"AMANDA-LOUDONVILLE,C6-12MW","AMANDA-LOUDONVILLE,C",,6-12,M,W,indx_69,1010,710,2090
2016,"AMANDA-OCKLEY,C12-20MW","AMANDA-OCKLEY,C",,12-20,M,W,indx_69,940,640,2010
2016,"AMANDA-OCKLEY,C6-12MW","AMANDA-OCKLEY,C",,6-12,M,W,indx_69,1640,1320,2800
2016,"AMANDA-WOOSTER,C12-18MW","AMANDA-WOOSTER,C",,12-18,M,W,indx_59,350,350,350
2016,"AMANDA-WOOSTER,C2-6SW","AMANDA-WOOSTER,C",,2-6,S,W,indx_79,1430,1110,2600
2016,"AMANDA-WOOSTER,C6-12MW","AMANDA-WOOSTER,C",,6-12,M,W,indx_69,420,350,1460
2016,"AMANDA,VSIL12-18MW","AMANDA,V",SIL,12-18,M,W,indx_59,350,350,350
2016,"AMANDA,VSIL6-12MW","AMANDA,V",SIL,6-12,M,W,indx_69,2060,1740,3270
2016,AMANDAL12-18MW,AMANDA,L,12-18,M,W,indx_69,440,350,1450
2016,AMANDAL18-25SW,AMANDA,L,18-25,S,W,indx_59,350,350,350
2016,AMANDASICL12-20SEW,AMANDA,SICL,12-20,SE,W,indx_59,350,350,350
2016,AMANDASICL6-12SEW,AMANDA,SICL,6-12,SE,W,indx_69,610,350,1640
2016,AMANDASIL12-18MW,AMANDA,SIL,12-18,M,W,indx_69,440,350,1450
2016,AMANDASIL12-20MW,AMANDA,SIL,12-20,M,W,indx_69,420,350,1430
2016,AMANDASIL18-25MW,AMANDA,SIL,18-25,M,W,indx_59,350,350,350
2016,AMANDASIL18-25SW,AMANDA,SIL,18-25,S,W,indx_59,350,350,350
2016,AMANDASIL2-6MW,AMANDA,SIL,2-6,M,W,indx_79,1430,1110,2570
2016,AMANDASIL2-6SW,AMANDA,SIL,2-6,S,W,indx_79,1770,1440,2950
2016,AMANDASIL6-12MW,AMANDA,SIL,6-12,M,W,indx_69,1110,800,2210
2016,"AQUENTS,CLAYEY0-1SVP","AQUENTS,CLAYEY",,0-1,S,VP,indx_49,350,350,350
2016,"AQUENTS,NEARLY LEVEL0-2SVP","AQUENTS,NEARLY LEVEL",,0-2,S,VP,indx_49,350,350,350
2016,"ARKPORT,V.LFS0-2SW","ARKPORT,V.",LFS,0-2,S,W,indx_69,870,570,1960
2016,"ARKPORT,V.LFS2-6SW","ARKPORT,V.",LFS,2-6,S,W,indx_69,410,350,1440
2016,ARKPORTFS2-6SW,ARKPORT,FS,2-6,S,W,indx_69,1330,1020,2430
2016,ARKPORTFS6-12SW,ARKPORT,FS,6-12,S,W,indx_69,1120,820,2180
2016,ARKPORTFSL0-6SW,ARKPORT,FSL,0-6,S,W,indx_69,1690,1380,2830
2016,ARKPORTFSL12-18SW,ARKPORT,FSL,12-18,S,W,indx_59,350,350,350
2016,ARKPORTFSL6-12SW,ARKPORT,FSL,6-12,S,W,indx_69,1290,980,2380
2016,ARKPORTLFS0-2SW,ARKPORT,LFS,0-2,S,W,indx_69,1690,1380,2830
2016,ARKPORTLFS12-18SW,ARKPORT,LFS,12-18,S,W,indx_59,350,350,350
2016,ARKPORTLFS2-6SW,ARKPORT,LFS,2-6,S,W,indx_69,1330,1020,2430
2016,ARKPORTLFS6-12SW,ARKPORT,LFS,6-12,S,W,indx_69,1120,820,2180
2016,"ASHTON,OF-PHSIL0-2SW","ASHTON,OF-PH",SIL,0-2,S,W,indx_89,2360,2010,3650
2016,ASHTONSIL0-2SW,ASHTON,SIL,0-2,S,W,indx_89,2360,2010,3650
2016,ASHTONSIL0-3SW,ASHTON,SIL,0-3,S,W,indx_89,2360,2010,3650
2016,ASHTONSIL2-6SW,ASHTON,SIL,2-6,S,W,indx_79,2120,1780,3380
2016,ATHERTONSIL0-2SVP,ATHERTON,SIL,0-2,S,VP,indx_69,1610,1320,2730
2016,ATLASSICL6-12MSWP,ATLAS,SICL,6-12,M,SWP,indx_59,610,350,1640
2016,ATLASSIL2-6MSWP,ATLAS,SIL,2-6,M,SWP,indx_69,1150,850,2250
2016,ATLASSIL2-6SSWP,ATLAS,SIL,2-6,S,SWP,indx_69,1350,1030,2480
2016,ATLASSIL6-12MSWP,ATLAS,SIL,6-12,M,SWP,indx_69,860,560,1920
2016,ATLASSIL6-12SESWP,ATLAS,SIL,6-12,SE,SWP,indx_49,350,350,350
2016,AURANDFSL0-2SSWP,AURAND,FSL,0-2,S,SWP,indx_99,3760,3380,5210
2016,AURANDL0-2SSWP,AURAND,L,0-2,S,SWP,indx_99,3930,3550,5410
2016,AURANDL0-3SSWP,AURAND,L,0-3,S,SWP,indx_99,3930,3550,5410
2016,AURANDSIL0-3SSWP,AURAND,SIL,0-3,S,SWP,indx_99,3930,3550,5410
2016,AVASIL0-3SMW,AVA,SIL,0-3,S,MW,indx_79,2490,2160,3750
2016,AVASIL3-8MMW,AVA,SIL,3-8,M,MW,indx_69,1770,1460,2930
