year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2011,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,440,NA,NA
2011,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,500,NA,NA
2011,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,490,NA,NA
2011,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,470,NA,NA
2011,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,300,NA,NA
2011,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,390,NA,NA
2011,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,1040,NA,NA
2011,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,300,300,300
2011,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,890,NA,NA
2011,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,870,NA,NA
2011,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,850,NA,NA
2011,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,650,NA,NA
2011,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,550,NA,NA
2011,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,690,NA,NA
2011,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,540,NA,NA
2011,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,680,NA,NA
2011,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,300,300,300
2011,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,600,NA,NA
2011,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,300,300,300
2011,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,600,NA,NA
2011,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,600,NA,NA
2011,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,1430,NA,NA
2011,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,1430,NA,NA
2011,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,300,NA,NA
2011,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,300,300,300
2011,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,300,300,300
2011,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,300,300,300
2011,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,830,NA,NA
2011,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,300,NA,NA
2011,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,360,NA,NA
2011,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,300,NA,NA
2011,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,300,300,300
