year,cauv_projected_low,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,350,BERKS,CN-SIL,6-18,S,W,indx_59,BERKSCN-SIL6-18SW,350,350
2019,350,BERKS,CN-SIL,8-15,S,W,indx_59,BERKSCN-SIL8-15SW,350,350
2019,350,"BERKS-GUERNSEY,C.",,15-25,S,W,indx_49,"BERKS-GUERNSEY,C.15-25SW",350,350
2019,350,"BERKS-GUERNSEY,C.",,8-15,S,W,indx_59,"BERKS-GUERNSEY,C.8-15SW",350,350
2019,350,BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,indx_49,BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW,350,350
2019,350,BERKS,SH-SIL,15-25,S,W,indx_49,BERKSSH-SIL15-25SW,350,350
2019,350,BERKS,SH-SIL,3-8,S,W,indx_59,BERKSSH-SIL3-8SW,350,350
2019,350,BERKS,SH-SIL,8-15,S,W,indx_59,BERKSSH-SIL8-15SW,350,350
2019,350,BERKS,SIL,12-18,S,W,indx_49,BERKSSIL12-18SW,350,350
2019,350,BERKS,SIL,15-25,S,W,indx_49,BERKSSIL15-25SW,350,350
2019,350,BERKS,SIL,18-25,S,W,indx_49,BERKSSIL18-25SW,350,350
2019,350,BERKS,SIL,3-8,S,W,indx_59,BERKSSIL3-8SW,350,350
2019,350,BERKS,STV-SIL,15-25,M,W,indx_49,BERKSSTV-SIL15-25MW,350,350
2019,400,"BERKS-TARHOLLOW,C",,6-15,S,W,indx_59,"BERKS-TARHOLLOW,C6-15SW",450,350
2019,350,BERKS-WESTMORELAND,SIL,15-25,S,W,indx_49,BERKS-WESTMORELANDSIL15-25SW,350,350
2019,350,BETHESDA,CL,0-8,S,W,indx_49,BETHESDACL0-8SW,350,350
2019,350,BETHESDA,CL,8-25,S,W,indx_49,BETHESDACL8-25SW,350,350
2019,350,BETHESDA,CN-CL,0-8,S,W,indx_49,BETHESDACN-CL0-8SW,350,350
2019,350,BETHESDA,CN-CL,15-25,S,W,indx_49,BETHESDACN-CL15-25SW,350,350
2019,350,BETHESDA,CN-CL,8-15,S,W,indx_49,BETHESDACN-CL8-15SW,350,350
2019,350,BETHESDA,CN-CL,8-20,S,W,indx_49,BETHESDACN-CL8-20SW,350,350
2019,350,BETHESDA,CN-CL,8-25,S,W,indx_49,BETHESDACN-CL8-25SW,350,350
2019,350,BETHESDA,CN-L,0-8,S,W,indx_49,BETHESDACN-L0-8SW,350,350
2019,350,BETHESDA,CN-L,8-20,S,W,indx_49,BETHESDACN-L8-20SW,350,350
2019,350,BETHESDA,CN-L,8-25,S,W,indx_49,BETHESDACN-L8-25SW,350,350
2019,350,BETHESDA,CN-SICL,0-8,S,W,indx_49,BETHESDACN-SICL0-8SW,350,350
2019,350,BETHESDA,CN-SICL,8-25,S,W,indx_49,BETHESDACN-SICL8-25SW,350,350
2019,350,BETHESDA,CNV-CL,0-8,S,W,indx_49,BETHESDACNV-CL0-8SW,350,350
2019,350,BETHESDA,CNV-CL,3-15,S,W,indx_49,BETHESDACNV-CL3-15SW,350,350
2019,350,BETHESDA,CNV-CL,8-20,S,W,indx_49,BETHESDACNV-CL8-20SW,350,350
2019,350,BETHESDA,L,0-8,S,W,indx_49,BETHESDAL0-8SW,350,350
2019,350,BETHESDA,L,8-25,S,W,indx_49,BETHESDAL8-25SW,350,350
2019,350,BETHESDA,SH-CL,0-8,S,W,indx_49,BETHESDASH-CL0-8SW,350,350
2019,350,BETHESDA,SH-CL,8-25,S,W,indx_49,BETHESDASH-CL8-25SW,350,350
2019,350,BETHESDA,SH-SICL,0-8,S,W,indx_49,BETHESDASH-SICL0-8SW,350,350
2019,350,BETHESDA,SH-SICL,8-25,S,W,indx_49,BETHESDASH-SICL8-25SW,350,350
2019,350,BETHESDA,SH-SIL,1-15,S,W,indx_49,BETHESDASH-SIL1-15SW,350,350
2019,350,BETHESDA,SH-SIL,15-25,S,W,indx_49,BETHESDASH-SIL15-25SW,350,350
2019,350,BETHESDA,SHV-CL,3-15,S,W,indx_49,BETHESDASHV-CL3-15SW,350,350
2019,350,BETHESDA,SHV-CL,8-25,S,W,indx_49,BETHESDASHV-CL8-25SW,350,350
2019,350,BETHESDA,SHV-SIC,0-8,S,W,indx_49,BETHESDASHV-SIC0-8SW,350,350
2019,350,BETHESDA,SICL,0-8,S,W,indx_49,BETHESDASICL0-8SW,350,350
2019,350,BETHESDA,SICL,15-25,S,W,indx_49,BETHESDASICL15-25SW,350,350
2019,350,BETHESDA,SICL,2-12,S,W,indx_49,BETHESDASICL2-12SW,350,350
2019,350,BETHESDA,SICL,8-20,S,W,indx_49,BETHESDASICL8-20SW,350,350
2019,350,BETHESDA,SIL,0-8,S,W,indx_49,BETHESDASIL0-8SW,350,350
2019,350,BETHESDA,SIL,8-20,S,W,indx_49,BETHESDASIL8-20SW,350,350
2019,350,BETHESDA,SIL,8-25,S,W,indx_49,BETHESDASIL8-25SW,350,350
2019,350,"BIGLICK-MILTON,C",,0-2,S,W,indx_59,"BIGLICK-MILTON,C0-2SW",350,350
2019,350,"BIGLICK-MILTON,C",,2-6,S,W,indx_59,"BIGLICK-MILTON,C2-6SW",350,350
2019,1860,BIRKBECK,SIL,0-2,S,MW,indx_89,BIRKBECKSIL0-2SMW,2340,1380
2019,1760,BIRKBECK,SIL,1-4,S,MW,indx_89,BIRKBECKSIL1-4SMW,2240,1280
2019,1340,BIRKBECK,SIL,2-6,M,MW,indx_79,BIRKBECKSIL2-6MMW,1770,910
2019,1600,BIRKBECK,SIL,2-6,S,MW,indx_79,BIRKBECKSIL2-6SMW,2080,1120
2019,715,"BIXLER,C-SUBST",LS,0-2,S,SWP,indx_69,"BIXLER,C-SUBSTLS0-2SSWP",1080,350
2019,925,BIXLER,LFS,0-2,S,SWP,indx_69,BIXLERLFS0-2SSWP,1320,530
