year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2014,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,1410,490,2150
2014,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,1510,570,2260
2014,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,1530,580,2290
2014,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,1510,570,2260
2014,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,1050,350,1780
2014,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,1310,410,2050
2014,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,2540,1440,3350
2014,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350
2014,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,2280,1220,3070
2014,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,2250,1190,3040
2014,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,2220,1170,3010
2014,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,1800,810,2560
2014,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,1670,710,2430
2014,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,1850,860,2620
2014,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,1650,700,2410
2014,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,1820,830,2580
2014,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350
2014,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,1840,790,2650
2014,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350
2014,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,1840,790,2650
2014,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,1840,790,2650
2014,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,3280,2040,4130
2014,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,3280,2040,4130
2014,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,860,350,1580
2014,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350
2014,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350
2014,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350
2014,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,2240,1170,3030
2014,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,1020,350,1750
2014,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,1290,380,2030
2014,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,1000,350,1730
2014,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350
2014,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350
2014,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,1750,750,2510
2014,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,2010,980,2790
2014,ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,1550,600,2310
2014,ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,1750,750,2510
2014,ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,1540,590,2300
2014,"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,3690,2380,4560
2014,ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,indx_89,4030,2670,4920
2014,ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,indx_79,3690,2380,4560
2014,ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,indx_59,350,350,350
2014,ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,indx_49,350,350,350
2014,ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,indx_79,3690,2380,4560
2014,ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,indx_79,3690,2380,4560
2014,ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,indx_69,2730,1590,3550
2014,ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,indx_79,3380,2130,4230
2014,ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,indx_69,2640,1510,3460
2014,ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,indx_69,2180,1130,2970
2014,ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,indx_69,2500,1400,3300
2014,"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,3500,2230,4360
2014,"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,2610,1440,3460
2014,"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,3280,2040,4130
2014,ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,indx_79,3230,2000,4080
2014,ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,indx_79,3280,2040,4130
2014,ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,1960,950,2730
2014,ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,2300,1240,3090
2014,"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,2020,980,2800
2014,"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,indx_59,350,350,350
2014,"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,indx_69,2260,1190,3050
