year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2020,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,350,350,550
2020,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,350,350,640
2020,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,350,350,550
2020,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,350,350,530
2020,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,350,350,350
2020,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,350,350,510
2020,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,1030,600,1520
2020,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,350,350,350
2020,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,790,380,1250
2020,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,770,360,1230
2020,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,750,350,1210
2020,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,440,350,870
2020,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,350,350,720
2020,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,480,350,900
2020,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,350,350,710
2020,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,460,350,890
2020,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,350,350,350
2020,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,350,350,570
2020,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,350,350,350
2020,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,350,350,570
2020,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,350,350,570
2020,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,1450,980,1960
2020,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,1450,980,1960
2020,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,350,350,350
2020,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,350,350,350
2020,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,350,350,350
2020,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,350,350,350
2020,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,620,350,1050
2020,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,350,350,350
2020,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,350,350,350
2020,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,350,350,350
2020,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,350,350,350
2020,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,350,350,350
2020,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,350,350,670
2020,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,520,350,940
2020,ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,350,350,540
2020,ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,350,350,670
2020,ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,350,350,520
