year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2009,"AARON-GILPIN,C6-12MW","AARON-GILPIN,C",,6-12,M,W,indx_69,170,NA,NA
2009,"AARON-GILPIN,C8-15SW","AARON-GILPIN,C",,8-15,S,W,indx_69,170,NA,NA
2009,"AARON-UPSHUR,C2-6SW","AARON-UPSHUR,C",,2-6,S,W,indx_69,170,NA,NA
2009,"AARON-UPSHUR,C2-8SW","AARON-UPSHUR,C",,2-8,S,W,indx_69,170,NA,NA
2009,"AARON-UPSHUR,C8-15MW","AARON-UPSHUR,C",,8-15,M,W,indx_59,170,NA,NA
2009,AARONSICL6-15MMW,AARON,SICL,6-15,M,MW,indx_69,170,NA,NA
2009,AARONSIL0-2SMW,AARON,SIL,0-2,S,MW,indx_79,530,NA,NA
2009,AARONSIL15-25MMW,AARON,SIL,15-25,M,MW,indx_59,170,170,170
2009,AARONSIL2-6SMW,AARON,SIL,2-6,S,MW,indx_69,430,NA,NA
2009,AARONSIL2-8SMW,AARON,SIL,2-8,S,MW,indx_69,410,NA,NA
2009,AARONSIL3-8SMW,AARON,SIL,3-8,S,MW,indx_69,400,NA,NA
2009,AARONSIL6-12MMW,AARON,SIL,6-12,M,MW,indx_69,230,NA,NA
2009,AARONSIL6-15MMW,AARON,SIL,6-15,M,MW,indx_69,190,NA,NA
2009,AARONSIL6-15SMW,AARON,SIL,6-15,S,MW,indx_69,260,NA,NA
2009,AARONSIL8-15MMW,AARON,SIL,8-15,M,MW,indx_69,180,NA,NA
2009,AARONSIL8-15SMW,AARON,SIL,8-15,S,MW,indx_69,240,NA,NA
2009,"ABSCOTA,V.S0-2SW","ABSCOTA,V.",S,0-2,S,W,indx_59,170,170,170
2009,"ADRIAN,DRAINEDMUCK0-2SVP","ADRIAN,DRAINED",MUCK,0-2,S,VP,indx_69,180,NA,NA
2009,"ADRIAN,UNDRAINEDMUCK0-2SVP","ADRIAN,UNDRAINED",MUCK,0-2,S,VP,indx_49,170,170,170
2009,ADRIANMUCK0-1SVP,ADRIAN,MUCK,0-1,S,VP,indx_69,180,NA,NA
2009,ADRIANMUCK0-2SVP,ADRIAN,MUCK,0-2,S,VP,indx_69,180,NA,NA
2009,"AETNA,FAN,OF-PHSIL0-2SSWP","AETNA,FAN,OF-PH",SIL,0-2,S,SWP,indx_79,740,NA,NA
2009,"AETNA,OF-PHSIL0-2SSWP","AETNA,OF-PH",SIL,0-2,S,SWP,indx_79,740,NA,NA
2009,ALEXANDRIASICL12-18MW,ALEXANDRIA,SICL,12-18,M,W,indx_59,170,NA,NA
2009,ALEXANDRIASICL12-18SEW,ALEXANDRIA,SICL,12-18,SE,W,indx_49,170,170,170
2009,ALEXANDRIASICL18-25SEW,ALEXANDRIA,SICL,18-25,SE,W,indx_49,170,170,170
2009,ALEXANDRIASICL6-12SEW,ALEXANDRIA,SICL,6-12,SE,W,indx_59,170,170,170
2009,ALEXANDRIASIL0-2SW,ALEXANDRIA,SIL,0-2,S,W,indx_79,380,NA,NA
2009,ALEXANDRIASIL12-18MW,ALEXANDRIA,SIL,12-18,M,W,indx_69,170,NA,NA
2009,ALEXANDRIASIL12-18SW,ALEXANDRIA,SIL,12-18,S,W,indx_69,170,NA,NA
2009,ALEXANDRIASIL12-20MW,ALEXANDRIA,SIL,12-20,M,W,indx_69,170,NA,NA
2009,ALEXANDRIASIL18-25MW,ALEXANDRIA,SIL,18-25,M,W,indx_59,170,170,170
2009,ALEXANDRIASIL18-25SW,ALEXANDRIA,SIL,18-25,S,W,indx_59,170,NA,NA
2009,ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,indx_69,220,NA,NA
2009,ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,indx_79,320,NA,NA
2009,ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,indx_69,170,NA,NA
2009,ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,indx_69,220,NA,NA
2009,ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,indx_69,170,NA,NA
2009,"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,indx_79,920,NA,NA
2009,ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,indx_89,1020,NA,NA
2009,ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,indx_79,920,NA,NA
2009,ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,indx_59,170,170,170
2009,ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,indx_49,170,170,170
2009,ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,indx_79,920,NA,NA
2009,ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,indx_79,920,NA,NA
2009,ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,indx_69,560,NA,NA
2009,ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,indx_79,780,NA,NA
2009,ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,indx_69,510,NA,NA
2009,ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,indx_69,350,NA,NA
2009,ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,indx_69,470,NA,NA
2009,"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,indx_79,800,NA,NA
2009,"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,indx_69,460,NA,NA
2009,"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,740,NA,NA
2009,ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,indx_79,710,NA,NA
2009,ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,indx_79,740,NA,NA
2009,ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,270,NA,NA
2009,ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,400,NA,NA
2009,"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,340,NA,NA
2009,"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,indx_59,170,170,170
2009,"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,indx_69,370,NA,NA
2009,ALLEGHENYL15-25SW,ALLEGHENY,L,15-25,S,W,indx_59,170,170,170
2009,ALLEGHENYL2-6SW,ALLEGHENY,L,2-6,S,W,indx_79,450,NA,NA
2009,ALLEGHENYL3-8SW,ALLEGHENY,L,3-8,S,W,indx_79,390,NA,NA
2009,ALLEGHENYL6-12SW,ALLEGHENY,L,6-12,S,W,indx_69,340,NA,NA
2009,ALLEGHENYL8-15SW,ALLEGHENY,L,8-15,S,W,indx_69,260,NA,NA
2009,ALLEGHENYSIL10-15MW,ALLEGHENY,SIL,10-15,M,W,indx_69,180,NA,NA
2009,ALLEGHENYSIL10-15SW,ALLEGHENY,SIL,10-15,S,W,indx_69,260,NA,NA
2009,ALLEGHENYSIL12-18SW,ALLEGHENY,SIL,12-18,S,W,indx_69,180,NA,NA
2009,ALLEGHENYSIL2-6SW,ALLEGHENY,SIL,2-6,S,W,indx_79,450,NA,NA
2009,ALLEGHENYSIL5-10MW,ALLEGHENY,SIL,5-10,M,W,indx_69,260,NA,NA
2009,ALLEGHENYSIL5-10SW,ALLEGHENY,SIL,5-10,S,W,indx_69,340,NA,NA
2009,ALLEGHENYSIL6-12SW,ALLEGHENY,SIL,6-12,S,W,indx_69,340,NA,NA
2009,ALLISCL0-2SP,ALLIS,CL,0-2,S,P,indx_59,170,170,170
2009,ALLISL0-2SP,ALLIS,L,0-2,S,P,indx_59,170,170,170
2009,ALLISSICL0-2SP,ALLIS,SICL,0-2,S,P,indx_59,170,170,170
2009,ALLISSICL2-6SP,ALLIS,SICL,2-6,S,P,indx_59,170,170,170
2009,ALLISSIL0-2SP,ALLIS,SIL,0-2,S,P,indx_59,170,170,170
2009,ALLISST-SIL0-2SP,ALLIS,ST-SIL,0-2,S,P,indx_49,170,170,170
2009,ALVADAL0-1SVP,ALVADA,L,0-1,S,VP,indx_99,1120,NA,NA
2009,ALVADASICL0-1SVP,ALVADA,SICL,0-1,S,VP,indx_99,1050,NA,NA
2009,"AMANDA-LOUDONVILLE,C12-20MW","AMANDA-LOUDONVILLE,C",,12-20,M,W,indx_59,170,NA,NA
2009,"AMANDA-LOUDONVILLE,C2-6MW","AMANDA-LOUDONVILLE,C",,2-6,M,W,indx_69,270,NA,NA
