id,soil_series,texture,slope,erosion,drainage,indx,CAUV 2018,Projected Expected 2019,Projected Low 2019,Projected High 2019
"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,indx_79,2210,1930,1700,2550
ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,indx_79,2180,1895,1665,2510
ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,indx_79,2210,1930,1700,2550
ALLEGHENYL15-25SW,ALLEGHENY,L,15-25,S,W,indx_59,350,350,350,350
ALLEGHENYL2-6SW,ALLEGHENY,L,2-6,S,W,indx_79,1390,1165,950,1730
ALLEGHENYL3-8SW,ALLEGHENY,L,3-8,S,W,indx_79,1240,1035,825,1600
ALLEGHENYL6-12SW,ALLEGHENY,L,6-12,S,W,indx_69,1070,870,710,1420
ALLEGHENYL8-15SW,ALLEGHENY,L,8-15,S,W,indx_69,880,700,615,1240
ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,indx_69,1070,890,710,1440
ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,indx_69,1380,1170,960,1730
ALLEGHENYSIL10-15MW,ALLEGHENY,SIL,10-15,M,W,indx_69,710,530,530,1020
ALLEGHENYSIL10-15SW,ALLEGHENY,SIL,10-15,S,W,indx_69,880,700,615,1240
ALLEGHENYSIL12-18SW,ALLEGHENY,SIL,12-18,S,W,indx_69,710,530,530,1020
ALLEGHENYSIL2-6SW,ALLEGHENY,SIL,2-6,S,W,indx_79,1390,1165,950,1730
ALLEGHENYSIL5-10MW,ALLEGHENY,SIL,5-10,M,W,indx_69,910,725,630,1270
ALLEGHENYSIL5-10SW,ALLEGHENY,SIL,5-10,S,W,indx_69,1070,870,710,1420
ALLEGHENYSIL6-12SW,ALLEGHENY,SIL,6-12,S,W,indx_69,1070,870,710,1420
"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,indx_69,1070,870,710,1420
"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,indx_59,350,350,350,850
"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,indx_69,1310,1095,885,1650
ALLISCL0-2SP,ALLIS,CL,0-2,S,P,indx_59,350,350,350,350
ALLISL0-2SP,ALLIS,L,0-2,S,P,indx_59,350,350,350,350
ALLISSICL0-2SP,ALLIS,SICL,0-2,S,P,indx_59,350,350,350,350
ALLISSICL2-6SP,ALLIS,SICL,2-6,S,P,indx_59,350,350,350,350
ALLISSIL0-2SP,ALLIS,SIL,0-2,S,P,indx_59,350,350,350,350
ALLISST-SIL0-2SP,ALLIS,ST-SIL,0-2,S,P,indx_49,350,350,350,350
