soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
"SLOAN,OVER LM",SICL,0-2,S,VP,2011,1230,230,indx_79,"SLOAN,OVER LMSICL0-2SVP",2,110,40,44,72,4.6,75,75,indx_79
"SLOAN,S-SUBST,OF-PH",SICL,0-2,S,VP,2011,1230,230,indx_79,"SLOAN,S-SUBST,OF-PHSICL0-2SVP",2,107,41,43,70,4.1,71,74,indx_79
"SLOAN,S-SUBST,OF-PH",SIL,0-1,S,VP,2011,1220,220,indx_89,"SLOAN,S-SUBST,OF-PHSIL0-1SVP",2,120,42,0,0,4.6,80,62,indx_69
"SLOAN,S-SUBST,OF-PH",SIL,0-2,S,VP,2011,1640,640,indx_89,"SLOAN,S-SUBST,OF-PHSIL0-2SVP",2,123,45,49,0,4.6,80,84,indx_89
"SLOAN,T-SUBST,FF-PH",SICL,0-1,S,VP,2011,1440,440,indx_79,"SLOAN,T-SUBST,FF-PHSICL0-1SVP",11,117,41,0,0,4.5,78,60,indx_69
"SLOAN,T-SUBST,OF-PH",SICL,0-2,S,VP,2011,1550,550,indx_79,"SLOAN,T-SUBST,OF-PHSICL0-2SVP",2,120,44,48,0,4.5,79,82,indx_89
"SLOAN,T-SUBST,OF-PH",SIL,0-2,S,VP,2011,1640,640,indx_89,"SLOAN,T-SUBST,OF-PHSIL0-2SVP",2,123,45,49,0,4.6,80,84,indx_89
"SLOAN,V,GRAV-SUBSL",SIL,0-2,S,VP,2011,1010,200,indx_69,"SLOAN,V,GRAV-SUBSLSIL0-2SVP",2,110,37,35,70,3.5,65,70,indx_79
SMOTHERS,SIL,0-2,S,SWP,2011,940,200,indx_79,SMOTHERSSIL0-2SSWP,2,106,36,40,72,4.2,70,70,indx_79
SMOTHERS,SIL,2-4,S,SWP,2011,850,200,indx_69,SMOTHERSSIL2-4SSWP,2,103,35,38,70,4,68,68,indx_69
SPARGUS,CN-SIL,2-6,S,W,2011,830,330,indx_69,SPARGUSCN-SIL2-6SW,2,100,35,40,68,4,67,67,indx_69
SPARTA,LFS,0-3,S,E,2011,300,200,indx_49,SPARTALFS0-3SE,3,72,22,30,36,2.8,46,48,indx_49
SPARTA,LS,0-6,S,E,2011,300,200,indx_49,SPARTALS0-6SE,3,70,21,29,35,2.7,45,46,indx_49
SPINKS,FS,1-6,S,W,2011,300,200,indx_59,SPINKSFS1-6SW,3,80,27,35,70,3,55,55,indx_59
SPINKS,FS,12-18,S,W,2011,300,200,indx_49,SPINKSFS12-18SW,3,69,24,31,61,2.6,47,48,indx_49
SPINKS,FS,2-6,S,W,2011,300,200,indx_59,SPINKSFS2-6SW,3,80,27,35,70,3,55,55,indx_59
SPINKS,FS,6-12,S,W,2011,300,200,indx_59,SPINKSFS6-12SW,3,76,26,33,67,2.9,52,52,indx_59
SPINKS,FS,6-18,S,W,2011,300,200,indx_59,SPINKSFS6-18SW,3,72,27,31,64,2.7,50,50,indx_59
SPINKS,LFS,0-6,S,W,2011,300,200,indx_59,SPINKSLFS0-6SW,3,80,27,35,70,3,55,55,indx_59
SPINKS,LFS,12-18,S,W,2011,300,200,indx_49,SPINKSLFS12-18SW,3,69,24,31,61,2.6,47,48,indx_49
SPINKS,LFS,2-6,S,W,2011,300,200,indx_59,SPINKSLFS2-6SW,3,80,27,35,70,3,55,55,indx_59
SPINKS,LFS,6-12,S,W,2011,300,200,indx_59,SPINKSLFS6-12SW,3,76,26,33,67,2.9,52,52,indx_59
SPINKS,LS,2-6,S,W,2011,300,200,indx_59,SPINKSLS2-6SW,3,80,27,35,70,3,55,55,indx_59
ST. CLAIR,C,12-18,SE,MW,2011,300,200,indx_49,ST. CLAIRC12-18SEMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,L,2-6,S,MW,2011,370,200,indx_69,ST. CLAIRL2-6SMW,2,92,28,38,78,3.4,61,61,indx_69
ST. CLAIR,L,6-12,M,MW,2011,300,200,indx_59,ST. CLAIRL6-12MMW,3,84,26,35,71,3.1,56,56,indx_59
ST. CLAIR,SIC,12-18,SE,MW,2011,300,200,indx_49,ST. CLAIRSIC12-18SEMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,SIC,12-25,SE,MW,2011,300,200,indx_49,ST. CLAIRSIC12-25SEMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,SIC,18-25,SE,MW,2011,300,200,indx_49,ST. CLAIRSIC18-25SEMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,SIC,6-12,SE,MW,2011,300,200,indx_49,ST. CLAIRSIC6-12SEMW,3,0,0,0,0,2.8,47,0,indx_49
ST. CLAIR,SICL,12-18,M,MW,2011,300,200,indx_49,ST. CLAIRSICL12-18MMW,3,74,22,30,62,2.7,49,48,indx_49
ST. CLAIR,SICL,12-25,M,MW,2011,300,200,indx_49,ST. CLAIRSICL12-25MMW,3,0,0,0,0,2.4,40,0,indx_49
ST. CLAIR,SICL,12-25,SE,MW,2011,300,200,indx_49,ST. CLAIRSICL12-25SEMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,SICL,18-25,M,MW,2011,300,200,indx_49,ST. CLAIRSICL18-25MMW,3,0,0,0,0,0,0,0,indx_49
ST. CLAIR,SICL,2-6,M,MW,2011,300,200,indx_59,ST. CLAIRSICL2-6MMW,2,85,26,35,72,3.1,56,56,indx_59
ST. CLAIR,SICL,4-12,M,MW,2011,300,200,indx_59,ST. CLAIRSICL4-12MMW,3,81,25,34,69,3,54,54,indx_59
ST. CLAIR,SICL,6-12,M,MW,2011,300,200,indx_59,ST. CLAIRSICL6-12MMW,3,81,25,34,69,3,54,54,indx_59
ST. CLAIR,SIL,12-18,M,MW,2011,300,200,indx_59,ST. CLAIRSIL12-18MMW,3,77,23,32,65,2.8,51,51,indx_59
ST. CLAIR,SIL,12-25,M,MW,2011,300,200,indx_49,ST. CLAIRSIL12-25MMW,3,0,0,0,0,2.5,42,0,indx_49
ST. CLAIR,SIL,2-6,M,MW,2011,300,200,indx_59,ST. CLAIRSIL2-6MMW,2,88,27,36,75,3.3,59,58,indx_59
ST. CLAIR,SIL,2-6,S,MW,2011,370,200,indx_69,ST. CLAIRSIL2-6SMW,2,92,28,38,78,3.4,61,61,indx_69
ST. CLAIR,SIL,6-12,M,MW,2011,300,200,indx_59,ST. CLAIRSIL6-12MMW,3,84,26,35,71,3.1,56,56,indx_59
ST. CLAIR,SIL,6-12,S,MW,2011,300,200,indx_59,ST. CLAIRSIL6-12SMW,2,88,27,36,75,3.3,59,58,indx_59
STAFFORD,FSL,0-2,S,SWP,2011,550,200,indx_69,STAFFORDFSL0-2SSWP,2,93,31,47,79,3.9,67,66,indx_69
STAFFORD,LFS,0-2,S,SWP,2011,470,200,indx_69,STAFFORDLFS0-2SSWP,2,90,30,46,77,3.8,65,64,indx_69
"STAFFORD,V",SL,0-2,S,SWP,2011,550,200,indx_69,"STAFFORD,VSL0-2SSWP",2,93,31,47,79,3.9,67,66,indx_69
"STANHOPE,FF-PH",SIL,0-2,S,P,2011,300,200,indx_59,"STANHOPE,FF-PHSIL0-2SP",11,90,26,30,60,3.3,56,56,indx_59
STEINSBURG,SL,15-25,S,W,2011,300,200,indx_49,STEINSBURGSL15-25SW,3,65,0,30,0,3,48,36,indx_49
"STEINSBURG-RIGLEY,V",FSL,15-25,S,W,2011,300,200,indx_59,"STEINSBURG-RIGLEY,VFSL15-25SW",3,85,0,34,50,3.7,58,45,indx_49
"STEINSBURG-RIGLEY,V",FSL,3-8,S,W,2011,1050,550,indx_79,"STEINSBURG-RIGLEY,VFSL3-8SW",2,105,38,45,70,4.5,73,72,indx_79
"STEINSBURG-RIGLEY,V",FSL,8-15,S,W,2011,870,370,indx_69,"STEINSBURG-RIGLEY,VFSL8-15SW",2,100,36,40,59,4,66,68,indx_69
"STENDAL,FF-PH",SIL,0-2,S,SWP,2011,470,200,indx_59,"STENDAL,FF-PHSIL0-2SSWP",11,92,30,35,0,3.5,59,60,indx_69
"STENDAL,OF-PH",SIL,0-2,S,SWP,2011,500,200,indx_69,"STENDAL,OF-PHSIL0-2SSWP",2,95,30,40,60,3.5,61,63,indx_69
STONE,SICL,0-2,S,SWP,2011,1500,500,indx_89,STONESICL0-2SSWP,2,115,44,50,74,4.8,80,81,indx_89
"STONE,RF-PH",CL,0-2,S,SWP,2011,1500,500,indx_89,"STONE,RF-PHCL0-2SSWP",2,115,44,50,74,4.8,80,81,indx_89
STONELICK,FSL,0-2,S,W,2011,490,200,indx_69,STONELICKFSL0-2SW,2,95,30,38,68,3.5,62,63,indx_69
STONELICK,L,0-2,S,W,2011,490,200,indx_69,STONELICKL0-2SW,2,95,30,38,70,3.6,62,63,indx_69
STONELICK,SL,0-2,S,W,2011,300,200,indx_59,STONELICKSL0-2SW,2,90,25,35,68,3.5,59,58,indx_59
"STONELICK,FF-PH",FSL,0-2,S,W,2011,520,200,indx_69,"STONELICK,FF-PHFSL0-2SW",11,95,30,35,0,3.5,60,61,indx_69
"STONELICK,GR-SUBST,FF-PH",L,0-1,S,W,2011,520,200,indx_69,"STONELICK,GR-SUBST,FF-PHL0-1SW",11,95,30,35,0,3.5,60,61,indx_69
"STONELICK,OF-PH",L,0-2,S,W,2011,490,200,indx_69,"STONELICK,OF-PHL0-2SW",2,95,30,38,70,3.6,62,63,indx_69
"STONELICK,OF-PH",SL,0-2,S,W,2011,400,200,indx_69,"STONELICK,OF-PHSL0-2SW",2,92,29,36,67,3.5,60,60,indx_69
STRAWN,SICL,12-18,M,MW,2011,300,200,indx_49,STRAWNSICL12-18MMW,3,0,0,0,0,2.8,47,0,indx_49
STRAWN,SICL,2-6,M,MW,2011,300,200,indx_59,STRAWNSICL2-6MMW,3,75,27,37,60,3.2,54,54,indx_59
STRAWN,SICL,6-12,M,MW,2011,300,200,indx_59,STRAWNSICL6-12MMW,3,70,26,35,56,3,51,51,indx_59
"STRAWN-CROSBY,C",,0-2,S,MW,2011,830,330,indx_69,"STRAWN-CROSBY,C0-2SMW",2,96,36,43,68,4,67,67,indx_69
"STRAWN-CROSBY,C",,2-6,S,MW,2011,590,200,indx_69,"STRAWN-CROSBY,C2-6SMW",2,91,33,41,65,3.9,64,64,indx_69
"STRINGLEY-SLIGO,OF-PH",L,0-2,S,W,2011,1280,780,indx_79,"STRINGLEY-SLIGO,OF-PHL0-2SW",2,112,40,47,74,4.3,74,77,indx_79
SUGARVALLEY,SIL,0-2,S,SWP,2011,1470,470,indx_89,SUGARVALLEYSIL0-2SSWP,2,118,42,52,74,5,82,82,indx_89
SUGARVALLEY-FINCASTLE,SIL,0-2,S,SWP,2011,1470,470,indx_89,SUGARVALLEY-FINCASTLESIL0-2SSWP,2,118,42,52,74,4.7,80,82,indx_89
SUMMITVILLE,SIL,10-15,M,MW,2011,300,200,indx_59,SUMMITVILLESIL10-15MMW,3,80,24,28,55,3.6,55,51,indx_59
SUMMITVILLE,SIL,10-20,S,MW,2011,300,200,indx_59,SUMMITVILLESIL10-20SMW,3,81,25,28,57,3.7,56,51,indx_59
SUMMITVILLE,SIL,2-5,S,MW,2011,340,200,indx_69,SUMMITVILLESIL2-5SMW,2,92,28,32,64,4.2,64,58,indx_59
SUMMITVILLE,SIL,5-10,M,MW,2011,300,200,indx_59,SUMMITVILLESIL5-10MMW,2,83,25,29,58,3.8,58,53,indx_59
SUMMITVILLE,SIL,5-10,S,MW,2011,300,200,indx_69,SUMMITVILLESIL5-10SMW,2,87,27,30,61,4,60,55,indx_59
SWANTON,FSL,0-2,S,VP,2011,300,200,indx_59,SWANTONFSL0-2SVP,3,86,28,34,61,2.8,53,57,indx_59
"SWANTON,V,SI-SUBSL",FSL,0-2,S,VP,2011,300,200,indx_59,"SWANTON,V,SI-SUBSLFSL0-2SVP",3,86,28,34,61,2.8,53,57,indx_59
SWITZERLAND,SIL,15-25,M,W,2011,300,200,indx_49,SWITZERLANDSIL15-25MW,3,0,0,0,0,2,33,0,indx_49
SWITZERLAND,SIL,3-8,M,W,2011,830,330,indx_69,SWITZERLANDSIL3-8MW,2,100,35,40,0,3,60,67,indx_69
SWITZERLAND,SIL,8-15,M,W,2011,300,200,indx_59,SWITZERLANDSIL8-15MW,3,90,30,38,0,2.6,53,61,indx_69
TAGGART,SIL,0-2,S,SWP,2011,1270,270,indx_79,TAGGARTSIL0-2SSWP,2,115,40,40,60,4,70,75,indx_79
TAGGART,SIL,0-3,S,SWP,2011,1270,270,indx_79,TAGGARTSIL0-3SSWP,2,115,40,40,60,4,70,75,indx_79
TAGGART,SIL,0-4,S,SWP,2011,1270,270,indx_79,TAGGARTSIL0-4SSWP,2,115,40,40,60,4,70,75,indx_79
"TAGGART,RF-PH",SIL,0-2,S,SWP,2011,1270,270,indx_79,"TAGGART,RF-PHSIL0-2SSWP",2,115,40,40,60,4,70,75,indx_79
TARHOLLOW,SIL,2-6,S,MW,2011,770,270,indx_69,TARHOLLOWSIL2-6SMW,2,103,33,48,72,3.9,69,71,indx_79
TARLTON,SIL,6-12,M,MW,2011,430,200,indx_69,TARLTONSIL6-12MMW,2,88,31,36,57,3.6,60,60,indx_69
TAWAS,MUCK,0-2,S,VP,2011,1660,660,indx_89,TAWASMUCK0-2SVP,10,128,42,0,0,0,87,65,indx_69
TEDROW,FS,0-3,S,SWP,2011,330,200,indx_59,TEDROWFS0-3SSWP,2,84,30,34,70,3.4,58,57,indx_59
TEDROW,LFS,0-2,S,SWP,2011,330,200,indx_59,TEDROWLFS0-2SSWP,2,84,30,34,70,3.4,58,57,indx_59
TEDROW,LFS,0-3,S,SWP,2011,330,200,indx_59,TEDROWLFS0-3SSWP,2,84,30,34,70,3.4,58,57,indx_59
TEDROW,LFS,2-6,S,SWP,2011,300,200,indx_59,TEDROWLFS2-6SSWP,2,81,29,33,67,3.3,56,55,indx_59
TEDROW,LS,0-3,S,SWP,2011,300,200,indx_59,TEDROWLS0-3SSWP,2,82,29,33,68,3.3,57,55,indx_59
"TEDROW-DIXBORO,C",,0-2,S,SWP,2011,650,200,indx_69,"TEDROW-DIXBORO,C0-2SSWP",2,100,32,40,0,3.4,62,66,indx_69
"TEDROW,V,SI-SUBSL",LFS,0-2,S,SWP,2011,690,200,indx_69,"TEDROW,V,SI-SUBSLLFS0-2SSWP",2,90,35,38,74,3.7,64,63,indx_69
TEEGARDEN,SIL,2-6,S,MW,2011,770,270,indx_69,TEEGARDENSIL2-6SMW,2,106,32,48,68,3.8,68,72,indx_79
TEEGARDEN,SIL,6-15,M,MW,2011,450,200,indx_69,TEEGARDENSIL6-15MMW,2,96,28,44,61,3.4,61,65,indx_69
TEEGARDEN,SIL,6-15,S,MW,2011,540,200,indx_69,TEEGARDENSIL6-15SMW,2,99,29,45,63,3.5,63,67,indx_69
THACKERY,SIL,0-2,S,MW,2011,1110,610,indx_79,THACKERYSIL0-2SMW,2,110,38,46,72,4,71,75,indx_79
THACKERY,SIL,1-4,S,MW,2011,1040,540,indx_79,THACKERYSIL1-4SMW,2,108,37,45,71,3.9,70,73,indx_79
THACKERY,SIL,2-6,M,MW,2011,860,360,indx_69,THACKERYSIL2-6MMW,2,102,35,42,67,3.7,66,69,indx_69
THACKERY,SIL,2-6,S,MW,2011,960,460,indx_69,THACKERYSIL2-6SMW,2,106,36,44,70,3.8,68,72,indx_79
"THACKERY,M-SUBST",SIL,0-2,S,MW,2011,1110,610,indx_79,"THACKERY,M-SUBSTSIL0-2SMW",2,110,38,46,72,4,71,75,indx_79
"THACKERY,M-SUBST",SIL,2-6,S,MW,2011,960,460,indx_69,"THACKERY,M-SUBSTSIL2-6SMW",2,106,36,44,70,3.8,68,72,indx_79
"THACKERY,S-SUBST",L,0-2,S,MW,2011,1110,610,indx_79,"THACKERY,S-SUBSTL0-2SMW",2,110,38,46,72,4,71,75,indx_79
"THACKERY,S-SUBST",SL,1-3,S,MW,2011,1010,510,indx_69,"THACKERY,S-SUBSTSL1-3SMW",2,106,37,44,69,3.9,69,72,indx_79
"THACKERY,T-SUBST",L,0-2,S,MW,2011,1110,610,indx_79,"THACKERY,T-SUBSTL0-2SMW",2,110,38,46,72,4,71,75,indx_79
"THACKERY,T-SUBST",SIL,0-2,S,MW,2011,1110,610,indx_79,"THACKERY,T-SUBSTSIL0-2SMW",2,110,38,46,72,4,71,75,indx_79
"THACKERY,V",SIL,0-2,S,MW,2011,1170,670,indx_79,"THACKERY,VSIL0-2SMW",2,115,38,45,0,4.5,76,76,indx_79
"THACKERY,V",SIL,2-6,S,MW,2011,980,480,indx_79,"THACKERY,VSIL2-6SMW",2,110,35,45,0,4.5,74,73,indx_79
THRIFTON,CL,12-20,SE,W,2011,300,200,indx_49,THRIFTONCL12-20SEW,3,0,0,0,0,1.5,25,0,indx_49
THRIFTON,CL,6-12,SE,W,2011,300,200,indx_59,THRIFTONCL6-12SEW,3,0,0,0,0,3.2,53,0,indx_49
TIDERISHI,L,0-2,S,SWP,2011,1870,870,indx_89,TIDERISHIL0-2SSWP,2,126,48,52,82,5.4,88,87,indx_89
TILSIT,SIL,0-2,S,MW,2011,940,440,indx_79,TILSITSIL0-2SMW,2,108,34,50,72,4.6,75,74,indx_79
TILSIT,SIL,0-3,S,MW,2011,940,440,indx_69,TILSITSIL0-3SMW,2,108,34,50,72,3.5,68,74,indx_79
TILSIT,SIL,0-4,S,MW,2011,940,440,indx_69,TILSITSIL0-4SMW,2,108,34,50,72,3.5,68,74,indx_79
TILSIT,SIL,12-18,S,MW,2011,420,200,indx_59,TILSITSIL12-18SMW,3,91,29,42,60,3,57,62,indx_69
TILSIT,SIL,2-6,M,MW,2011,740,240,indx_69,TILSITSIL2-6MMW,2,104,32,47,69,3.5,66,70,indx_79
TILSIT,SIL,3-8,S,MW,2011,710,210,indx_69,TILSITSIL3-8SMW,2,102,32,47,68,3.5,65,70,indx_79
TILSIT,SIL,6-12,S,MW,2011,630,200,indx_69,TILSITSIL6-12SMW,2,99,31,46,66,3,61,68,indx_69
"TILSIT-COOLVILLE,AS,UNDULATING",,3-8,S,MW,2011,670,200,indx_69,"TILSIT-COOLVILLE,AS,UNDULATING3-8SMW",2,98,33,40,0,3.5,62,66,indx_69
TIOGA,FSL,0-2,S,W,2011,950,450,indx_69,TIOGAFSL0-2SW,2,105,36,43,76,3.7,68,71,indx_79
TIOGA,L,0-2,S,W,2011,1020,520,indx_79,TIOGAL0-2SW,2,110,36,46,78,4,72,74,indx_79
"TIOGA,FF-PH",FSL,0-2,S,W,2011,860,360,indx_69,"TIOGA,FF-PHFSL0-2SW",11,100,35,40,75,3.5,65,67,indx_69
"TIOGA,FF-PH",L,0-2,S,W,2011,980,480,indx_69,"TIOGA,FF-PHL0-2SW",11,105,36,43,76,3.7,68,71,indx_79
"TIOGA,FF-PH",SL,0-2,S,W,2011,860,360,indx_69,"TIOGA,FF-PHSL0-2SW",11,100,35,40,75,3.5,65,67,indx_69
"TIOGA,OF-PH",FSL,0-2,S,W,2011,950,450,indx_69,"TIOGA,OF-PHFSL0-2SW",2,105,36,43,76,3.7,68,71,indx_79
"TIOGA,OF-PH",L,0-2,S,W,2011,1020,520,indx_79,"TIOGA,OF-PHL0-2SW",2,110,36,46,78,4,72,74,indx_79
"TIOGA,OF-PH",SIL,0-2,S,W,2011,1020,520,indx_79,"TIOGA,OF-PHSIL0-2SW",2,110,36,46,78,4,72,74,indx_79
"TIOGA,RF-PH",FSL,0-2,S,W,2011,950,450,indx_69,"TIOGA,RF-PHFSL0-2SW",2,105,36,43,76,3.7,68,71,indx_79
"TIOGA,RF-PH",L,0-2,S,W,2011,1020,520,indx_79,"TIOGA,RF-PHL0-2SW",2,110,36,46,78,4,72,74,indx_79
"TIOGA,RF-PH",SL,0-2,S,W,2011,950,450,indx_69,"TIOGA,RF-PHSL0-2SW",2,105,36,43,76,3.7,68,71,indx_79
"TIOGA,V",L,0-2,S,W,2011,1150,650,indx_79,"TIOGA,VL0-2SW",2,120,36,45,76,4,73,77,indx_79
"TIOGA,V",SIL,0-2,S,W,2011,1150,650,indx_79,"TIOGA,VSIL0-2SW",2,120,36,45,76,4,73,77,indx_79
TIPPECANOE,SIL,0-2,S,MW,2011,1280,780,indx_79,TIPPECANOESIL0-2SMW,2,112,40,48,74,4.2,74,77,indx_79
TIPPECANOE,SIL,2-6,S,MW,2011,1090,590,indx_79,TIPPECANOESIL2-6SMW,2,108,38,46,71,4,71,74,indx_79
TIRO,SIL,0-2,S,SWP,2011,1370,370,indx_79,TIROSIL0-2SSWP,2,118,40,50,74,4.5,78,80,indx_89
TIRO,SIL,1-4,S,SWP,2011,1240,240,indx_79,TIROSIL1-4SSWP,2,116,39,49,73,4.5,77,79,indx_79
TIRO,SIL,2-6,S,SWP,2011,1110,200,indx_79,TIROSIL2-6SSWP,2,110,38,46,70,4.5,74,75,indx_79
TITUSVILLE,SIL,10-15,M,MW,2011,390,200,indx_69,TITUSVILLESIL10-15MMW,3,92,28,42,60,3.4,60,62,indx_69
TITUSVILLE,SIL,10-15,S,MW,2011,500,200,indx_69,TITUSVILLESIL10-15SMW,3,97,29,44,62,3.4,62,65,indx_69
TITUSVILLE,SIL,2-5,S,MW,2011,770,270,indx_69,TITUSVILLESIL2-5SMW,2,106,32,48,68,3.8,68,72,indx_79
TITUSVILLE,SIL,2-6,S,MW,2011,770,270,indx_69,TITUSVILLESIL2-6SMW,2,106,32,48,68,3.8,68,72,indx_79
TITUSVILLE,SIL,5-10,M,MW,2011,500,200,indx_69,TITUSVILLESIL5-10MMW,2,97,29,44,62,3.5,62,65,indx_69
TITUSVILLE,SIL,5-10,S,MW,2011,610,200,indx_69,TITUSVILLESIL5-10SMW,2,101,30,46,65,3.6,65,68,indx_69
TITUSVILLE,SIL,6-12,M,MW,2011,500,200,indx_69,TITUSVILLESIL6-12MMW,2,97,29,44,62,3.5,62,65,indx_69
TITUSVILLE,SIL,6-12,S,MW,2011,610,200,indx_69,TITUSVILLESIL6-12SMW,2,101,30,46,65,3.6,65,68,indx_69
TITUSVILLE,SIL,6-15,S,MW,2011,600,200,indx_69,TITUSVILLESIL6-15SMW,2,100,30,46,64,3.6,64,68,indx_69
TOLEDO,SIC,0-1,S,VP,2011,1280,530,indx_79,TOLEDOSIC0-1SVP,2,115,40,42,82,4.2,74,76,indx_79
TOLEDO,SIC,0-2,S,VP,2011,1280,530,indx_79,TOLEDOSIC0-2SVP,2,115,40,42,82,4.2,74,76,indx_79
TOLEDO,SICL,0-1,S,VP,2011,1450,700,indx_79,TOLEDOSICL0-1SVP,2,120,42,46,86,4.4,78,80,indx_89
TOLEDO,SICL,0-2,S,VP,2011,1450,700,indx_79,TOLEDOSICL0-2SVP,2,120,42,46,86,4.4,78,80,indx_89
"TOLEDO,PO-PH",SIC,0-1,S,VP,2011,530,200,indx_59,"TOLEDO,PO-PHSIC0-1SVP",11,90,32,0,0,3,56,46,indx_49
"TOLEDO,PO-PH",SIC,0-2,S,VP,2011,530,200,indx_59,"TOLEDO,PO-PHSIC0-2SVP",11,90,32,0,0,3,56,46,indx_49
"TOLEDO,PO-PH",SICL,0-2,S,VP,2011,530,200,indx_59,"TOLEDO,PO-PHSICL0-2SVP",11,90,32,0,0,3,56,46,indx_49
"TOLEDO,V,CALCAREOUS",SIC,0-2,S,VP,2011,990,200,indx_79,"TOLEDO,V,CALCAREOUSSIC0-2SVP",2,110,36,40,82,4.5,74,71,indx_79
TOWERVILLE,SIL,12-18,S,MW,2011,300,200,indx_49,TOWERVILLESIL12-18SMW,3,72,24,30,55,2.4,46,48,indx_49
TOWERVILLE,SIL,6-12,S,MW,2011,300,200,indx_59,TOWERVILLESIL6-12SMW,3,79,27,34,61,2.6,51,54,indx_59
TRAPPIST,SIL,15-25,M,W,2011,300,200,indx_49,TRAPPISTSIL15-25MW,3,0,0,0,0,2.2,37,0,indx_49
TRAPPIST,SIL,15-25,S,W,2011,300,200,indx_49,TRAPPISTSIL15-25SW,3,0,0,0,0,2.2,37,0,indx_49
TRAPPIST,SIL,18-25,S,W,2011,300,200,indx_49,TRAPPISTSIL18-25SW,3,0,0,0,0,2,33,0,indx_49
TRAPPIST,SIL,3-8,S,W,2011,540,200,indx_59,TRAPPISTSIL3-8SW,2,80,35,35,0,3.5,58,58,indx_59
TRAPPIST,SIL,8-15,S,W,2011,300,200,indx_59,TRAPPISTSIL8-15SW,3,75,30,30,0,3.5,55,52,indx_59
TRAPPIST-MUSE,SIL,12-18,M,W,2011,300,200,indx_49,TRAPPIST-MUSESIL12-18MW,3,68,20,25,0,2.6,43,43,indx_49
TRAPPIST-MUSE,SIL,2-6,S,W,2011,540,200,indx_59,TRAPPIST-MUSESIL2-6SW,2,80,35,35,0,3.5,58,58,indx_59
TRAPPIST-MUSE,SIL,6-12,M,W,2011,300,200,indx_59,TRAPPIST-MUSESIL6-12MW,3,75,30,30,0,3.5,55,52,indx_59
TREATY,SICL,0-1,S,VP,2011,1860,860,indx_89,TREATYSICL0-1SVP,2,132,46,52,76,5.6,89,88,indx_89
TREATY,SICL,0-2,S,VP,2011,1860,860,indx_89,TREATYSICL0-2SVP,2,132,46,52,76,5.6,89,88,indx_89
"TREATY,OV-PH",SIL,0-1,S,VP,2011,1710,710,indx_89,"TREATY,OV-PHSIL0-1SVP",2,128,45,50,74,5.4,86,86,indx_89
"TREMONT,OF-PH",SIL,0-2,S,MW,2011,2000,1500,indx_89,"TREMONT,OF-PHSIL0-2SMW",2,135,48,55,70,4.5,83,92,indx_99
"TREMONT,RF-PH",SICL,0-2,S,MW,2011,2000,1500,indx_89,"TREMONT,RF-PHSICL0-2SMW",2,135,48,55,70,4.5,83,92,indx_99
TRUMBULL,SICL,0-2,S,P,2011,300,200,indx_59,TRUMBULLSICL0-2SP,3,85,29,35,68,2.9,55,57,indx_59
TRUMBULL,SIL,0-2,S,P,2011,390,200,indx_59,TRUMBULLSIL0-2SP,2,88,30,36,70,3,57,59,indx_59
TRUMBULL,SIL,2-6,S,P,2011,390,200,indx_59,TRUMBULLSIL2-6SP,2,88,30,36,70,3,57,59,indx_59
TUSCARAWAS,CN-SIL,6-18,S,MW,2011,300,200,indx_49,TUSCARAWASCN-SIL6-18SMW,3,66,26,30,44,3.2,49,47,indx_49
TUSCOLA,FSL,0-2,S,MW,2011,1190,690,indx_89,TUSCOLAFSL0-2SMW,2,112,38,54,82,4.8,80,79,indx_79
TUSCOLA,FSL,2-6,S,MW,2011,1060,560,indx_79,TUSCOLAFSL2-6SMW,2,110,36,52,80,4.6,77,76,indx_79
TUSCOLA,FSL,3-8,S,MW,2011,990,490,indx_79,TUSCOLAFSL3-8SMW,2,105,36,51,77,4.5,75,74,indx_79
TUSCOLA,L,2-6,M,MW,2011,1000,500,indx_79,TUSCOLAL2-6MMW,2,106,36,51,78,4.6,76,74,indx_79
TUSCOLA,L,2-6,S,MW,2011,1190,690,indx_89,TUSCOLAL2-6SMW,2,112,38,54,82,4.8,80,79,indx_79
TUSCOLA,L,6-12,M,MW,2011,840,340,indx_79,TUSCOLAL6-12MMW,2,100,34,51,78,4.4,73,71,indx_79
TUSCOLA,LFS,0-2,S,MW,2011,1090,590,indx_79,TUSCOLALFS0-2SMW,2,109,37,53,80,4.7,78,77,indx_79
TUSCOLA,LFS,2-6,S,MW,2011,1000,500,indx_79,TUSCOLALFS2-6SMW,2,106,36,51,77,4.5,75,74,indx_79
TUSCOLA,SIL,0-2,S,MW,2011,1660,1160,indx_89,TUSCOLASIL0-2SMW,2,125,45,50,90,4.5,81,85,indx_89
TUSCOLA,SIL,2-6,S,MW,2011,1390,890,indx_79,TUSCOLASIL2-6SMW,2,120,40,50,85,4.5,79,81,indx_89
