soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
ALFORD,SIL,2-8,S,W,2009,970,470,indx_79,ALFORDSIL2-8SW,2,125,44,50,79,4.1,77,84,indx_89
ALFORD,SIL,6-12,M,W,2009,650,150,indx_69,ALFORDSIL6-12MW,2,110,38,44,73,3.6,68,74,indx_79
ALFORD,SIL,6-12,S,W,2009,880,380,indx_79,ALFORDSIL6-12SW,2,120,42,48,75,4,75,81,indx_89
ALFORD,SIL,6-15,M,W,2009,580,100,indx_69,ALFORDSIL6-15MW,2,110,37,42,71,3.5,67,73,indx_79
ALFORD,SIL,8-15,M,W,2009,410,100,indx_69,ALFORDSIL8-15MW,2,102,35,40,68,3.4,64,68,indx_69
ALFORD,SIL,8-15,S,W,2009,560,100,indx_69,ALFORDSIL8-15SW,2,105,37,42,70,3.4,65,71,indx_79
"ALFORD,T-SUBST",SIL,1-4,S,W,2009,1040,540,indx_79,"ALFORD,T-SUBSTSIL1-4SW",2,125,44,50,79,4.1,77,84,indx_89
"ALGANSEE,OF-PH",FS,0-2,S,SWP,2009,920,100,indx_79,"ALGANSEE,OF-PHFS0-2SSWP",2,125,42,45,80,4.2,77,81,indx_89
ALGIERS,SICL,0-2,S,SWP,2009,800,100,indx_79,ALGIERSSICL0-2SSWP,2,124,40,41,78,3.5,71,79,indx_79
ALGIERS,SIL,0-2,S,SWP,2009,850,100,indx_79,ALGIERSSIL0-2SSWP,2,125,40,45,80,3.8,74,81,indx_89
"ALGIERS,FF-PH",SIL,0-2,S,SWP,2009,460,100,indx_69,"ALGIERS,FF-PHSIL0-2SSWP",11,110,35,0,60,3.5,65,55,indx_59
"ALGIERS,OF-PH",SIL,0-2,S,SWP,2009,850,100,indx_79,"ALGIERS,OF-PHSIL0-2SSWP",2,125,40,45,80,3.8,74,81,indx_89
ALLEGHENY,L,15-25,S,W,2009,170,100,indx_59,ALLEGHENYL15-25SW,3,85,0,35,60,3,55,46,indx_49
ALLEGHENY,L,2-6,S,W,2009,700,200,indx_79,ALLEGHENYL2-6SW,2,110,34,50,74,4,72,75,indx_79
ALLEGHENY,L,3-8,S,W,2009,650,150,indx_79,ALLEGHENYL3-8SW,2,107,33,49,72,4,70,73,indx_79
ALLEGHENY,L,6-12,S,W,2009,650,150,indx_69,ALLEGHENYL6-12SW,2,105,32,48,71,3.8,68,71,indx_79
ALLEGHENY,L,8-15,S,W,2009,570,100,indx_69,ALLEGHENYL8-15SW,2,100,31,46,69,3.8,66,68,indx_69
ALLEGHENY,SIL,10-15,M,W,2009,640,100,indx_69,ALLEGHENYSIL10-15MW,3,96,30,44,66,3.8,65,65,indx_69
ALLEGHENY,SIL,10-15,S,W,2009,680,100,indx_69,ALLEGHENYSIL10-15SW,3,100,31,46,69,3.8,66,68,indx_69
ALLEGHENY,SIL,12-18,S,W,2009,550,100,indx_69,ALLEGHENYSIL12-18SW,3,96,30,44,65,3.8,65,65,indx_69
ALLEGHENY,SIL,2-6,S,W,2009,700,200,indx_79,ALLEGHENYSIL2-6SW,2,110,34,50,74,4,72,75,indx_79
ALLEGHENY,SIL,5-10,M,W,2009,580,100,indx_69,ALLEGHENYSIL5-10MW,2,101,31,46,69,3.8,67,69,indx_69
ALLEGHENY,SIL,5-10,S,W,2009,690,190,indx_69,ALLEGHENYSIL5-10SW,2,105,32,48,71,4,69,71,indx_79
ALLEGHENY,SIL,6-12,S,W,2009,690,190,indx_69,ALLEGHENYSIL6-12SW,2,105,32,48,71,4,69,71,indx_79
ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,2009,510,100,indx_69,ALLEGHENY-MONONGAHELASIL2-5MW,2,94,35,38,65,3.9,65,64,indx_69
ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,2009,590,100,indx_69,ALLEGHENY-MONONGAHELASIL2-5SW,2,98,37,40,68,3.9,67,67,indx_69
"ALLEGHENY,SS-SUBST",SIL,5-10,S,W,2009,690,190,indx_69,"ALLEGHENY,SS-SUBSTSIL5-10SW",2,105,32,48,71,4,69,71,indx_79
