id,indx,soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALEXANDRIASIL12-20MW,indx_69,ALEXANDRIA,SIL,12-20,M,W,3,86,27,37,67,3.7,60,58,indx_59,310,200,300,350,590,1000,600,400,375,360,360,350,350,350,790
ALEXANDRIASIL18-25MW,indx_59,ALEXANDRIA,SIL,18-25,M,W,3,0,0,0,0,3.2,53,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASIL18-25SW,indx_59,ALEXANDRIA,SIL,18-25,S,W,3,87,0,37,0,3.5,59,47,indx_49,250,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALEXANDRIASIL2-6MW,indx_69,ALEXANDRIA,SIL,2-6,M,W,2,102,30,42,78,4,68,67,indx_69,470,400,600,550,1190,1750,1280,1180,985,820,600,350,470,850,1390
ALEXANDRIASIL2-6SW,indx_79,ALEXANDRIA,SIL,2-6,S,W,2,106,32,44,82,4,70,70,indx_79,480,530,750,760,1410,2010,1620,1460,1270,1070,850,520,720,1040,1680
ALEXANDRIASIL6-12MW,indx_69,ALEXANDRIA,SIL,6-12,M,W,2,98,29,40,71,3.8,65,64,indx_69,460,310,490,440,1030,1550,1090,990,815,630,490,350,350,650,1250
ALEXANDRIASIL6-12SW,indx_69,ALEXANDRIA,SIL,6-12,S,W,2,102,30,42,74,3.8,66,67,indx_69,470,400,600,550,1190,1750,1280,1180,985,820,600,350,470,850,1390
ALEXANDRIASIL6-18SW,indx_69,ALEXANDRIA,SIL,6-18,S,W,3,97,29,41,73,3.8,65,64,indx_69,470,310,490,420,1030,1540,1080,950,780,610,480,350,350,640,1230
ALFORDSIL0-2SW,indx_89,ALFORD,SIL,0-2,S,W,2,129,46,52,82,4.3,81,87,indx_89,1150,1420,1820,1880,2960,4030,3690,3610,3190,2880,2570,2010,2240,2700,3550
ALFORDSIL1-8SW,indx_79,ALFORD,SIL,1-8,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL10-25SW,indx_59,ALFORD,SIL,10-25,S,W,3,90,28,35,55,3,55,59,indx_59,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALFORDSIL15-25SW,indx_49,ALFORD,SIL,15-25,S,W,3,0,0,0,0,2.8,47,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALFORDSIL2-6SW,indx_79,ALFORD,SIL,2-6,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL2-8SW,indx_79,ALFORD,SIL,2-8,S,W,2,125,44,50,79,4.1,77,84,indx_89,970,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
ALFORDSIL6-12MW,indx_69,ALFORD,SIL,6-12,M,W,2,110,38,44,73,3.6,68,74,indx_79,650,840,1100,1140,1910,2730,2370,2240,1970,1710,1450,1050,1260,1670,2350
ALFORDSIL6-12SW,indx_79,ALFORD,SIL,6-12,S,W,2,120,42,48,75,4,75,81,indx_89,880,1110,1460,1540,2450,3380,3040,2940,2590,2290,2010,1570,1720,2220,2970
ALFORDSIL6-15MW,indx_69,ALFORD,SIL,6-15,M,W,2,110,37,42,71,3.5,67,73,indx_79,580,800,1050,1090,1840,2640,2200,2150,1885,1630,1380,980,1130,1600,2280
ALFORDSIL8-15MW,indx_69,ALFORD,SIL,8-15,M,W,2,102,35,40,68,3.4,64,68,indx_69,410,620,850,820,1540,2180,1820,1670,1460,1250,1030,680,880,1280,1910
ALFORDSIL8-15SW,indx_69,ALFORD,SIL,8-15,S,W,2,105,37,42,70,3.4,65,71,indx_79,560,740,990,1010,1740,2500,2060,2010,1760,1530,1290,910,1050,1520,2180
"ALFORD,T-SUBSTSIL1-4SW",indx_79,"ALFORD,T-SUBST",SIL,1-4,S,W,2,125,44,50,79,4.1,77,84,indx_89,1040,1290,1620,1710,2740,3690,3320,3320,2930,2600,2300,1840,1990,2440,3270
"ALGANSEE,OF-PHFS0-2SSWP",indx_79,"ALGANSEE,OF-PH",FS,0-2,S,SWP,2,125,42,45,80,4.2,77,81,indx_89,920,1160,1510,1600,2530,3500,3140,3040,2680,2370,2080,1640,1790,2290,3050
ALGIERSSICL0-2SSWP,indx_79,ALGIERS,SICL,0-2,S,SWP,2,124,40,41,78,3.5,71,79,indx_79,800,1050,1390,1420,2370,3230,2860,2830,2460,2180,1870,1430,1640,2080,2820
ALGIERSSIL0-2SSWP,indx_79,ALGIERS,SIL,0-2,S,SWP,2,125,40,45,80,3.8,74,81,indx_89,850,1080,1420,1460,2410,3280,2900,2870,2495,2210,1910,1460,1670,2110,2850
"ALGIERS,FF-PHSIL0-2SSWP",indx_69,"ALGIERS,FF-PH",SIL,0-2,S,SWP,11,110,35,0,60,3.5,65,55,indx_59,460,740,1020,1010,1860,2610,2100,1970,1715,1450,1150,740,940,1370,2080
"ALGIERS,OF-PHSIL0-2SSWP",indx_79,"ALGIERS,OF-PH",SIL,0-2,S,SWP,2,125,40,45,80,3.8,74,81,indx_89,850,1080,1420,1460,2410,3280,2900,2870,2495,2210,1910,1460,1670,2110,2850
ALLEGHENYL15-25SW,indx_59,ALLEGHENY,L,15-25,S,W,3,85,0,35,60,3,55,46,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLEGHENYL2-6SW,indx_79,ALLEGHENY,L,2-6,S,W,2,110,34,50,74,4,72,75,indx_79,700,680,960,940,1710,2410,2010,1860,1625,1390,1150,780,920,1320,1980
ALLEGHENYL3-8SW,indx_79,ALLEGHENY,L,3-8,S,W,2,107,33,49,72,4,70,73,indx_79,650,600,830,850,1590,2240,1780,1690,1445,1240,1020,610,810,1210,1860
ALLEGHENYL6-12SW,indx_69,ALLEGHENY,L,6-12,S,W,2,105,32,48,71,3.8,68,71,indx_79,650,540,760,760,1420,2020,1630,1460,1270,1070,850,520,720,1050,1680
ALLEGHENYL8-15SW,indx_69,ALLEGHENY,L,8-15,S,W,2,100,31,46,69,3.8,66,68,indx_69,570,440,640,630,1240,1810,1420,1230,1065,880,690,390,510,890,1510
ALLEGHENYSIL10-15MW,indx_69,ALLEGHENY,SIL,10-15,M,W,3,96,30,44,66,3.8,65,65,indx_69,640,350,540,470,1090,1620,1140,1040,860,710,530,350,390,750,1290
ALLEGHENYSIL10-15SW,indx_69,ALLEGHENY,SIL,10-15,S,W,3,100,31,46,69,3.8,66,68,indx_69,680,440,640,630,1240,1810,1420,1230,1065,880,690,390,510,890,1510
ALLEGHENYSIL12-18SW,indx_69,ALLEGHENY,SIL,12-18,S,W,3,96,30,44,65,3.8,65,65,indx_69,550,350,540,470,1090,1620,1140,1040,860,710,530,350,390,750,1290
ALLEGHENYSIL2-6SW,indx_79,ALLEGHENY,SIL,2-6,S,W,2,110,34,50,74,4,72,75,indx_79,700,680,960,940,1710,2410,2010,1860,1625,1390,1150,780,920,1320,1980
ALLEGHENYSIL5-10MW,indx_69,ALLEGHENY,SIL,5-10,M,W,2,101,31,46,69,3.8,67,69,indx_69,580,450,650,640,1260,1830,1440,1270,1100,910,710,400,530,900,1530
ALLEGHENYSIL5-10SW,indx_69,ALLEGHENY,SIL,5-10,S,W,2,105,32,48,71,4,69,71,indx_79,690,540,760,760,1420,2020,1630,1460,1270,1070,850,520,720,1050,1680
ALLEGHENYSIL6-12SW,indx_69,ALLEGHENY,SIL,6-12,S,W,2,105,32,48,71,4,69,71,indx_79,690,540,760,760,1420,2020,1630,1460,1270,1070,850,520,720,1050,1680
ALLEGHENY-MONONGAHELASIL2-5MW,indx_69,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,2,94,35,38,65,3.9,65,64,indx_69,510,530,730,690,1360,1960,1610,1440,1255,1070,870,560,760,1130,1750
ALLEGHENY-MONONGAHELASIL2-5SW,indx_69,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,2,98,37,40,68,3.9,67,67,indx_69,590,650,880,900,1570,2300,1880,1810,1590,1380,1160,810,950,1390,2040
"ALLEGHENY,SS-SUBSTSIL5-10SW",indx_69,"ALLEGHENY,SS-SUBST",SIL,5-10,S,W,2,105,32,48,71,4,69,71,indx_79,690,540,760,760,1420,2020,1630,1460,1270,1070,850,520,720,1050,1680
"ALLEGHENY,VL15-25SW",indx_59,"ALLEGHENY,V",L,15-25,S,W,3,90,30,35,55,3,55,60,indx_69,170,240,300,350,350,350,350,350,350,350,350,350,350,350,350
"ALLEGHENY,VL8-15SW",indx_69,"ALLEGHENY,V",L,8-15,S,W,2,105,35,40,65,3.5,65,69,indx_69,560,660,890,860,1600,2260,1890,1750,1530,1310,1080,720,930,1320,1980
ALLISCL0-2SP,indx_59,ALLIS,CL,0-2,S,P,3,78,25,33,58,2.9,51,52,indx_59,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLISL0-2SP,indx_59,ALLIS,L,0-2,S,P,3,80,26,34,60,3,53,54,indx_59,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLISSICL0-2SP,indx_59,ALLIS,SICL,0-2,S,P,3,78,25,33,58,2.9,51,52,indx_59,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLISSICL2-6SP,indx_59,ALLIS,SICL,2-6,S,P,3,75,24,32,56,2.8,50,50,indx_59,190,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLISSIL0-2SP,indx_59,ALLIS,SIL,0-2,S,P,3,80,26,34,60,3,53,54,indx_59,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALLISST-SIL0-2SP,indx_49,ALLIS,ST-SIL,0-2,S,P,3,60,22,35,55,3,48,45,indx_49,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ALVADAL0-1SVP,indx_99,ALVADA,L,0-1,S,VP,2,144,45,52,87,5.6,92,93,indx_99,1300,1550,1930,2050,3220,4270,3980,3930,3470,3090,2720,2180,2400,2880,3720
ALVADASICL0-1SVP,indx_99,ALVADA,SICL,0-1,S,VP,2,141,44,51,85,5.5,91,91,indx_99,1230,1470,1840,1960,3080,4130,3740,3760,3320,2950,2600,2070,2230,2710,3600
AMANDAL12-18MW,indx_69,AMANDA,L,12-18,M,W,3,88,27,37,68,3.7,61,58,indx_59,320,200,300,350,640,1040,660,440,395,370,360,350,350,350,830
AMANDAL18-25SW,indx_59,AMANDA,L,18-25,S,W,3,0,0,0,0,3.3,55,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AMANDASICL12-20SEW,indx_59,AMANDA,SICL,12-20,SE,W,3,0,0,0,0,3.3,55,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AMANDASICL6-12SEW,indx_69,AMANDA,SICL,6-12,SE,W,2,91,28,38,69,3.8,63,60,indx_69,400,200,360,350,830,1280,820,610,510,430,390,350,350,460,1030
AMANDASIL12-18MW,indx_69,AMANDA,SIL,12-18,M,W,3,88,27,37,68,3.7,61,58,indx_59,320,200,300,350,640,1040,660,440,395,370,360,350,350,350,830
AMANDASIL12-20MW,indx_69,AMANDA,SIL,12-20,M,W,3,87,27,37,67,3.7,61,58,indx_59,320,200,300,350,600,1020,620,420,385,370,360,350,350,350,810
AMANDASIL18-25MW,indx_59,AMANDA,SIL,18-25,M,W,3,0,0,0,0,3,50,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AMANDASIL18-25SW,indx_59,AMANDA,SIL,18-25,S,W,3,0,0,0,0,3.3,55,0,indx_49,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AMANDASIL2-6MW,indx_79,AMANDA,SIL,2-6,M,W,2,105,32,42,78,4.4,72,69,indx_69,600,520,730,730,1380,1980,1590,1430,1240,1040,830,490,690,1020,1660
AMANDASIL2-6SW,indx_79,AMANDA,SIL,2-6,S,W,2,108,34,44,82,4.6,75,72,indx_79,710,630,910,880,1640,2300,1920,1770,1545,1320,1080,730,870,1260,1920
AMANDASIL6-12MW,indx_69,AMANDA,SIL,6-12,M,W,2,100,30,40,72,4,67,65,indx_69,580,380,570,510,1140,1690,1230,1110,925,770,560,350,430,810,1350
"AMANDA-LOUDONVILLE,C12-20MW",indx_59,"AMANDA-LOUDONVILLE,C",NA,12-20,M,W,3,84,27,37,63,3.4,58,57,indx_59,240,200,300,350,550,940,540,350,350,350,350,350,350,350,750
"AMANDA-LOUDONVILLE,C2-6MW",indx_69,"AMANDA-LOUDONVILLE,C",NA,2-6,M,W,2,101,32,42,75,4.2,69,67,indx_69,550,470,670,670,1290,1880,1490,1330,1155,960,750,440,640,950,1580
"AMANDA-LOUDONVILLE,C6-12MW",indx_69,"AMANDA-LOUDONVILLE,C",NA,6-12,M,W,2,96,30,40,69,3.8,64,64,indx_69,410,330,520,450,1060,1590,1110,1010,835,680,520,350,380,740,1270
"AMANDA-OCKLEY,C12-20MW",indx_69,"AMANDA-OCKLEY,C",NA,12-20,M,W,3,93,30,42,69,3.7,63,64,indx_69,390,300,480,410,1010,1520,1050,940,775,630,490,350,350,700,1220
"AMANDA-OCKLEY,C6-12MW",indx_69,"AMANDA-OCKLEY,C",NA,6-12,M,W,2,103,34,46,71,4,69,70,indx_79,690,580,840,820,1550,2190,1800,1640,1430,1230,1010,670,810,1190,1830
"AMANDA-WOOSTER,C12-18MW",indx_59,"AMANDA-WOOSTER,C",NA,12-18,M,W,3,88,0,25,55,3.5,56,43,indx_49,180,200,300,350,350,350,350,350,350,350,350,350,350,350,350
"AMANDA-WOOSTER,C2-6SW",indx_79,"AMANDA-WOOSTER,C",NA,2-6,S,W,2,113,30,35,70,4.3,70,68,indx_69,570,490,710,670,1380,1980,1520,1430,1210,1010,760,400,600,1000,1590
"AMANDA-WOOSTER,C6-12MW",indx_69,"AMANDA-WOOSTER,C",NA,6-12,M,W,2,98,25,30,65,4,63,59,indx_59,400,200,300,350,670,1110,630,420,385,370,360,350,350,350,810
"AMANDA,VSIL12-18MW",indx_59,"AMANDA,V",SIL,12-18,M,W,3,90,0,33,0,3.4,58,47,indx_49,240,200,300,350,350,350,350,350,350,350,350,350,350,350,350
"AMANDA,VSIL6-12MW",indx_69,"AMANDA,V",SIL,6-12,M,W,2,105,38,38,0,3.7,66,70,indx_79,570,760,1010,1030,1770,2540,2190,2060,1810,1570,1330,960,1160,1560,2230
"AQUENTS,CLAYEY0-1SVP",indx_49,"AQUENTS,CLAYEY",NA,0-1,S,VP,3,0,0,0,0,0,0,0,indx_49,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
"AQUENTS,NEARLY LEVEL0-2SVP",indx_49,"AQUENTS,NEARLY LEVEL",NA,0-2,S,VP,3,0,0,0,0,0,0,0,indx_49,200,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ARKPORTFS2-6SW,indx_69,ARKPORT,FS,2-6,S,W,2,92,34,40,76,3.6,64,64,indx_69,420,440,680,620,1280,1840,1490,1330,1155,970,780,480,610,990,1590
ARKPORTFS6-12SW,indx_69,ARKPORT,FS,6-12,S,W,2,88,33,39,72,3.5,62,62,indx_69,390,350,540,510,1130,1650,1220,1120,935,790,630,350,490,850,1440
ARKPORTFSL0-6SW,indx_69,ARKPORT,FSL,0-6,S,W,2,96,36,42,78,3.8,67,67,indx_69,560,600,830,830,1490,2120,1750,1690,1445,1250,1050,720,870,1240,1880
ARKPORTFSL12-18SW,indx_59,ARKPORT,FSL,12-18,S,W,3,70,31,36,67,3.3,55,53,indx_59,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ARKPORTFSL6-12SW,indx_69,ARKPORT,FSL,6-12,S,W,2,91,34,40,74,3.6,63,64,indx_69,400,430,670,610,1260,1820,1470,1290,1120,950,770,460,600,960,1560
ARKPORTLFS0-2SW,indx_69,ARKPORT,LFS,0-2,S,W,2,96,36,42,78,3.8,67,67,indx_69,440,600,830,830,1490,2120,1750,1690,1445,1250,1050,720,870,1240,1880
ARKPORTLFS12-18SW,indx_59,ARKPORT,LFS,12-18,S,W,3,70,30,35,66,3.2,54,52,indx_59,170,200,300,350,350,350,350,350,350,350,350,350,350,350,350
ARKPORTLFS2-6SW,indx_69,ARKPORT,LFS,2-6,S,W,2,92,34,40,76,3.6,64,64,indx_69,420,440,680,620,1280,1840,1490,1330,1155,970,780,480,610,990,1590
ARKPORTLFS6-12SW,indx_69,ARKPORT,LFS,6-12,S,W,2,88,33,39,72,3.5,62,62,indx_69,390,350,540,510,1130,1650,1220,1120,935,790,630,350,490,850,1440
"ARKPORT,V.LFS0-2SW",indx_69,"ARKPORT,V.",LFS,0-2,S,W,2,100,28,42,68,3.8,65,65,indx_69,220,310,490,420,1040,1560,1080,870,740,580,470,350,350,630,1230
"ARKPORT,V.LFS2-6SW",indx_69,"ARKPORT,V.",LFS,2-6,S,W,2,95,25,40,65,3.8,63,61,indx_69,210,200,300,350,680,1100,620,410,380,370,360,350,350,350,780
ASHTONSIL0-2SW,indx_89,ASHTON,SIL,0-2,S,W,2,130,34,46,74,5,81,81,indx_89,740,870,1200,1210,2110,2890,2490,2360,2065,1780,1480,1060,1200,1630,2370
ASHTONSIL0-3SW,indx_89,ASHTON,SIL,0-3,S,W,2,130,34,46,74,5,81,81,indx_89,740,870,1200,1210,2110,2890,2490,2360,2065,1780,1480,1060,1200,1630,2370
ASHTONSIL2-6SW,indx_79,ASHTON,SIL,2-6,S,W,2,125,33,44,71,4.8,78,77,indx_79,730,770,1030,1080,1920,2680,2190,2120,1820,1580,1310,860,1060,1480,2190
"ASHTON,OF-PHSIL0-2SW",indx_89,"ASHTON,OF-PH",SIL,0-2,S,W,2,130,34,46,74,5,81,81,indx_89,740,870,1200,1210,2110,2890,2490,2360,2065,1780,1480,1060,1200,1630,2370
ATHERTONSIL0-2SVP,indx_69,ATHERTON,SIL,0-2,S,VP,2,90,38,30,0,3.6,60,61,indx_69,390,560,780,780,1410,2090,1750,1610,1415,1220,1030,710,910,1280,1900
ATLASSICL6-12MSWP,indx_59,ATLAS,SICL,6-12,M,SWP,2,91,28,38,57,3.4,59,60,indx_69,260,200,360,350,830,1280,820,610,510,430,390,350,350,460,1030
ATLASSIL2-6MSWP,indx_69,ATLAS,SIL,2-6,M,SWP,2,98,31,40,62,3.7,63,65,indx_69,410,390,580,580,1150,1700,1330,1150,995,820,630,350,470,830,1450
ATLASSIL2-6SSWP,indx_69,ATLAS,SIL,2-6,S,SWP,2,102,32,42,64,3.8,66,68,indx_69,520,480,680,690,1310,1900,1510,1350,1170,980,770,450,650,980,1590
ATLASSIL6-12MSWP,indx_69,ATLAS,SIL,6-12,M,SWP,2,94,29,39,59,3.5,60,62,indx_69,320,270,440,370,950,1450,990,860,700,540,450,350,350,570,1160
ATLASSIL6-12SESWP,indx_49,ATLAS,SIL,6-12,SE,SWP,3,50,15,16,36,1.8,31,31,indx_49,180,200,300,350,350,350,350,350,350,350,350,350,350,350,350
AURANDFSL0-2SSWP,indx_99,AURAND,FSL,0-2,S,SWP,2,141,44,51,85,5.7,92,91,indx_99,1240,1470,1840,1960,3080,4130,3740,3760,3320,2950,2600,2070,2230,2710,3600
AURANDL0-2SSWP,indx_99,AURAND,L,0-2,S,SWP,2,144,45,52,87,5.8,94,93,indx_99,1300,1550,1930,2050,3220,4270,3980,3930,3470,3090,2720,2180,2400,2880,3720
AURANDL0-3SSWP,indx_99,AURAND,L,0-3,S,SWP,2,144,45,52,87,5.8,94,93,indx_99,1300,1550,1930,2050,3220,4270,3980,3930,3470,3090,2720,2180,2400,2880,3720
AURANDSIL0-3SSWP,indx_99,AURAND,SIL,0-3,S,SWP,2,144,45,52,87,5.8,94,93,indx_99,1300,1550,1930,2050,3220,4270,3980,3930,3470,3090,2720,2180,2400,2880,3720
AVASIL0-3SMW,indx_79,AVA,SIL,0-3,S,MW,2,110,40,45,76,4.5,75,75,indx_79,750,920,1240,1240,2100,2890,2530,2490,2160,1910,1650,1240,1440,1860,2550
AVASIL3-8MMW,indx_69,AVA,SIL,3-8,M,MW,2,100,36,40,70,4,68,68,indx_69,600,640,870,880,1560,2210,1860,1770,1520,1330,1120,780,910,1300,1950
AVASIL8-15MMW,indx_69,AVA,SIL,8-15,M,MW,2,93,34,38,64,3.8,64,64,indx_69,410,440,680,620,1280,1860,1490,1330,1160,980,790,490,630,990,1590
AVERYSIL2-6SMW,indx_79,AVERY,SIL,2-6,S,MW,2,110,38,53,80,4.6,78,77,indx_79,900,880,1150,1190,1970,2800,2430,2300,2020,1760,1500,1090,1290,1710,2390
