"county","county_code","asd_desc","year","corn_acres_planted","corn_grain_acres_harvest","corn_grain_prod_bu","corn_grain_yield","corn_silage_acres_harvest","corn_silage_prod_tons","corn_silage_yield","soy_acres_harvest","soy_acres_planted","soy_prod_bu","soy_yield","wheat_acres_harvest","wheat_acres_planted","wheat_prod_bu","wheat_yield","cattle_inventory","cattle_milk_inventory"
"adams","001","SOUTH CENTRAL",1918,NA,44800,1020000,22.8,NA,NA,NA,NA,NA,NA,NA,23600,NA,353000,15,NA,NA
"adams","001","SOUTH CENTRAL",1919,NA,35900,1015000,28.3,NA,NA,NA,NA,NA,NA,NA,27200,NA,460000,16.9,NA,NA
"adams","001","SOUTH CENTRAL",1920,NA,38300,1128000,29.5,NA,NA,NA,NA,NA,NA,NA,18400,NA,184000,10,NA,NA
"adams","001","SOUTH CENTRAL",1921,NA,37200,1111000,29.9,NA,NA,NA,NA,NA,NA,NA,16300,NA,132000,8.1,NA,NA
"adams","001","SOUTH CENTRAL",1922,NA,35900,919000,25.6,NA,NA,NA,NA,NA,NA,NA,15900,NA,168000,10.6,NA,NA
"adams","001","SOUTH CENTRAL",1923,NA,37300,1019000,27.3,NA,NA,NA,NA,NA,NA,NA,17500,NA,275000,15.7,NA,NA
"adams","001","SOUTH CENTRAL",1924,NA,36100,956000,26.5,NA,NA,NA,NA,NA,NA,NA,3500,NA,40000,11.4,NA,NA
"adams","001","SOUTH CENTRAL",1927,NA,31200,980000,31.4,NA,NA,NA,NA,NA,NA,NA,17700,NA,212000,12,NA,NA
"adams","001","SOUTH CENTRAL",1928,NA,33700,1077000,32,NA,NA,NA,NA,NA,NA,NA,5000,NA,32000,6.4,NA,NA
"adams","001","SOUTH CENTRAL",1929,NA,30800,863000,28,NA,NA,NA,NA,NA,NA,NA,10900,NA,122000,11.2,NA,NA
"adams","001","SOUTH CENTRAL",1930,NA,32300,428000,13.3,NA,NA,NA,NA,NA,NA,NA,12700,NA,174000,13.7,NA,NA
"adams","001","SOUTH CENTRAL",1931,NA,40200,1464000,36.4,NA,NA,NA,NA,NA,NA,NA,15000,NA,365000,24.3,NA,NA
"adams","001","SOUTH CENTRAL",1932,NA,33400,790000,23.7,NA,NA,NA,NA,NA,NA,NA,13600,NA,134000,9.9,NA,NA
"adams","001","SOUTH CENTRAL",1933,NA,32600,982000,30.1,NA,NA,NA,NA,NA,NA,NA,14100,NA,174000,12.3,NA,NA
"adams","001","SOUTH CENTRAL",1934,NA,33000,857000,26,NA,NA,NA,NA,NA,NA,NA,15000,NA,189000,12.6,NA,NA
"adams","001","SOUTH CENTRAL",1935,NA,39400,1173000,29.8,NA,NA,NA,NA,NA,NA,NA,15500,NA,144000,9.3,NA,NA
"adams","001","SOUTH CENTRAL",1936,NA,37200,793000,21.3,NA,NA,NA,NA,NA,NA,NA,16500,NA,210000,12.7,NA,NA
"adams","001","SOUTH CENTRAL",1937,NA,31600,1016000,32.2,NA,NA,NA,NA,NA,NA,NA,16600,NA,263000,15.8,NA,NA
"adams","001","SOUTH CENTRAL",1938,NA,28800,994000,34.5,NA,NA,NA,NA,NA,NA,NA,19800,NA,298000,15.1,NA,NA
"adams","001","SOUTH CENTRAL",1939,NA,28500,952000,33.4,NA,NA,NA,NA,NA,NA,NA,13700,NA,134000,9.8,NA,NA
"adams","001","SOUTH CENTRAL",1940,NA,28400,676000,23.8,NA,NA,NA,200,NA,2000,10,13500,NA,173000,12.8,NA,NA
"adams","001","SOUTH CENTRAL",1941,NA,30500,1154000,37.8,NA,NA,NA,600,NA,11000,18.3,13500,NA,231000,17.1,NA,NA
"adams","001","SOUTH CENTRAL",1942,NA,31700,1279000,40.3,NA,NA,NA,1000,NA,18000,18,13900,NA,171000,12.3,NA,NA
"adams","001","SOUTH CENTRAL",1943,NA,32700,1228000,37.6,NA,NA,NA,400,NA,7000,17.5,13400,NA,130000,9.7,NA,NA
"adams","001","SOUTH CENTRAL",1944,NA,32800,957000,29.2,NA,NA,NA,300,NA,4000,13.3,15600,NA,234000,15,NA,NA
"adams","001","SOUTH CENTRAL",1945,NA,29100,1305000,44.8,NA,NA,NA,300,NA,5000,16.7,15800,NA,264000,16.7,NA,NA
"adams","001","SOUTH CENTRAL",1946,NA,31300,1432000,45.8,NA,NA,NA,300,NA,6000,20,15200,NA,248000,16.3,NA,NA
"adams","001","SOUTH CENTRAL",1947,NA,28800,1216000,42.2,NA,NA,NA,1000,NA,20000,20,17500,NA,278000,15.9,NA,NA
"adams","001","SOUTH CENTRAL",1948,NA,31200,1495000,47.9,NA,NA,NA,900,NA,15000,16.7,17400,NA,301000,17.3,NA,NA
"adams","001","SOUTH CENTRAL",1949,NA,28700,1241000,43.2,NA,NA,NA,1100,NA,18000,16.4,18600,NA,332000,17.8,NA,NA
"adams","001","SOUTH CENTRAL",1950,NA,27300,1108000,40.6,NA,NA,NA,1100,NA,22000,20,16700,NA,250000,15,NA,NA
"adams","001","SOUTH CENTRAL",1951,NA,33900,1440000,42.5,NA,NA,NA,500,NA,9000,18,14000,NA,175000,12.5,NA,NA
"adams","001","SOUTH CENTRAL",1952,NA,33300,1547000,46.5,NA,NA,NA,500,NA,10000,20,14400,NA,271000,18.8,NA,NA
"adams","001","SOUTH CENTRAL",1953,NA,31200,1457000,46.7,NA,NA,NA,600,NA,9000,15,15700,NA,314000,20,NA,NA
"adams","001","SOUTH CENTRAL",1954,NA,32500,1625000,50,NA,NA,NA,300,NA,6000,20,14100,NA,315000,22.3,NA,NA
"adams","001","SOUTH CENTRAL",1955,NA,30800,1448000,47,NA,NA,NA,300,NA,7000,23.3,12300,NA,246000,20,NA,NA
"adams","001","SOUTH CENTRAL",1956,NA,29300,1699000,58,NA,NA,NA,400,NA,8000,20,12400,NA,248000,20,NA,NA
"adams","001","SOUTH CENTRAL",1957,NA,25000,1150000,46,NA,NA,NA,300,NA,6000,20,10000,NA,2e+05,20,NA,NA
"adams","001","SOUTH CENTRAL",1958,NA,25100,1406000,56,NA,NA,NA,400,NA,8000,20,8600,NA,189000,22,NA,NA
"adams","001","SOUTH CENTRAL",1959,NA,29000,1711000,59,NA,NA,NA,500,NA,11000,22,6000,NA,78000,13,NA,NA
"adams","001","SOUTH CENTRAL",1960,NA,27100,1572000,58,NA,NA,NA,1000,NA,20000,20,9500,NA,218500,23,NA,NA
"adams","001","SOUTH CENTRAL",1961,NA,20400,1326000,65,NA,NA,NA,1000,NA,22000,22,9100,NA,218400,24,NA,NA
"adams","001","SOUTH CENTRAL",1962,NA,18800,1241000,66,NA,NA,NA,600,NA,13200,22,6300,NA,107100,17,NA,NA
"adams","001","SOUTH CENTRAL",1963,NA,17800,1246000,70,NA,NA,NA,800,NA,19200,24,8300,NA,232400,28,NA,NA
"adams","001","SOUTH CENTRAL",1964,NA,15900,954000,60,NA,NA,NA,1300,NA,20800,16,7900,NA,181700,23,NA,NA
"adams","001","SOUTH CENTRAL",1965,NA,15500,1132000,73,NA,NA,NA,800,NA,17600,22,7000,NA,168000,24,NA,NA
"adams","001","SOUTH CENTRAL",1966,NA,15400,1124000,73,NA,NA,NA,2000,NA,43000,21.5,5200,NA,104000,20,NA,NA
"adams","001","SOUTH CENTRAL",1967,NA,16600,1295000,78,NA,NA,NA,2000,NA,41000,20.5,8400,NA,235200,28,NA,NA
"adams","001","SOUTH CENTRAL",1968,NA,14900,1103000,74,NA,NA,NA,2100,NA,52500,25,5700,NA,153900,27,NA,NA
"adams","001","SOUTH CENTRAL",1969,NA,14100,1114000,79,NA,NA,NA,2600,NA,72800,28,5700,NA,171000,30,NA,NA
"adams","001","SOUTH CENTRAL",1970,NA,15500,852000,55,NA,NA,NA,1600,NA,46400,29,5200,NA,145600,28,NA,NA
"adams","001","SOUTH CENTRAL",1971,NA,22700,1680000,74,NA,NA,NA,3800,NA,114000,30,5400,NA,194400,36,NA,NA
"adams","001","SOUTH CENTRAL",1972,21400,19800,1505000,76,NA,NA,NA,6900,7000,155300,22.5,5200,5800,161200,31,NA,NA
"adams","001","SOUTH CENTRAL",1973,23300,22000,1692600,76.9,NA,NA,NA,8200,8300,189600,23.1,3400,3800,88000,25.9,NA,NA
"adams","001","SOUTH CENTRAL",1974,23600,20900,1442500,69,NA,NA,NA,6700,6700,180200,26.9,7400,8900,194200,26.2,NA,NA
"adams","001","SOUTH CENTRAL",1975,20700,19500,1547000,79.3,9400,127000,13.5,7400,7700,223000,30.1,4400,4500,131300,29.8,43700,5600
"adams","001","SOUTH CENTRAL",1976,22100,18700,1792000,95.8,10100,140000,13.9,5600,5800,181000,32.3,5200,5500,145400,28,44600,5000
"adams","001","SOUTH CENTRAL",1977,24300,20800,1936500,93.1,8100,97000,12,14300,15000,454000,31.7,6700,8700,196100,29.3,40000,5400
"adams","001","SOUTH CENTRAL",1978,24300,22600,2200000,97.3,9500,153000,16.1,16400,16600,502000,30.6,5700,7700,158000,27.7,39400,5300
"adams","001","SOUTH CENTRAL",1979,23500,21100,2113000,100.1,7900,122000,15.4,21900,22000,651000,29.7,6000,8000,180800,30.1,31400,5200
"adams","001","SOUTH CENTRAL",1980,26000,21600,2137000,98.9,10000,160000,16,20100,20200,522000,26,5200,6100,170000,32.7,31700,5200
"adams","001","SOUTH CENTRAL",1981,28200,24200,1877000,77.6,13600,186000,13.7,12600,13000,340000,27,8700,9000,292000,33.6,31500,5100
"adams","001","SOUTH CENTRAL",1982,30000,28000,2534000,90.5,12000,180000,15,11300,11500,296000,26.2,5500,6300,187000,34,32300,5300
"adams","001","SOUTH CENTRAL",1983,22000,20000,1018000,50.9,11000,165000,15,9100,9200,189000,20.8,5800,7500,221000,38.1,34000,5500
"adams","001","SOUTH CENTRAL",1984,27000,25000,2575000,103,9000,144000,16,10700,11000,340300,31.8,5000,6600,175000,35,33000,5200
"adams","001","SOUTH CENTRAL",1985,26900,25400,2462600,97,8100,142000,17.5,12000,12200,386100,32.2,4500,4900,186800,41.5,33000,4700
"adams","001","SOUTH CENTRAL",1986,24500,23000,2542600,110.5,6700,123100,18.4,7900,8000,285900,36.2,5000,5400,182200,36.4,33000,4600
"adams","001","SOUTH CENTRAL",1987,22000,20500,1813900,88.5,7900,118300,15,7900,8000,245800,31.1,4400,4800,216500,49.2,33000,4300
"adams","001","SOUTH CENTRAL",1988,20000,17700,1083100,61.2,10000,107100,10.7,6400,7100,150700,23.5,4900,6000,225000,45.9,33000,4350
"adams","001","SOUTH CENTRAL",1989,19200,18100,1914200,105.8,9400,162600,17.3,6800,7000,209400,30.8,5500,6200,219400,39.9,30000,4700
"adams","001","SOUTH CENTRAL",1990,19300,17600,1924300,109.3,6600,115300,17.5,6500,6500,244400,37.6,5900,6400,249000,42.2,28300,5000
"adams","001","SOUTH CENTRAL",1991,20700,18700,2001800,107,7300,113500,15.5,6900,6900,269900,39.1,5400,7100,176900,32.8,26800,4600
"adams","001","SOUTH CENTRAL",1992,20000,19200,2573400,134,6700,151100,22.6,8500,8700,320600,37.7,4800,5600,168900,35.2,27300,4100
"adams","001","SOUTH CENTRAL",1993,19500,18200,1744600,95.9,7100,98700,13.9,9700,10000,313100,32.3,4500,4700,173000,38.4,25900,3300
"adams","001","SOUTH CENTRAL",1994,19600,17100,1892100,110.6,8000,140100,17.5,9600,9700,347200,36.2,3900,3900,154500,39.6,25400,3300
"adams","001","SOUTH CENTRAL",1995,17100,15300,1311300,85.7,7200,110300,15.3,9600,10000,284600,29.6,3800,3800,139300,36.7,27600,3200
"adams","001","SOUTH CENTRAL",1996,15300,13300,1181900,88.9,6800,106100,15.6,11100,11200,299700,27,4000,4200,119200,29.8,30500,3200
"adams","001","SOUTH CENTRAL",1997,16200,13800,1215200,88.1,7600,138400,18.2,10700,10700,337400,31.5,3300,4400,129500,39.2,28300,3200
"adams","001","SOUTH CENTRAL",1998,15500,13500,1349800,100,7400,113200,15.3,14000,14100,578200,41.3,4000,4700,206200,51.6,26300,3100
"adams","001","SOUTH CENTRAL",1999,14200,11400,760500,66.7,6600,49100,7.4,15500,16700,310000,20,3100,3200,111700,36,25600,3000
"adams","001","SOUTH CENTRAL",2000,16600,14000,2097400,149.8,7100,112200,15.8,15100,15200,694600,46,4000,4000,232500,58.1,26400,3100
"adams","001","SOUTH CENTRAL",2001,13200,11300,1404600,124.3,7300,119600,16.4,16400,16500,647800,39.5,3200,3400,178000,55.6,26200,3400
"adams","001","SOUTH CENTRAL",2002,11000,8700,509300,58.5,7200,77800,10.8,18600,19000,410500,22.1,2500,3100,85500,34.2,25500,2900
"adams","001","SOUTH CENTRAL",2003,11000,10200,1270800,124.6,5900,109800,18.6,14600,14700,548700,37.6,2700,4000,111500,41.3,23100,2500
"adams","001","SOUTH CENTRAL",2004,13900,13000,1815900,139.7,6600,112500,17,16000,16400,707600,44.2,2700,2900,150200,55.6,23300,2100
"adams","001","SOUTH CENTRAL",2005,12900,12000,1438100,119.8,5400,75000,13.9,18700,18800,759100,40.6,1900,2200,88900,46.8,25100,2500
"adams","001","SOUTH CENTRAL",2006,11300,10500,1481100,141.1,4900,87200,17.8,19100,19300,833800,43.7,2000,3400,135600,67.8,25400,2900
"adams","001","SOUTH CENTRAL",2007,15300,13600,1361900,100.1,8000,120700,15.1,15800,15900,437800,27.7,1600,1800,70300,43.9,25500,2700
"adams","001","SOUTH CENTRAL",2008,13200,12100,1280000,106,NA,NA,NA,44500,44700,1492500,33.5,11900,12700,649100,54.5,26000,3200
"adams","001","SOUTH CENTRAL",2009,11300,10300,1660000,161.2,NA,NA,NA,18100,18200,860300,47.5,9800,10800,608500,62,26500,3200
"adams","001","SOUTH CENTRAL",2010,12100,10900,1340000,122.9,NA,NA,NA,20900,21000,860000,41.1,1620,1700,82800,51.1,26500,3100
"adams","001","SOUTH CENTRAL",2011,14100,13100,1885000,143.9,NA,NA,NA,21600,21700,972000,45,2300,2600,83900,36.5,25500,3100
"adams","001","SOUTH CENTRAL",2012,17300,15500,1247000,80.5,NA,NA,NA,22500,22600,925000,41.1,1080,1400,39200,36.3,26500,3100
"adams","001","SOUTH CENTRAL",2013,17500,16500,2570000,155.8,NA,NA,NA,23900,24000,1071000,44.8,2270,3000,147000,64.8,25500,3100
"adams","001","SOUTH CENTRAL",2014,15500,14100,2020000,143.3,NA,NA,NA,27800,27900,1277000,45.9,720,2400,39600,55,23500,3000
"adams","001","SOUTH CENTRAL",2015,14000,13000,1900000,146.2,NA,NA,NA,28200,28300,1493000,52.9,1600,2000,102000,63.8,24000,2900
"adams","001","SOUTH CENTRAL",2016,14000,13000,2020000,155.4,NA,NA,NA,27900,28000,1392000,49.9,1900,2300,102000,53.7,24000,2900
"adams","001","SOUTH CENTRAL",2017,14000,12700,2200000,173.2,NA,NA,NA,29900,30000,1402000,46.9,930,1900,58100,62.5,24000,2800
"adams","001","SOUTH CENTRAL",2018,15500,14500,2550000,175.9,NA,NA,NA,30700,30800,1450000,47.2,1100,2100,64000,58.2,25000,2700
"adams","001","SOUTH CENTRAL",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25500,2600
"allen","003","NORTHWEST",1918,NA,47500,1709000,36,NA,NA,NA,NA,NA,NA,NA,22400,NA,545000,24.3,NA,NA
"allen","003","NORTHWEST",1919,NA,47200,1916000,40.6,NA,NA,NA,NA,NA,NA,NA,27800,NA,547000,19.7,NA,NA
"allen","003","NORTHWEST",1920,NA,46400,1883000,40.6,NA,NA,NA,NA,NA,NA,NA,18400,NA,233000,12.7,NA,NA
"allen","003","NORTHWEST",1921,NA,43600,1428000,32.8,NA,NA,NA,NA,NA,NA,NA,16500,NA,2e+05,12.1,NA,NA
"allen","003","NORTHWEST",1922,NA,37400,1205000,32.2,NA,NA,NA,NA,NA,NA,NA,19300,NA,330000,17.1,NA,NA
"allen","003","NORTHWEST",1923,NA,40400,1739000,43,NA,NA,NA,NA,NA,NA,NA,18400,NA,347000,18.9,NA,NA
"allen","003","NORTHWEST",1924,NA,33900,968000,28.6,NA,NA,NA,NA,NA,NA,NA,34100,NA,570000,16.7,NA,NA
"allen","003","NORTHWEST",1927,NA,41400,1384000,33.4,NA,NA,NA,NA,NA,NA,NA,9800,NA,196000,20,NA,NA
"allen","003","NORTHWEST",1928,NA,43800,1713000,39.1,NA,NA,NA,NA,NA,NA,NA,4000,NA,50000,12.5,NA,NA
"allen","003","NORTHWEST",1929,NA,42000,1469000,35,NA,NA,NA,NA,NA,NA,NA,14800,NA,299000,20.2,NA,NA
"allen","003","NORTHWEST",1930,NA,45100,1376000,30.5,NA,NA,NA,NA,NA,NA,NA,13700,NA,282000,20.6,NA,NA
"allen","003","NORTHWEST",1931,NA,46500,2012000,43.3,NA,NA,NA,NA,NA,NA,NA,18800,NA,583000,31,NA,NA
"allen","003","NORTHWEST",1932,NA,49600,1905000,38.4,NA,NA,NA,NA,NA,NA,NA,21300,NA,524000,24.6,NA,NA
"allen","003","NORTHWEST",1933,NA,45700,1823000,39.9,NA,NA,NA,NA,NA,NA,NA,27700,NA,527000,19,NA,NA
"allen","003","NORTHWEST",1934,NA,40700,1219000,30,NA,NA,NA,NA,NA,NA,NA,24500,NA,471000,19.2,NA,NA
"allen","003","NORTHWEST",1935,NA,44700,2150000,48.1,NA,NA,NA,NA,NA,NA,NA,29400,NA,708000,24.1,NA,NA
"allen","003","NORTHWEST",1936,NA,47300,1603000,33.9,NA,NA,NA,NA,NA,NA,NA,28800,NA,591000,20.5,NA,NA
"allen","003","NORTHWEST",1937,NA,50800,2248000,44.3,NA,NA,NA,NA,NA,NA,NA,39000,NA,655000,16.8,NA,NA
"allen","003","NORTHWEST",1938,NA,49000,2334000,47.6,NA,NA,NA,NA,NA,NA,NA,33500,NA,690000,20.6,NA,NA
"allen","003","NORTHWEST",1939,NA,47600,2594000,54.5,NA,NA,NA,NA,NA,NA,NA,28700,NA,581000,20.2,NA,NA
"allen","003","NORTHWEST",1940,NA,40700,1643000,40.4,NA,NA,NA,19100,NA,293000,15.3,24700,NA,648000,26.2,NA,NA
"allen","003","NORTHWEST",1941,NA,43800,2162000,49.4,NA,NA,NA,19400,NA,375000,19.3,25700,NA,730000,28.4,NA,NA
"allen","003","NORTHWEST",1942,NA,39300,2307000,58.7,NA,NA,NA,24900,NA,620000,24.9,19500,NA,380000,19.5,NA,NA
"allen","003","NORTHWEST",1943,NA,41300,2080000,50.4,NA,NA,NA,30700,NA,709000,23.1,16700,NA,294000,17.6,NA,NA
"allen","003","NORTHWEST",1944,NA,44700,1880000,42.1,NA,NA,NA,32100,NA,6e+05,18.7,21400,NA,531000,24.8,NA,NA
"allen","003","NORTHWEST",1945,NA,43500,2046000,47,NA,NA,NA,27400,NA,460000,16.8,26400,NA,803000,30.4,NA,NA
"allen","003","NORTHWEST",1946,NA,46400,2241000,48.3,NA,NA,NA,21800,NA,375000,17.2,22400,NA,661000,29.5,NA,NA
"allen","003","NORTHWEST",1947,NA,40300,1594000,39.6,NA,NA,NA,20300,NA,386000,19,30500,NA,738000,24.2,NA,NA
"allen","003","NORTHWEST",1948,NA,46100,2902000,63,NA,NA,NA,18600,NA,346000,18.6,34300,NA,888000,25.9,NA,NA
"allen","003","NORTHWEST",1949,NA,47500,2806000,59.1,NA,NA,NA,17100,NA,458000,26.8,33200,NA,888000,26.7,NA,NA
"allen","003","NORTHWEST",1950,NA,44100,2182000,49.5,NA,NA,NA,20900,NA,443000,21.2,28600,NA,706000,24.7,NA,NA
"allen","003","NORTHWEST",1951,NA,46800,2411000,51.5,NA,NA,NA,26100,NA,519000,19.9,25900,NA,482000,18.6,NA,NA
"allen","003","NORTHWEST",1952,NA,47800,2710000,56.7,NA,NA,NA,22700,NA,524000,23.1,34400,NA,908000,26.4,NA,NA
"allen","003","NORTHWEST",1953,NA,46300,2709000,58.5,NA,NA,NA,27000,NA,586000,21.7,33700,NA,1020000,30.3,NA,NA
"allen","003","NORTHWEST",1954,NA,52600,3314000,63,NA,NA,NA,23800,NA,604000,25.4,24000,NA,688000,28.7,NA,NA
"allen","003","NORTHWEST",1955,NA,51900,3218000,62,NA,NA,NA,30300,NA,773000,25.5,17300,NA,528000,30.5,NA,NA
"allen","003","NORTHWEST",1956,NA,50000,3250000,65,NA,NA,NA,33600,NA,907000,27,21900,NA,657000,30,NA,NA
"allen","003","NORTHWEST",1957,NA,43200,2203000,51,NA,NA,NA,34100,NA,835000,24.5,23400,NA,421000,18,NA,NA
"allen","003","NORTHWEST",1958,NA,41600,2413000,58,NA,NA,NA,37500,NA,1012000,27,23600,NA,826000,35,NA,NA
"allen","003","NORTHWEST",1959,NA,52700,2846000,54,NA,NA,NA,34500,NA,835000,24.2,23000,NA,598000,26,NA,NA
"allen","003","NORTHWEST",1960,NA,51800,3212000,62,NA,NA,NA,36900,NA,886000,24,25800,NA,955000,37,NA,NA
"allen","003","NORTHWEST",1961,NA,40000,3e+06,75,NA,NA,NA,43500,NA,1262000,29,26600,NA,878000,33,NA,NA
"allen","003","NORTHWEST",1962,NA,43600,2921000,67,NA,NA,NA,44700,NA,983000,22,23400,NA,749000,32,NA,NA
"allen","003","NORTHWEST",1963,NA,50500,3888000,77,NA,NA,NA,43500,NA,1044000,24,27800,NA,1056000,38,NA,NA
"allen","003","NORTHWEST",1964,NA,54600,3385000,62,NA,NA,NA,45100,NA,1015000,22.5,27600,NA,938000,34,NA,NA
"allen","003","NORTHWEST",1965,NA,51700,3878000,75,NA,NA,NA,51900,NA,1323000,25.5,23200,NA,742000,32,NA,NA
"allen","003","NORTHWEST",1966,NA,53400,4485000,84,NA,NA,NA,51400,NA,1439000,28,23700,NA,995000,42,NA,NA
"allen","003","NORTHWEST",1967,NA,55200,4637000,84,NA,NA,NA,55000,NA,1238000,22.5,29800,NA,1043000,35,NA,NA
"allen","003","NORTHWEST",1968,NA,50900,4428000,87,NA,NA,NA,58900,NA,1855000,31.5,23000,NA,943000,41,NA,NA
"allen","003","NORTHWEST",1969,NA,47400,3839000,81,NA,NA,NA,62700,NA,1724000,27.5,20200,NA,828000,41,NA,NA
"allen","003","NORTHWEST",1970,NA,56800,4828000,85,NA,NA,NA,57600,NA,1613000,28,19000,NA,779000,41,NA,NA
"allen","003","NORTHWEST",1971,NA,56000,5488000,98,NA,NA,NA,59800,NA,2003000,33.5,18100,NA,887000,49,NA,NA
"allen","003","NORTHWEST",1972,48600,46000,4462000,97,NA,NA,NA,66300,66800,1757000,26.5,20600,20900,1030000,50,NA,NA
"allen","003","NORTHWEST",1973,47100,44500,3481800,78.2,NA,NA,NA,79300,79700,2072700,26.1,11800,12900,413000,35,NA,NA
"allen","003","NORTHWEST",1974,58100,54900,3354400,61.1,NA,NA,NA,70500,72000,1621500,23,29600,30100,1294300,43.7,NA,NA
"allen","003","NORTHWEST",1975,53000,50600,5162000,102,29800,492000,16.5,60300,60400,2004600,33.2,34200,34900,1597300,46.7,17500,2200
"allen","003","NORTHWEST",1976,65900,61900,6493000,104.9,36400,599000,16.5,55900,56100,1800000,32.2,34200,34600,1521100,44.5,16700,2100
"allen","003","NORTHWEST",1977,56100,50800,5842000,115,35300,558000,15.8,72000,72100,2746000,38.1,37000,37600,1822600,49.3,16500,2300
"allen","003","NORTHWEST",1978,55000,51400,5143000,100.1,29000,431000,14.9,76400,76700,2499000,32.7,26500,28500,1104400,41.7,14000,2300
"allen","003","NORTHWEST",1979,50700,49200,6133000,124.7,27000,416000,15.4,78300,78500,2995000,38.3,35400,36100,1843000,52.1,11900,1700
"allen","003","NORTHWEST",1980,53900,50200,6199000,123.5,30000,450000,15,74500,75300,2875000,38.6,38400,38700,2047000,53.3,13200,1700
"allen","003","NORTHWEST",1981,59000,55600,5612000,100.9,33000,518000,15.7,65700,67000,1840000,28,39700,40600,1772000,44.6,12500,1800
"allen","003","NORTHWEST",1982,60000,58000,7105000,122.5,35000,630000,18,76100,77000,2945000,38.7,28000,31400,1330000,47.5,12000,1800
"allen","003","NORTHWEST",1983,53000,48500,3167000,65.3,31000,496000,16,66200,66400,1961000,29.6,24800,25600,1307000,52.7,12000,1800
"allen","003","NORTHWEST",1984,61000,60000,7620000,127,26000,403000,15.5,74500,75000,2905500,39,23000,25200,1104000,48,12000,1700
"allen","003","NORTHWEST",1985,63400,61800,7956100,128.7,25100,437500,17.4,78300,78700,3255600,41.6,20000,21000,1396800,69.8,11500,1550
"allen","003","NORTHWEST",1986,55000,54100,7562500,139.8,18800,336000,17.9,73300,73800,3062100,41.8,21200,22900,1007700,47.5,13000,1600
"allen","003","NORTHWEST",1987,50500,48900,6569700,134.3,22600,348800,15.4,84200,85000,3347000,39.8,17800,19000,1048400,58.9,13000,1450
"allen","003","NORTHWEST",1988,51000,47700,3991700,83.7,32600,306200,9.4,78700,83400,1849000,23.5,21700,24400,1050900,48.4,13000,1500
"allen","003","NORTHWEST",1989,57800,53300,7140700,134,32000,512400,16,85200,85300,3005300,35.3,28600,29100,1574400,55,11100,1250
"allen","003","NORTHWEST",1990,56700,54000,6954200,128.8,12400,216700,17.5,75200,75700,3104500,41.3,28700,29100,1905700,66.4,10500,1300
"allen","003","NORTHWEST",1991,56900,54800,5675700,103.6,19400,299600,15.4,76800,77300,2657500,34.6,24300,25400,1312200,54,9900,1200
"allen","003","NORTHWEST",1992,58800,57600,7822500,135.8,16400,323900,19.8,70000,71400,2691500,38.5,22500,24400,1194900,53.1,9700,1200
"allen","003","NORTHWEST",1993,52800,51000,5732700,112.4,14600,191300,13.1,77100,77400,2919400,37.9,21700,22200,1012900,46.7,10000,1200
"allen","003","NORTHWEST",1994,57200,54200,8545900,157.7,13600,224600,16.5,75200,75300,3423500,45.5,27000,27500,1677500,62.1,8700,1200
"allen","003","NORTHWEST",1995,50400,49000,6393400,130.5,11900,176400,14.8,76400,76800,3002500,39.3,26900,27400,1735600,64.5,8000,1100
"allen","003","NORTHWEST",1996,50000,48600,5717100,117.6,11000,161700,14.7,86000,86200,3068100,35.7,27800,29200,903600,32.5,11600,1000
"allen","003","NORTHWEST",1997,66400,64700,8799600,136,12000,229800,19.2,82900,83000,3711400,44.8,23700,25500,1498500,63.2,9200,1100
"allen","003","NORTHWEST",1998,61600,60200,9164000,152.2,11900,206700,17.4,82300,82400,3625900,44.1,25100,25700,1784200,71.1,7300,1000
"allen","003","NORTHWEST",1999,59600,57800,8611100,149,13300,215200,16.2,80000,81000,3360000,42,21900,22000,1702100,77.7,7200,3800
"allen","003","NORTHWEST",2000,62300,59700,8599700,144,12500,191700,15.3,79600,79700,3440500,43.2,23100,23200,1750300,75.8,7100,5900
"allen","003","NORTHWEST",2001,60500,58500,8178700,139.8,11000,206200,18.7,80900,81100,3502900,43.3,17400,18400,1180600,67.9,7000,6600
"allen","003","NORTHWEST",2002,59600,58400,4451500,76.2,20500,237800,11.6,81600,81800,2707800,33.2,15000,15800,1002600,66.8,7300,4700
"allen","003","NORTHWEST",2003,56900,54800,8419500,153.6,18600,402800,21.7,76600,77300,3059800,39.9,21400,22400,1559000,72.9,8000,4300
"allen","003","NORTHWEST",2004,60000,55800,9127900,163.6,23800,424300,17.8,78400,79100,3528300,45,19300,20100,1256900,65.1,8100,6000
"allen","003","NORTHWEST",2005,60200,58100,8960100,154.2,23400,417500,17.8,79100,79700,3776600,47.7,17300,18100,1240900,71.7,9000,6700
"allen","003","NORTHWEST",2006,55300,53400,8620700,161.4,24300,387700,16,82300,82800,4058500,49.3,20600,21100,1389000,67.4,8700,8500
"allen","003","NORTHWEST",2007,67900,64800,8884500,137.1,33200,509600,15.3,74100,74200,3494900,47.2,16600,19100,910700,54.9,7000,600
"allen","003","NORTHWEST",2008,57700,55200,7010000,127,25900,401400,15.5,81200,81600,2727800,33.5,23500,24000,1563000,66.5,6800,700
