county,parcels,acres_cauv,cauv,market_value,year,appraisal
logan,4003,250357,35472040,101345880,1986,update
lorain,4554,156893,21945490,62697440,1986,NA
lucas,2816,77250,21166950,60476430,1986,NA
madison,2278,273757,59675780,170494860,1986,NA
mahoning,2408,91885,10020140,28627130,1986,NA
marion,4405,215250,43885790,125383030,1986,update
medina,4474,140368,16419190,46911280,1986,update
meigs,618,21036,1534720,4384760,1986,reappraisal
mercer,4567,272625,54460530,155600750,1986,NA
miami,3739,211066,41504600,118581080,1986,update
monroe,1713,110489,5363240,15322030,1986,reappraisal
montgomery,2866,122511,28048720,80137770,1986,NA
morgan,2988,102432,11647070,33252430,1986,NA
morrow,2986,212780,29977110,85646340,1986,NA
muskingum,3819,166734,14816300,42328650,1986,NA
noble,1519,67879,4579460,13083820,1986,NA
ottawa,2756,115104,26198030,74850120,1986,NA
paulding,3544,246505,40466970,115616130,1986,reappraisal
perry,1350,69229,7821040,22344840,1986,NA
pickaway,5340,288539,60322430,172345760,1986,NA
pike,3335,138419,10171500,29058720,1986,NA
portage,2787,108142,13023620,37210310,1986,NA
preble,3545,229775,47334550,135238330,1986,NA
putnam,7655,288445,59280820,169373170,1986,NA
richland,5275,227868,33166270,94756420,1986,NA
ross,3158,298051,34573440,98779439,1986,update
sandusky,4712,223759,48726240,139217840,1986,NA
scioto,2863,113976,6046960,17276460,1986,reappraisal
seneca,5928,324460,57227550,163503890,1986,NA
shelby,5328,235644,45503990,130007490,1986,NA
stark,3386,128618,20396720,58271920,1986,NA
summit,310,16006,2948120,8423180,1986,NA
trumbull,2256,107282,10812310,30890800,1986,NA
tuscarawas,6396,217781,15633990,44668530,1986,reappraisal
union,4615,247757,44527100,127211070,1986,update
van wert,4281,247564,55524910,158642050,1986,NA
vinton,67,10433,740430,2115450,1986,NA
warren,3446,170901,31039640,88677630,1986,NA
washington,4802,147597,7531530,21527600,1986,reappraisal
wayne,5608,255322,42122810,120346790,1986,NA
williams,4059,237756,42698210,121993990,1986,NA
wood,8856,338048,87174e3,249062330,1986,NA
wyandot,5048,236079,38732880,110664280,1986,update
adams,5958,254404,16225620,43938100,1987,NA
allen,4133,205878,46904210,131456710,1987,NA
ashland,3047,207455,18000890,62774740,1987,update
ashtabula,3585,189129,9185740,48622800,1987,update
athens,1038,49361,2282100,6473400,1987,update
auglaize,4614,230791,32436420,102323150,1987,reappraisal
belmont,1028,55526,3391500,6395740,1987,NA
brown,3277,246294,28601970,78335530,1987,NA
butler,3731,180994,21686760,132062660,1987,update
carroll,2251,110197,6990790,22093390,1987,NA
champaign,4604,240944,38222300,106752910,1987,NA
clark,3845,186466,34070230,75134940,1987,NA
clermont,3174,153509,15793080,63083280,1987,update
clinton,2463,230374,30589640,74014460,1987,reappraisal
columbiana,1188,75535,10087480,28978200,1987,NA
coshocton,3216,160045,12412800,35233990,1987,NA
crawford,5295,230446,39289310,106081760,1987,NA
cuyahoga,83,1222,585450,2201550,1987,NA
darke,6356,353566,55101470,141076720,1987,reappraisal
defiance,4385,235245,29732630,78854470,1987,reappraisal
delaware,5057,195985,26861e3,121946440,1987,reappraisal
erie,2046,96937,20115970,52145870,1987,NA
fairfield,3948,223587,33257820,117872140,1987,NA
fayette,3473,241537,55610510,120049340,1987,NA
franklin,2817,119328,20749750,138678360,1987,reappraisal
fulton,4679,234789,35737180,136081820,1987,update
gallia,2650,105306,5451240,12913650,1987,reappraisal
geauga,1470,62455,4653750,29481280,1987,reappraisal
greene,4368,195206,29320910,99119610,1987,update
guernsey,2773,111450,11723420,19773650,1987,NA
hamilton,702,19436,2556170,20091856,1987,reappraisal
hancock,5500,302852,64269820,128913570,1987,NA
hardin,5111,283878,39364750,99117100,1987,reappraisal
harrison,1216,74590,3498270,9295860,1987,reappraisal
henry,5055,248038,44648940,132548600,1987,reappraisal
highland,6273,285385,39640420,88933e3,1987,NA
hocking,264,26152,2205230,4329150,1987,NA
holmes,4648,198371,20994330,66082360,1987,NA
huron,7702,272054,36401750,119244510,1987,NA
jackson,1248,48781,2203140,6722340,1987,reappraisal
jefferson,511,30769,1270840,2901260,1987,NA
knox,4469,225131,17021230,41713690,1987,update
lake,999,18996,2807100,22466430,1987,NA
lawrence,241,7717,345580,1121310,1987,NA
licking,3729,216695,22683440,91330440,1987,reappraisal
logan,4042,249626,35264340,103205840,1987,NA
lorain,4383,153394,21917590,83983540,1987,NA
lucas,2796,76983,21050920,83520360,1987,NA
madison,2297,270514,44124840,91794080,1987,update
mahoning,2442,91875,6521500,30614230,1987,reappraisal
marion,4864,226224,46056810,83358220,1987,NA
medina,4377,141235,16545150,74373550,1987,NA
meigs,717,24926,1731020,3508630,1987,NA
mercer,4589,271414,38303040,173888470,1987,reappraisal
miami,3767,211186,40662210,143512780,1987,NA
monroe,1774,114337,5516210,7722990,1987,NA
montgomery,2740,118205,23664210,101373600,1987,update
morgan,3010,105158,6132610,10743050,1987,NA
morrow,3072,213671,24539430,56375150,1987,reappraisal
muskingum,3870,168569,14962490,27628220,1987,NA
noble,1618,68761,3122320,6850130,1987,update
ottawa,2737,115513,26209810,62826530,1987,NA
paulding,3646,247321,40583040,91164910,1987,NA
perry,1410,71661,4853330,15695610,1987,reappraisal
pickaway,5355,287914,42810980,91090180,1987,reappraisal
pike,3472,187906,10507190,16824e3,1987,reappraisal
portage,2758,112214,12912140,37207940,1987,NA
preble,3616,230384,31477520,110201330,1987,reappraisal
putnam,7985,291406,43917680,147586730,1987,reappraisal
richland,5316,228382,21397370,70196650,1987,reappraisal
ross,3279,304361,35011250,84632390,1987,NA
sandusky,4716,223940,48292400,113054010,1987,NA
scioto,3078,121806,6515730,17392690,1987,NA
seneca,5953,324033,41805890,128666350,1987,reappraisal
shelby,5264,234611,31691440,95691430,1987,reappraisal
stark,3529,131090,20814540,67654870,1987,NA
summit,310,15649,2145460,12408190,1987,update
trumbull,2358,111012,7319500,28760420,1987,reappraisal
tuscarawas,6613,221717,13704720,53926940,1987,NA
union,4641,247686,44537320,102549920,1987,NA
van wert,4337,247808,41272410,132098150,1987,reappraisal
vinton,72,10562,751870,1168630,1987,NA
warren,3429,169782,30805470,118160420,1987,NA
washington,4884,148807,7599320,15637250,1987,NA
wayne,5775,258766,29376980,122296980,1987,update
williams,4074,238490,42685970,115438990,1987,NA
wood,8627,338865,62991140,173877080,1987,reappraisal
wyandot,5063,236089,38677420,110642770,1987,NA
adams,5991,255436,16283450,44056380,1988,NA
allen,4138,205295,29710970,106667860,1988,update
ashland,3078,208985,18166810,63013920,1988,NA
ashtabula,3584,188142,9118850,48410780,1988,NA
athens,1052,49613,2302430,6866070,1988,NA
auglaize,4685,230332,32324220,102074990,1988,NA
belmont,1041,56021,2545460,6481880,1988,reappraisal
brown,3319,247051,19579130,56259060,1988,reappraisal
butler,3653,177249,21355130,128888810,1988,NA
carroll,2352,115984,7262860,23098760,1988,NA
champaign,4600,242088,38386130,106854220,1988,NA
clark,3840,186638,34113760,73341310,1988,NA
clermont,3096,150363,15510610,60644700,1988,NA
clinton,2509,230288,30527910,73867150,1988,NA
columbiana,1242,78515,10235830,29467770,1988,NA
coshocton,3358,165772,8809930,36235210,1988,update
crawford,5139,230477,23047140,75823300,1988,reappraisal
cuyahoga,88,942,431580,1871060,1988,reappraisal
darke,6358,352874,54866530,140836470,1988,NA
defiance,4365,234255,31941090,78585850,1988,NA
delaware,5032,193226,26468370,119469010,1988,NA
erie,2093,97186,13904980,45792700,1988,reappraisal
fairfield,4025,223801,33252400,117228790,1988,NA
fayette,3498,242252,33807830,57690300,1988,reappraisal
franklin,2989,118913,21363890,138523780,1988,NA
fulton,4684,234567,35655370,135881010,1988,NA
gallia,2871,115258,5912450,13772680,1988,NA
geauga,1517,64134,4752380,30065390,1988,NA
greene,4283,193365,29025580,97899390,1988,NA
guernsey,2792,109131,11801410,19845980,1988,update
hamilton,755,20806,2728010,19831320,1988,NA
hancock,5533,302219,64008110,128531110,1988,NA
hardin,5117,282621,39174760,98841080,1988,NA
harrison,1196,73391,3457740,9142990,1988,NA
henry,5075,247865,44524430,132403110,1988,NA
highland,6362,286349,23312140,53086790,1988,reappraisal
hocking,275,27497,2305680,4624220,1988,NA
holmes,4661,200223,21129990,66732650,1988,NA
huron,7796,273259,22196370,85880010,1988,reappraisal
jackson,1242,49634,2251410,6824530,1988,NA
jefferson,535,31846,1210770,3586960,1988,reappraisal
knox,4465,227284,17003710,42166050,1988,NA
lake,996,18377,2064240,21121080,1988,reappraisal
lawrence,3220,91492,3664980,12549990,1988,NA
licking,3929,233467,23251860,96112400,1988,NA
logan,4081,249430,35363630,103232610,1988,NA
lorain,4370,153576,12161050,69621840,1988,reappraisal
lucas,2779,76410,14058310,64401930,1988,reappraisal
madison,2338,272659,43986570,91334400,1988,NA
mahoning,2460,92676,6606870,30710910,1988,NA
marion,4477,216025,41298150,82128050,1988,NA
medina,4378,141769,16667410,74603540,1988,NA
meigs,1298,48002,2875300,5907320,1988,NA
