county,parcels,acres_cauv,cauv,market_value,year,appraisal
lucas,2814,74194,12043e3,69404630,1991,update
madison,2443,272529,32965400,92874640,1991,NA
mahoning,2545,94672,5320560,31324520,1991,NA
marion,4523,217229,26910600,75457080,1991,NA
medina,4383,145191,13589560,75776300,1991,NA
meigs,1456,53744,3194070,6541510,1991,NA
mercer,4707,271400,30179600,172877810,1991,NA
miami,3856,209343,25995320,103032550,1991,NA
monroe,1829,116377,4637860,7822920,1991,NA
montgomery,2835,119148,20436300,97396220,1991,NA
morgan,3279,110629,5313200,13282910,1991,update
morrow,3195,213220,18368250,56253290,1991,NA
muskingum,3848,181003,8606390,36684340,1991,update
noble,1787,72633,3189640,7950400,1991,NA
ottawa,2727,112935,14365090,47627280,1991,update
paulding,3805,247418,22154950,90979400,1991,NA
perry,1217,83182,4345430,17781170,1991,NA
pickaway,5294,285256,30456060,90629800,1991,NA
pike,3630,155120,11074480,17943450,1991,NA
portage,2955,116353,7145970,44234920,1991,update
preble,3749,231986,25109850,107400530,1991,NA
putnam,8250,290977,31616240,148431540,1991,NA
richland,5546,228585,16499490,70373800,1991,NA
ross,3526,309849,21702700,61899400,1991,NA
sandusky,4726,221950,27244540,89045670,1991,reappraisal
scioto,3785,143030,6176760,20825770,1991,NA
seneca,6261,323570,32201080,128427090,1991,NA
shelby,5327,232419,24577190,94443260,1991,NA
stark,3632,134471,15198720,72295260,1991,update
summit,374,16745,2525790,18058420,1991,NA
trumbull,2700,124325,6729130,31916770,1991,NA
tuscarawas,6791,223030,11230050,53714670,1991,NA
union,4736,244598,27610490,104778130,1991,NA
van wert,4422,247180,31256250,122867990,1991,NA
vinton,328,39822,1120350,3295420,1991,reappraisal
warren,3342,162227,18032520,116817220,1991,update
washington,5113,155165,6562920,16444890,1991,NA
wayne,6177,265174,23969320,104977770,1991,NA
williams,4135,237817,20884710,52456770,1991,update
wood,8890,338848,51339870,175485690,1991,NA
wyandot,5153,235897,22919360,91464280,1991,NA
adams,3872,255093,13581270,46925680,1992,reappraisal
allen,4233,203810,26126380,90492620,1992,NA
ashland,3263,211603,13889750,59425660,1992,NA
ashtabula,3701,189864,10319430,47677260,1992,NA
athens,1387,66302,3618560,9103440,1992,NA
auglaize,4619,227436,25202190,100511960,1992,NA
belmont,1386,70417,3327590,7983690,1992,NA
brown,3435,245762,15802220,56107420,1992,NA
butler,3556,167521,19707840,121821930,1992,NA
carroll,2667,127664,6499690,23482840,1992,update
champaign,4566,239517,27496070,72266850,1992,update
clark,3873,184814,27574280,76184340,1992,update
clermont,3045,141323,12179590,67767220,1992,NA
clinton,3019,229021,23092280,78532240,1992,NA
columbiana,2664,123554,8778060,39593510,1992,reappraisal
coshocton,3776,186151,9577260,42006500,1992,NA
crawford,5236,230026,19326820,88830770,1992,NA
cuyahoga,101,1272,602120,2755470,1992,NA
darke,6671,351197,42880740,140043480,1992,NA
defiance,4448,233641,23539390,78176900,1992,NA
delaware,5135,189334,19844780,123660410,1992,NA
erie,2202,98159,12446120,46437490,1992,NA
fairfield,4258,224214,23064020,100694950,1992,update
fayette,3562,241456,29441470,74552740,1992,NA
franklin,2503,105693,17239950,135113980,1992,NA
fulton,4807,233678,28269130,133238820,1992,NA
gallia,3122,121062,5899230,14481860,1992,NA
geauga,1574,64510,5097680,33530550,1992,NA
greene,4204,188400,25386910,97078160,1992,NA
guernsey,2746,128342,12189670,20719720,1992,NA
hamilton,906,25135,3391615,43458216,1992,NA
hancock,5524,300485,44794390,145439640,1992,reappraisal
hardin,5128,282407,30421980,98299590,1992,NA
harrison,1337,83381,3765440,10360600,1992,NA
henry,5162,247387,33801210,140207840,1992,NA
highland,6402,287395,19572720,63504610,1992,NA
hocking,352,32796,1999390,7732990,1992,reappraisal
holmes,5213,201658,14699900,77576420,1992,reappraisal
huron,7864,272288,19809840,85767730,1992,NA
jackson,1438,55854,2421450,7644260,1992,NA
jefferson,923,50088,1888010,5696580,1992,NA
knox,4642,238723,14115880,59851950,1992,NA
lake,1119,20444,2376800,24131600,1992,NA
lawrence,3583,98372,4267200,13301870,1992,reappraisal
licking,4360,245086,20685580,103194190,1992,NA
logan,4142,249325,23593160,73937650,1992,update
lorain,4412,153197,11266250,71713450,1992,NA
lucas,2834,74028,11967880,69982510,1992,NA
madison,2501,271810,32868810,92690490,1992,NA
mahoning,2576,94955,5389540,31503720,1992,NA
marion,4544,217573,29003630,76014300,1992,update
medina,4432,145183,14660280,82117810,1992,update
meigs,1498,54948,2494760,6992070,1992,reappraisal
mercer,4719,271142,30221840,172755670,1992,NA
miami,3874,208240,29359700,107075550,1992,update
monroe,1862,117604,4583460,10867560,1992,reappraisal
montgomery,2740,114032,19644280,89605600,1992,NA
morgan,3351,112363,5411700,13523600,1992,NA
morrow,3207,211911,18262290,55743970,1992,NA
muskingum,3889,183336,8709670,37138150,1992,NA
noble,1846,74753,3269500,8199930,1992,NA
ottawa,2728,112101,14319300,47351910,1992,NA
paulding,3821,247119,22861180,80069e3,1992,reappraisal
perry,1270,85485,4405160,18020250,1992,NA
pickaway,5261,283904,30266990,90049810,1992,NA
pike,3629,155762,11089890,17970180,1992,NA
portage,3026,116401,7154780,44115510,1992,NA
preble,3785,232192,25114700,107428920,1992,NA
putnam,8285,290961,31534970,148347360,1992,NA
richland,5618,228475,16518e3,70362730,1992,NA
ross,3560,312296,23343630,62348460,1992,update
sandusky,4769,221508,27154710,89146510,1992,NA
scioto,3894,148805,6685890,24337900,1992,reappraisal
seneca,6305,323447,32183960,128369280,1992,NA
shelby,5348,231650,24496290,94223960,1992,NA
stark,3890,143967,15998720,76235290,1992,NA
summit,418,17296,2543546,18653510,1992,NA
trumbull,2831,127977,6962480,32985170,1992,NA
tuscarawas,6946,224130,12971930,56883280,1992,reappraisal
union,4762,243519,30627280,102894850,1992,update
van wert,4453,247023,31116750,122669200,1992,NA
vinton,328,39311,1123430,3187070,1992,NA
warren,3342,161994,18065120,116538580,1992,NA
washington,5139,157709,6787590,18017940,1992,reappraisal
wayne,6083,264425,23893710,104285610,1992,NA
williams,4156,237169,20804250,52310410,1992,NA
wood,8932,337249,50935220,175115940,1992,NA
wyandot,5185,235807,25002230,102398370,1992,update
adams,3841,254463,13558750,46604050,1993,NA
allen,4307,203670,26133270,90575750,1993,NA
ashland,3365,212506,20236470,63091600,1993,update
ashtabula,3697,189009,10454560,47610960,1993,update
athens,1539,71570,3956100,10418130,1993,update
auglaize,4646,227179,36223850,101640330,1993,reappraisal
belmont,1376,70237,3342930,7977060,1993,NA
brown,3494,245189,15938060,56335720,1993,NA
butler,3505,165753,29079250,128811610,1993,update
carroll,2724,129502,6604320,23792510,1993,NA
champaign,4627,239255,27383320,72090330,1993,NA
clark,3947,185466,27793840,76824450,1993,NA
clermont,3189,141951,17185320,73267930,1993,update
clinton,3128,227727,37437480,91946630,1993,reappraisal
columbiana,3176,140150,10030520,43957290,1993,NA
coshocton,3968,189926,9686e3,42805260,1993,NA
crawford,5398,230594,19349380,89008900,1993,NA
cuyahoga,110,1426,641130,3145540,1993,NA
darke,6708,350949,66219460,156264820,1993,reappraisal
defiance,4462,233434,35568490,74659100,1993,reappraisal
delaware,5271,189238,31345250,159088780,1993,reappraisal
erie,2182,97461,12364360,46183860,1993,NA
fairfield,4252,223250,22964980,99737170,1993,NA
fayette,3560,241147,29381770,74419720,1993,NA
franklin,2422,104841,25090100,147277350,1993,reappraisal
fulton,4861,233411,39443580,133172740,1993,update
gallia,3091,119609,6292680,16384740,1993,reappraisal
geauga,1688,66657,6080380,39112970,1993,reappraisal
greene,4240,187553,36638990,112268750,1993,update
guernsey,2960,129701,12864740,21862710,1993,NA
hamilton,1048,26739,5554710,67212420,1993,reappraisal
hancock,5607,300641,44875930,145456680,1993,NA
hardin,5135,282204,46761270,90602220,1993,reappraisal
harrison,1418,88192,4716750,12227360,1993,reappraisal
henry,5192,247125,51483030,143207630,1993,reappraisal
highland,6554,286752,19660250,63633930,1993,NA
hocking,417,37584,2246750,9057810,1993,NA
holmes,5341,203876,14954440,78509710,1993,NA
huron,7966,272972,19906540,86140510,1993,NA
jackson,1508,58363,3045530,8386860,1993,reappraisal
jefferson,962,51636,1964470,5899940,1993,NA
knox,4743,241910,21695390,65829660,1993,update
lake,1133,20231,2387080,23738330,1993,NA
lawrence,3754,101469,4305160,13178680,1993,NA
licking,4447,247544,30437640,112220170,1993,reappraisal
logan,4169,249335,23632560,74054620,1993,NA
lorain,4433,152460,11249740,71641910,1993,NA
lucas,2846,73825,11811630,69404990,1993,NA
madison,2551,271964,49833730,92933770,1993,update
mahoning,2660,95848,7088620,37978280,1993,reappraisal
marion,4649,220301,29317190,76943460,1993,NA
medina,4135,142586,14351800,79633560,1993,NA
meigs,1534,56435,2542890,7139820,1993,NA
mercer,4753,270848,47633780,159474780,1993,reappraisal
miami,3970,208768,29699120,108104230,1993,NA
monroe,2040,123291,4824960,11437220,1993,NA
montgomery,2986,120679,27962980,98691600,1993,update
morgan,3432,114662,5517020,13765280,1993,NA
morrow,3300,212626,28972790,57600630,1993,reappraisal
muskingum,3957,185549,8832600,37984730,1993,NA
noble,2e3,80056,3546020,8797060,1993,update
ottawa,2749,112122,14256290,47315880,1993,NA
paulding,3851,247073,22959210,80025390,1993,NA
perry,1300,86652,6560260,18345270,1993,reappraisal
pickaway,5233,282370,48546930,103502530,1993,reappraisal
pike,3607,155245,10768120,21398080,1993,reappraisal
portage,3108,118222,7297570,44815710,1993,NA
preble,3826,232276,38961050,106687720,1993,reappraisal
putnam,8441,291462,49485740,159979180,1993,reappraisal
richland,5661,227562,23822490,71643230,1993,reappraisal
ross,3600,311229,23291560,62190390,1993,NA
sandusky,4829,221710,27176650,89188790,1993,NA
scioto,4013,151090,6854220,24893750,1993,NA
seneca,6341,323659,50892570,123960630,1993,reappraisal
shelby,5444,231756,38979290,94268360,1993,reappraisal
stark,4031,153809,16155260,77917960,1993,NA
summit,464,17020,3245890,18890090,1993,update
trumbull,2862,130448,7758870,35006280,1993,reappraisal
tuscarawas,7229,228608,13300500,57937640,1993,NA
union,4889,244889,30764300,103427780,1993,NA
van wert,4530,247406,48610780,137901540,1993,reappraisal
vinton,411,42921,1465640,3586690,1993,NA
warren,3368,160600,18092280,114392720,1993,NA
washington,5202,159253,6807500,18214650,1993,NA
wayne,6192,263855,32982450,106179740,1993,update
williams,4278,238522,21042730,52862030,1993,NA
wood,8963,336851,70166940,190504710,1993,reappraisal
wyandot,5210,235486,24904270,102183900,1993,NA
adams,3957,250830,13466250,46146110,1994,NA
allen,4362,203718,38989650,96105050,1994,update
ashland,3444,212555,20321650,63351120,1994,NA
ashtabula,3708,189772,10492160,47694580,1994,NA
athens,1629,75563,4190090,10924720,1994,NA
auglaize,4659,226745,36138510,101323970,1994,NA
belmont,1349,69860,3647910,8217830,1994,reappraisal
brown,3600,247334,24471200,71146710,1994,reappraisal
butler,3519,164519,26669760,127151330,1994,NA
carroll,2814,132612,6739320,24411750,1994,NA
champaign,4716,240914,27355320,72657820,1994,NA
clark,3982,184764,27741640,76247790,1994,NA
clermont,3346,143555,17453570,74979370,1994,NA
clinton,3222,227605,37412240,92110180,1994,NA
columbiana,3320,144601,10414630,45336710,1994,NA
coshocton,3995,191272,11838250,43066660,1994,update
crawford,5436,230953,29461300,99574580,1994,reappraisal
cuyahoga,125,1592,550320,4679980,1994,reappraisal
darke,6780,350710,66167410,156232840,1994,NA
defiance,4584,234189,35641120,74814250,1994,NA
delaware,5186,187806,31048820,157295800,1994,NA
erie,2190,95910,15636700,57789160,1994,reappraisal
fairfield,4324,222291,22869740,99017420,1994,NA
fayette,3557,240918,46510920,88803100,1994,reappraisal
franklin,2506,103087,26125920,140334540,1994,NA
fulton,4860,232993,39269370,132900900,1994,NA
gallia,3160,123711,6439460,16807880,1994,NA
geauga,1752,67120,6301040,39625810,1994,NA
greene,4256,186679,36495080,111442550,1994,NA
guernsey,3052,129266,13020540,22217230,1994,update
hamilton,1099,28120,5818040,68839130,1994,NA
hancock,5637,300023,44569670,145109050,1994,NA
hardin,5149,281492,46604750,90542810,1994,NA
harrison,1491,92046,4925640,12826780,1994,NA
henry,5251,247110,51454100,143225020,1994,NA
highland,6590,286595,31702030,66745150,1994,reappraisal
hocking,442,38880,2318480,9368750,1994,NA
holmes,5413,203944,14988260,78536390,1994,NA
huron,8077,273433,33627690,115616630,1994,reappraisal
jackson,1590,61486,3186080,8785760,1994,NA
jefferson,1035,55266,2188850,7213770,1994,reappraisal
knox,4911,244988,22100150,67007330,1994,NA
lake,1101,19956,3936260,24887040,1994,reappraisal
lawrence,3850,103235,4363950,13397640,1994,NA
licking,4554,248392,30513380,113032470,1994,NA
logan,4231,249374,23654400,74157650,1994,NA
lorain,4410,150403,18036600,87244710,1994,reappraisal
lucas,2820,72762,17319520,89702640,1994,reappraisal
madison,2586,271630,49741130,92799740,1994,NA
mahoning,2943,99747,7481380,39825830,1994,NA
marion,4677,220266,29303190,76897660,1994,NA
medina,4424,140396,14778370,81701840,1994,NA
meigs,1596,59023,2643280,7435160,1994,NA
mercer,4784,270099,47449110,158960560,1994,NA
miami,4030,208675,29591440,107893850,1994,NA
monroe,2150,129047,5053970,11970060,1994,NA
montgomery,3071,120930,27620030,99198040,1994,NA
morgan,3583,118865,6564070,15582980,1994,reappraisal
morrow,3313,210903,28781230,57232600,1994,NA
muskingum,3994,186646,11893830,37965010,1994,reappraisal
noble,2056,81738,4050610,8999790,1994,NA
ottawa,2782,111771,21497640,58212110,1994,reappraisal
paulding,3877,246924,22925330,79986750,1994,NA
perry,1325,87458,6566340,18384700,1994,NA
pickaway,5260,282243,48570700,103686630,1994,NA
pike,3660,156819,10878870,21625360,1994,NA
portage,3088,117369,10179460,60746980,1994,reappraisal
preble,3889,232624,39021980,106924610,1994,NA
putnam,8500,291393,49361800,159812540,1994,NA
richland,5677,225956,23557380,70943420,1994,NA
ross,3669,310329,23251200,62262710,1994,NA
sandusky,4869,221455,35756860,75270840,1994,update
scioto,4161,154734,7088540,25812570,1994,NA
seneca,6387,323201,50669060,124045420,1994,NA
shelby,5438,231190,38874490,109366540,1994,NA
stark,3999,145497,21665770,80521840,1994,reappraisal
summit,539,18764,3523960,23147800,1994,NA
trumbull,2880,132346,7877710,35295310,1994,NA
tuscarawas,7565,231692,13466910,59435740,1994,NA
union,4927,244052,30902700,103872950,1994,NA
van wert,4589,247592,48494670,137892040,1994,NA
vinton,468,44951,1450710,4144810,1994,update
warren,3326,157473,26585540,145022660,1994,reappraisal
washington,4869,146631,6340670,16712210,1994,NA
wayne,6226,264393,33267640,106852350,1994,NA
williams,4347,238341,33543480,69048450,1994,reappraisal
wood,9065,336946,69843660,189721220,1994,NA
wyandot,5257,235411,24854960,102127980,1994,NA
adams,4029,251356,15331820,49691020,1995,update
allen,4430,203302,38853890,96038790,1995,NA
ashland,3550,211912,20333120,63587030,1995,NA
ashtabula,3706,189416,10470570,47643710,1995,NA
athens,1749,80654,4373720,11605850,1995,NA
auglaize,4677,226734,36337980,101121280,1995,NA
belmont,1420,72323,3778460,8512750,1995,NA
brown,3749,248864,24739920,71678210,1995,NA
butler,3546,163062,26394110,125687180,1995,NA
carroll,2958,136919,9108250,31800280,1995,reappraisal
champaign,4722,240268,35446790,94835680,1995,reappraisal
clark,4e3,184182,30938840,85874420,1995,reappraisal
clermont,3409,143584,17479e3,78327e3,1995,NA
clinton,3302,226970,37290730,92185620,1995,NA
columbiana,3456,148340,12555330,51059610,1995,update
coshocton,4048,192936,11998740,43362020,1995,NA
crawford,5562,231074,29429140,99635930,1995,NA
cuyahoga,140,1874,641460,5049130,1995,NA
darke,6714,350055,65950620,155855140,1995,NA
defiance,4625,233894,35630590,75027410,1995,NA
delaware,4956,186159,30826820,155959760,1995,NA
erie,2330,98140,15721400,57683300,1995,NA
fairfield,4430,222882,31797440,140269060,1995,reappraisal
fayette,3572,239998,46327450,88402260,1995,NA
franklin,2234,99299,24834890,133031660,1995,NA
fulton,4895,232264,39320560,132788750,1995,NA
gallia,3152,123196,6341150,16766540,1995,NA
geauga,1817,67618,6524940,40112970,1995,NA
greene,4270,185145,36188350,110041560,1995,NA
guernsey,3209,129093,13214140,22863900,1995,NA
hamilton,1160,28801,6012990,69479100,1995,NA
hancock,5676,299309,51438440,144739110,1995,update
hardin,5147,281387,46765870,90033300,1995,NA
harrison,1537,98547,5254330,13728430,1995,NA
henry,5288,246917,51350580,143684e3,1995,NA
highland,6717,288170,31923380,67217290,1995,NA
hocking,469,39955,2766040,9728630,1995,update
holmes,5470,204606,18660860,88772060,1995,update
huron,8229,274029,33786740,115997020,1995,NA
jackson,1536,60402,3336490,9204630,1995,NA
jefferson,1109,59769,2383960,7816940,1995,NA
knox,4939,245089,22177340,67176680,1995,NA
lake,1117,20346,4036880,25294750,1995,NA
lawrence,3903,104227,4572950,14538830,1995,update
licking,4669,251753,30588160,116404340,1995,NA
logan,4271,248815,29587060,78792800,1995,reappraisal
lorain,4460,150890,18197650,87588400,1995,NA
lucas,2878,73224,17484070,91816760,1995,NA
madison,2639,271486,49662490,93120660,1995,NA
mahoning,3080,101883,7720020,41134480,1995,NA
marion,4653,216897,33950040,80652880,1995,reappraisal
medina,4579,143543,24769650,145971450,1995,reappraisal
meigs,1685,61892,2759420,7781810,1995,update
mercer,4819,269844,47326750,209224290,1995,NA
miami,4083,209768,36380300,125222330,1995,reappraisal
monroe,2227,131491,5541920,14041710,1995,update
montgomery,3026,117874,27031990,93425770,1995,NA
morgan,3657,121307,6663930,15755760,1995,NA
morrow,3344,210090,28621270,57162990,1995,NA
muskingum,4083,188397,11954760,38279270,1995,NA
noble,2098,83358,4113250,9169670,1995,NA
ottawa,2963,113167,21792450,58987610,1995,NA
paulding,3892,246591,27223430,79968170,1995,update
perry,1370,90609,6776100,18796040,1995,NA
pickaway,5288,281859,48651060,103819100,1995,NA
pike,3793,162078,11232970,22278820,1995,NA
portage,3189,118459,10438470,61501660,1995,NA
preble,3961,233502,39127050,107354690,1995,NA
putnam,8570,291042,49245950,159568420,1995,NA
richland,5704,224947,23539130,70747310,1995,NA
ross,3708,309245,28135300,67402390,1995,reappraisal
sandusky,4855,220125,38956060,88401200,1995,NA
scioto,4279,156121,8148960,26606630,1995,update
seneca,6398,322650,50503770,123968280,1995,NA
shelby,5417,230727,38763350,109054450,1995,NA
stark,4188,148496,22131730,81054820,1995,NA
summit,593,19362,3847560,23875090,1995,NA
trumbull,2966,133746,7983430,35774530,1995,NA
tuscarawas,7394,229742,15105120,68058050,1995,update
union,5001,243538,39507050,118902780,1995,reappraisal
van wert,4618,247248,48294310,137581600,1995,NA
vinton,528,48534,1602760,4574170,1995,NA
warren,3326,155105,26492850,142925500,1995,NA
washington,4468,139843,7101670,19144280,1995,update
wayne,6202,264964,33561680,107328670,1995,NA
williams,4353,237338,33480390,68922590,1995,NA
wood,9162,336285,69702160,189451740,1995,NA
wyandot,5277,235501,30404230,119724560,1995,reappraisal
adams,4096,251506,14992750,49394670,1996,NA
allen,4455,203361,38864650,96055960,1996,NA
ashland,3708,212236,17616560,84148080,1996,reappraisal
ashtabula,3788,190644,8598890,53913330,1996,reappraisal
athens,1814,85919,5016430,14083410,1996,reappraisal
auglaize,4680,226044,28707160,105708490,1996,update
belmont,1502,75460,3977220,8916320,1996,NA
brown,3842,249523,24876600,71961060,1996,NA
butler,3625,162185,24367950,166888130,1996,reappraisal
carroll,3130,144618,9559120,33526210,1996,NA
champaign,4764,239334,35318740,94519530,1996,NA
clark,3999,183042,31330160,85177580,1996,NA
clermont,3464,141366,16663640,95222530,1996,reappraisal
clinton,3359,226450,29428100,92161160,1996,update
columbiana,3515,150354,12787950,51412110,1996,NA
coshocton,4126,195105,12238540,43905980,1996,NA
crawford,5605,230963,29158340,99377090,1996,NA
cuyahoga,152,1984,688240,5322e3,1996,NA
darke,6751,349318,54137700,184122880,1996,update
defiance,4711,233506,28747660,86410950,1996,update
delaware,4985,183864,25342140,191327070,1996,update
erie,2416,98539,16212320,57921420,1996,NA
fairfield,4526,224199,31859070,140138470,1996,NA
fayette,3575,239977,46277880,88344200,1996,NA
franklin,2161,96889,22044670,133996030,1996,update
fulton,4931,231241,32725040,147754160,1996,reappraisal
gallia,3245,125054,7177620,19130300,1996,update
geauga,1880,68526,6503540,43706880,1996,update
greene,4276,184118,33660920,117312450,1996,reappraisal
guernsey,3241,126514,13316370,23015220,1996,NA
hamilton,1197,29577,5923340,76525930,1996,update
hancock,5687,298286,51128510,144173550,1996,NA
hardin,5151,281288,37129410,111151880,1996,update
harrison,1625,103408,4896290,16004880,1996,update
henry,5318,246717,42216940,157438310,1996,update
highland,6768,287252,31951510,67243460,1996,NA
hocking,495,40646,2744710,9852990,1996,NA
holmes,5601,204011,18706060,88667190,1996,NA
huron,8188,271837,33569250,114950190,1996,NA
jackson,1612,62526,3197820,10382310,1996,update
jefferson,1197,63945,2611960,8456830,1996,NA
knox,5044,245984,21205970,93525170,1996,reappraisal
lake,1121,20437,4069880,25240490,1996,NA
lawrence,3995,105948,4656200,14756270,1996,NA
licking,4775,252888,26261970,140042180,1996,update
logan,4294,248724,29670780,78804160,1996,NA
lorain,4510,150500,18462540,87949370,1996,NA
lucas,2859,72265,17523580,89059050,1996,NA
madison,2696,27e4,41010190,121975890,1996,reappraisal
mahoning,3208,103713,7131300,45903870,1996,update
marion,4665,217054,33966330,80661300,1996,NA
medina,4955,143202,25927180,149404190,1996,NA
meigs,1759,63449,2828050,7953720,1996,NA
mercer,4338,269602,38430430,252802090,1996,update
miami,4139,208048,36572450,125042850,1996,NA
monroe,2332,135330,5756890,14477670,1996,NA
montgomery,3115,119366,24029030,114318460,1996,reappraisal
morgan,3700,120847,6734220,15765090,1996,NA
morrow,3119,206423,17827800,64496100,1996,update
muskingum,4174,190545,12063410,38864030,1996,NA
noble,2113,83993,4422690,14444980,1996,reappraisal
ottawa,2913,112012,21446640,57931100,1996,NA
paulding,3914,246406,27159430,79926650,1996,NA
perry,1431,94328,5996460,21860360,1996,update
pickaway,5290,280271,40422810,121815320,1996,update
pike,3894,164085,11521590,23991220,1996,update
portage,3224,118146,10446300,61365150,1996,NA
preble,4025,233673,32231130,122085860,1996,update
putnam,8617,290867,39486390,174421730,1996,update
richland,5694,223762,20957300,85175580,1996,update
ross,3813,310211,28268690,67782800,1996,NA
sandusky,4839,219459,38863710,88051350,1996,NA
scioto,4489,162415,8484370,27710230,1996,NA
seneca,6410,322309,39481320,129965880,1996,update
shelby,5472,230200,31998840,119643690,1996,update
stark,4189,149939,22197430,80813090,1996,NA
summit,623,19586,4084900,30051640,1996,reappraisal
trumbull,3033,133507,7813240,39296070,1996,update
tuscarawas,7568,233997,15474110,69567970,1996,NA
union,4984,242707,39527280,118781800,1996,NA
van wert,4662,247218,38754830,154051640,1996,update
vinton,535,48819,1605110,4612080,1996,NA
warren,3299,151843,26341620,138517290,1996,NA
washington,5003,155977,7953070,21403180,1996,NA
wayne,6228,264916,28457740,135930110,1996,reappraisal
williams,4374,236495,33333620,68794520,1996,NA
wood,9216,335153,56685370,190800730,1996,update
wyandot,5290,235355,30343410,119713600,1996,NA
adams,4182,252412,15042480,49636540,1997,NA
allen,4480,202645,38039710,119326550,1997,reappraisal
ashland,3838,212521,17923820,84863400,1997,NA
ashtabula,3867,190786,8624680,54082260,1997,NA
athens,1844,87047,5111800,14206700,1997,NA
auglaize,4693,225398,28587330,105373300,1997,NA
belmont,1550,79069,4176260,10357850,1997,update
brown,3914,248658,26153890,84918930,1997,update
butler,3631,160117,24118080,162958980,1997,NA
carroll,3202,146435,9754790,34130180,1997,NA
champaign,4851,239055,35477290,94620130,1997,NA
clark,3964,181813,31088100,84582590,1997,NA
clermont,3616,142115,17217320,96632150,1997,NA
clinton,3400,225841,29410790,92047390,1997,NA
columbiana,3455,150188,12561830,51104780,1997,NA
coshocton,4183,197753,13542860,66395910,1997,reappraisal
crawford,5621,231057,29168910,109728790,1997,update
cuyahoga,173,2337,851970,7130040,1997,update
darke,6884,349166,54116570,184259500,1997,NA
defiance,4672,232831,28695110,86144280,1997,NA
delaware,5173,182344,25126060,191593850,1997,NA
erie,2418,98446,17671960,65254260,1997,update
fairfield,4622,223913,31787430,139888740,1997,NA
fayette,3598,239863,45556560,114446830,1997,update
franklin,2195,95563,22550390,131279310,1997,NA
fulton,4973,230887,32797580,147733180,1997,NA
gallia,3368,128189,7353280,19524620,1997,NA
geauga,1926,67703,6607430,43690350,1997,NA
greene,4264,182911,32941870,115550910,1997,NA
guernsey,3301,124135,13431620,27913580,1997,reappraisal
hamilton,1219,29811,6270580,78127600,1997,NA
hancock,5734,298141,51107950,144087980,1997,NA
hardin,5169,280690,37023950,110995860,1997,NA
harrison,1688,106159,5027430,16440360,1997,NA
henry,5368,246407,42036270,157191480,1997,NA
highland,6843,286290,31851830,83610360,1997,update
hocking,511,41252,2797240,10050960,1997,NA
holmes,5700,203135,18720540,88389590,1997,NA
huron,8389,273770,33868010,120757010,1997,update
jackson,1701,65867,3387620,10895180,1997,NA
jefferson,1277,66998,2758400,9762360,1997,update
knox,5361,249503,21677810,95188200,1997,NA
lake,1102,20191,4384190,27504700,1997,update
lawrence,4039,107403,4691150,14898620,1997,NA
licking,4891,254440,26473700,143545810,1997,NA
logan,4333,247078,29516390,78326310,1997,NA
lorain,4547,150570,20220080,100824710,1997,update
lucas,2845,71031,17532960,102566930,1997,update
madison,2745,269391,40942600,122050920,1997,NA
mahoning,3255,103970,7231420,46266320,1997,NA
marion,4638,216317,33757080,80371730,1997,NA
medina,5043,145062,27334270,153228010,1997,NA
meigs,1813,65087,2910320,8148690,1997,NA
mercer,4860,269314,38324450,258186360,1997,NA
miami,4191,207719,36604730,125518900,1997,NA
monroe,2413,138764,5931310,14862070,1997,NA
montgomery,3093,118450,24535750,112222340,1997,NA
morgan,3920,126599,7142370,17345180,1997,update
morrow,3294,207586,18257530,65259160,1997,NA
muskingum,4198,192579,12347880,43795290,1997,update
noble,2255,87994,4639230,15137420,1997,NA
ottawa,2938,112630,22351660,65478430,1997,update
paulding,3948,246290,27097310,79857950,1997,NA
perry,1465,95581,6081900,22140830,1997,NA
pickaway,5282,279138,40284520,121230050,1997,NA
pike,3910,164310,11530570,24043860,1997,NA
portage,3279,117641,10735800,67385110,1997,update
preble,4096,233810,32272890,122303740,1997,NA
putnam,8632,290149,39294920,173924400,1997,NA
richland,5695,222035,20804130,84450300,1997,NA
ross,3895,310131,28241100,67960040,1997,NA
sandusky,4861,219832,39932410,116009950,1997,reappraisal
scioto,4667,165019,8897260,28577350,1997,NA
seneca,6423,322282,39443840,130017520,1997,NA
shelby,5520,230005,31999980,118655980,1997,NA
stark,4514,152057,23965680,115351910,1997,update
summit,736,19927,4420430,31816830,1997,NA
trumbull,3032,134555,7971360,39585230,1997,NA
tuscarawas,7630,235603,15656800,70104480,1997,NA
union,5156,242082,39336980,117864390,1997,NA
van wert,4687,246958,38624320,153799770,1997,NA
vinton,571,50232,1665860,6232800,1997,reappraisal
warren,3278,148450,26544930,169485360,1997,update
washington,5131,157784,8038420,21534350,1997,NA
wayne,6269,264804,29083320,135539300,1997,NA
williams,4436,236218,33424770,82694680,1997,update
wood,9296,333942,56508300,190177810,1997,NA
wyandot,5336,235284,30305390,119499650,1997,NA
adams,4265,251783,18414500,64994890,1998,reappraisal
allen,4530,202564,37998150,119462350,1998,NA
ashland,3910,212893,18061670,85398640,1998,NA
ashtabula,3954,191150,8634650,54396180,1998,NA
athens,1969,89134,4999870,14551090,1998,NA
auglaize,4714,225041,28436730,105190390,1998,NA
belmont,1627,81980,4332910,10724040,1998,NA
brown,4067,249547,26296650,85529690,1998,NA
butler,3657,158399,24557460,159088380,1998,NA
carroll,3263,146783,12289990,43231330,1998,update
