id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
ALEXANDRIASIL2-6MW,ALEXANDRIA,SIL,2-6,M,W,68,indx_69,790,230,2017
ALEXANDRIASIL2-6SW,ALEXANDRIA,SIL,2-6,S,W,70,indx_79,1080,230,2017
ALEXANDRIASIL6-12MW,ALEXANDRIA,SIL,6-12,M,W,65,indx_69,640,230,2017
ALEXANDRIASIL6-12SW,ALEXANDRIA,SIL,6-12,S,W,66,indx_69,790,230,2017
ALEXANDRIASIL6-18SW,ALEXANDRIA,SIL,6-18,S,W,65,indx_69,610,230,2017
ALFORDSIL0-2SW,ALFORD,SIL,0-2,S,W,81,indx_89,2770,1770,2017
ALFORDSIL10-25SW,ALFORD,SIL,10-25,S,W,55,indx_59,350,230,2017
ALFORDSIL15-25SW,ALFORD,SIL,15-25,S,W,47,indx_49,350,230,2017
ALFORDSIL1-8SW,ALFORD,SIL,1-8,S,W,77,indx_79,2540,1540,2017
ALFORDSIL2-6SW,ALFORD,SIL,2-6,S,W,77,indx_79,2540,1540,2017
ALFORDSIL2-8SW,ALFORD,SIL,2-8,S,W,77,indx_79,2540,1540,2017
ALFORDSIL6-12MW,ALFORD,SIL,6-12,M,W,68,indx_69,1700,700,2017
ALFORDSIL6-12SW,ALFORD,SIL,6-12,S,W,75,indx_79,2240,1240,2017
ALFORDSIL6-15MW,ALFORD,SIL,6-15,M,W,67,indx_69,1620,620,2017
ALFORDSIL8-15MW,ALFORD,SIL,8-15,M,W,64,indx_69,1250,250,2017
ALFORDSIL8-15SW,ALFORD,SIL,8-15,S,W,65,indx_69,1510,510,2017
"ALFORD,T-SUBSTSIL1-4SW","ALFORD,T-SUBST",SIL,1-4,S,W,77,indx_79,2540,1540,2017
"ALGANSEE,OF-PHFS0-2SSWP","ALGANSEE,OF-PH",FS,0-2,S,SWP,77,indx_79,2320,520,2017
"ALGIERS,FF-PHSIL0-2SSWP","ALGIERS,FF-PH",SIL,0-2,S,SWP,65,indx_69,1460,230,2017
"ALGIERS,OF-PHSIL0-2SSWP","ALGIERS,OF-PH",SIL,0-2,S,SWP,74,indx_79,2120,320,2017
ALGIERSSICL0-2SSWP,ALGIERS,SICL,0-2,S,SWP,71,indx_79,2090,290,2017
ALGIERSSIL0-2SSWP,ALGIERS,SIL,0-2,S,SWP,74,indx_79,2120,320,2017
ALLEGHENYL15-25SW,ALLEGHENY,L,15-25,S,W,55,indx_59,350,230,2017
ALLEGHENYL2-6SW,ALLEGHENY,L,2-6,S,W,72,indx_79,1390,390,2017
ALLEGHENYL3-8SW,ALLEGHENY,L,3-8,S,W,70,indx_79,1200,230,2017
