county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
geauga,1288798,8652403,489617,10430819,2007
greene,3625977,10068151,601806,14295934,2007
guernsey,1009033,4516035,333784,5858852,2007
hamilton,30126841,86869967,4938012,121934820,2007
hancock,3461975,2945748,216870,6624593,2007
hardin,234303,1276704,132715,1643722,2007
harrison,265998,1629939,35090,1931027,2007
henry,154497,1536603,101095,1792194,2007
highland,280322,2151445,222865,2654632,2007
hocking,308947,2433744,18751,2761441,2007
holmes,137638,1171281,4418,1313337,2007
huron,1132411,2487392,93895,3713699,2007
jackson,1743939,3042007,68165,4854111,2007
jefferson,2651862,7635512,3409342,13696716,2007
knox,409182,2822749,249636,3481567,2007
lake,11183585,21067777,1808191,34059553,2007
lawrence,119809,5363897,664229,6147935,2007
licking,1700475,9206586,614636,11521696,2007
logan,430544,3327774,435245,4193562,2007
lorain,11170011,24542714,1483270,37195995,2007
lucas,19384516,43188681,6496677,69069874,2007
madison,200185,2234655,89835,2524675,2007
mahoning,11720257,20999759,1159964,33879979,2007
marion,562281,3980120,433351,4975752,2007
medina,4639077,13534788,479255,18653120,2007
meigs,85571,1380503,15830,1481904,2007
mercer,514371,1098360,41201,1653932,2007
miami,3551384,3310100,113410,6974893,2007
monroe,1447468,520679,20691,1988837,2007
montgomery,12331902,57514203,15991228,85837333,2007
morgan,0,1217340,21909,1239249,2007
morrow,658268,3297621,177900,4133789,2007
muskingum,1846087,9232064,1466318,12544469,2007
noble,123949,1522926,3482,1650357,2007
ottawa,1340536,4754858,387968,6483362,2007
paulding,87480,1080969,72513,1240962,2007
perry,1000032,5146802,355689,6502524,2007
pickaway,371759,4298715,134718,4805192,2007
pike,1266106,2915599,2592,4184297,2007
portage,4677317,11478928,514055,16670300,2007
preble,750904,2286707,326075,3363685,2007
putnam,399685,745310,86835,1231830,2007
richland,1875600,14807406,2877156,19560162,2007
ross,1442011,2969106,91354,4502471,2007
sandusky,1514531,3644274,179418,5338223,2007
scioto,1109141,5363888,1077894,7550922,2007
seneca,103216,2370199,122545,2595960,2007
shelby,374707,1260829,89362,1724898,2007
stark,8820331,24895388,6585439,40301158,2007
summit,12460419,50952044,8779288,72191751,2007
trumbull,25930843,20310184,1595514,47836541,2007
tuscarawas,1535614,4483728,183953,6203295,2007
union,1136250,4950820,131026,6218095,2007
van wert,731626,957240,65541,1754407,2007
vinton,206810,1604531,12916,1824257,2007
warren,4182158,13129783,525707,17837648,2007
washington,561608,2359847,65742,2987198,2007
wayne,1771372,7645595,243797,9660764,2007
williams,939767,1775754,95556,2811077,2007
wood,3730635,6837987,523988,11092610,2007
wyandot,434750,793039,5930,1233719,2007
adams,229950,1649203,8473,1887625,2008
allen,6591927,6284237,4045029,16921192,2008
ashland,1016627,2880512,15777,3912916,2008
ashtabula,562464,9371333,2480770,12414568,2008
athens,229242,5349943,329757,5908942,2008
auglaize,295206,1207913,92949,1596068,2008
belmont,775771,6345178,926193,8047142,2008
brown,178509,2727838,492369,3398715,2008
butler,8068238,30763435,2212496,41044169,2008
carroll,245986,1434431,85439,1765855,2008
champaign,1051654,2390050,214786,3656490,2008
clark,0,14411448,1917048,16328496,2008
clermont,2369674,10713690,574722,13658086,2008
clinton,2185845,3008481,84867,5279192,2008
columbiana,3021609,9121638,636594,12779840,2008
coshocton,408030,2879280,45865,3333175,2008
crawford,780905,1964146,44838,2789888,2008
cuyahoga,115714782,293762418,39717316,449194515,2008
darke,455452,1639505,44403,2139360,2008
defiance,123728,1344196,116668,1584591,2008
delaware,2667419,11825703,381595,14874717,2008
erie,3567180,9272434,2197915,15037530,2008
fairfield,1352348,11149821,612680,13114849,2008
fayette,664664,1695424,125324,2485412,2008
franklin,59561341,128570848,4477021,192609210,2008
fulton,432068,1979561,78550,2490179,2008
gallia,472668,1843683,153989,2470340,2008
geauga,1171159,9850402,526058,11547619,2008
greene,3645440,9803006,586040,14034486,2008
guernsey,1071011,5133014,367700,6571725,2008
hamilton,31801846,93383243,4912597,130097686,2008
hancock,3424816,3486458,263586,7174860,2008
hardin,242128,1281067,149575,1672770,2008
harrison,101600,2025353,41713,2168665,2008
henry,207121,1924793,134701,2266615,2008
highland,271575,2457417,294704,3023696,2008
hocking,248760,2915646,37311,3201717,2008
holmes,140245,1174709,22389,1337343,2008
huron,756918,2794281,89823,3641022,2008
jackson,2557487,3281335,49499,5888321,2008
jefferson,2696269,8229430,3765866,14691566,2008
knox,349098,2823954,212231,3385284,2008
lake,12547071,19769899,2002935,34319906,2008
lawrence,123908,5564674,691501,6380083,2008
licking,1319995,10462311,596239,12378544,2008
logan,437385,4779935,489010,5706330,2008
lorain,4961327,25668594,1282256,31912176,2008
lucas,21222143,47265439,7255210,75742792,2008
madison,164258,2091154,123109,2378521,2008
mahoning,11404593,26057050,823185,38284828,2008
marion,836822,4534972,613684,5985478,2008
medina,3985380,14321669,480110,18787158,2008
meigs,72639,4351030,195786,4619455,2008
mercer,338618,1167984,126989,1633590,2008
miami,2326815,3619064,158866,6104745,2008
monroe,123694,591152,30991,745837,2008
montgomery,11193727,64586065,19076184,94855976,2008
morgan,0,1290923,16199,1307122,2008
morrow,811268,3611122,201736,4624125,2008
muskingum,2179875,9939351,1338624,13457851,2008
noble,81860,1620917,3351,1706128,2008
ottawa,1413252,5208831,446620,7068702,2008
paulding,45004,1117434,74149,1236587,2008
perry,2181868,5838312,414891,8435070,2008
pickaway,365743,3941413,159399,4466556,2008
pike,233346,3232002,16704,3482052,2008
portage,4778293,12391005,691682,17860979,2008
preble,678759,2347480,287265,3313504,2008
putnam,431871,798241,93512,1323624,2008
richland,1871969,15419199,3207883,20499050,2008
ross,1236279,3212749,103281,4552310,2008
sandusky,996482,4097540,246998,5341020,2008
scioto,1035950,6460384,1238279,8734613,2008
seneca,116572,2434570,147892,2699034,2008
shelby,425695,1467834,79074,1972603,2008
stark,9786625,30107260,7363022,47256906,2008
summit,8901948,54795738,10936266,74633951,2008
trumbull,24244731,23204757,2093784,49543273,2008
tuscarawas,1549571,5120606,210918,6881095,2008
union,520384,2898145,121133,3539661,2008
van wert,678040,917898,101689,1697627,2008
vinton,204498,1588617,14166,1807281,2008
warren,3504742,12360459,433973,16299175,2008
washington,1816635,2839219,49478,4705332,2008
wayne,1418110,10385167,252024,12055301,2008
williams,489946,2085185,115102,2690234,2008
wood,5179961,7414884,515158,13110002,2008
wyandot,326446,723653,6147,1056245,2008
adams,66313,2461516,10494,2538323,2009
allen,4020738,6620231,4419824,15060793,2009
ashland,888753,3367984,44371,4301109,2009
ashtabula,321776,10111001,2883515,13316293,2009
athens,238183,5963942,504512,6706637,2009
auglaize,208324,1492124,134711,1835159,2009
belmont,547964,6992853,1088853,8629670,2009
brown,143511,3165585,505186,3814282,2009
butler,5507910,31705951,3830361,41044222,2009
carroll,173056,1606283,126423,1905762,2009
champaign,1081482,3003822,253790,4339095,2009
clark,0,14094483,2208515,16302998,2009
clermont,1837100,12458952,686400,14982452,2009
clinton,945242,3436944,101828,4484014,2009
columbiana,2855536,10490868,1081248,14427653,2009
coshocton,213390,3303649,49676,3566714,2009
crawford,835216,2199911,53882,3089008,2009
cuyahoga,105400392,345116901,48834468,499351761,2009
darke,363110,1917038,64107,2344255,2009
defiance,160135,1471430,113445,1745010,2009
delaware,2802161,15030064,580486,18412712,2009
erie,4622918,10242279,2704111,17569309,2009
fairfield,1111269,12232493,619037,13962799,2009
fayette,621877,1939307,134788,2695971,2009
franklin,39277888,149253751,8423425,196955063,2009
fulton,364904,2167592,78905,2611401,2009
gallia,368276,2012327,90371,2470974,2009
geauga,563391,11213426,569677,12346493,2009
greene,3291236,11769095,702003,15762333,2009
guernsey,1234318,5702575,484229,7421123,2009
hamilton,20366641,100714908,7414629,128496177,2009
hancock,1380977,4082568,314681,5778226,2009
hardin,200254,1540574,215263,1956090,2009
harrison,179421,2354334,57334,2591089,2009
henry,167249,2272142,144302,2583693,2009
highland,229511,2654346,363167,3247024,2009
hocking,226004,3067848,47023,3340875,2009
holmes,139834,1169174,59335,1368343,2009
huron,567189,3357981,112797,4037966,2009
jackson,2331044,3664133,51796,6046973,2009
jefferson,2784070,9138905,4140020,16062995,2009
knox,303748,3136612,258416,3698776,2009
lake,11191474,22379069,2399434,35969977,2009
lawrence,127298,5580040,734300,6441639,2009
licking,1480700,8935817,594202,11010719,2009
logan,419463,3981743,520230,4921437,2009
lorain,4448984,29003945,1381664,34834592,2009
lucas,15402709,61769267,8651144,85823120,2009
madison,84465,2100789,131100,2316354,2009
mahoning,10951367,33782138,659724,45393230,2009
marion,677666,5201200,789784,6668649,2009
medina,3253574,14871334,514269,18639177,2009
meigs,76498,4848408,413247,5338154,2009
mercer,301196,1189805,181961,1672962,2009
miami,1458629,4038720,394865,5892213,2009
monroe,175110,789467,66782,1031359,2009
montgomery,6208519,82228752,23058305,111495576,2009
morgan,0,1392142,28597,1420739,2009
morrow,996599,4199050,207225,5402874,2009
muskingum,2268244,11940559,1675590,15884392,2009
noble,13114,1884398,24458,1921970,2009
ottawa,1551375,5410921,504012,7466308,2009
paulding,0,1081823,85509,1167332,2009
perry,990394,6029598,134935,7154928,2009
pickaway,257866,4240822,126007,4624695,2009
pike,168481,3535638,16779,3720898,2009
portage,4721678,14519816,856320,20097814,2009
preble,717648,2860297,394345,3972290,2009
putnam,470223,957508,88266,1515997,2009
richland,1532972,16064257,2745997,20343226,2009
ross,1019985,3570654,169296,4759935,2009
sandusky,872378,4553274,292355,5718008,2009
scioto,947273,7486348,1384365,9817986,2009
seneca,53338,3076350,253179,3382868,2009
shelby,785227,1506175,99875,2391277,2009
stark,2197854,33564763,8323786,44086404,2009
summit,3320253,66001602,13672259,82994114,2009
trumbull,23609807,27593341,2405437,53608585,2009
tuscarawas,1216642,5886698,281939,7385279,2009
union,529261,3289165,244120,4062546,2009
van wert,304064,956512,239247,1499823,2009
vinton,194439,1707787,12962,1915189,2009
warren,1847294,17434734,595512,19877540,2009
washington,1133931,2881596,92228,4107755,2009
wayne,1243385,8609368,296584,10149337,2009
williams,179768,2412726,103364,2695857,2009
wood,5014273,9123153,1161817,15299242,2009
wyandot,399511,998415,13274,1411200,2009
adams,42159,3286597,11958,3340714,2010
allen,3480019,8415553,4764289,16659862,2010
ashland,888055,3796612,169385,4854051,2010
ashtabula,313905,12216186,3350879,15880969,2010
athens,223572,6461569,435640,7120781,2010
auglaize,201133,1436750,131368,1769251,2010
belmont,447554,7204007,1147553,8799113,2010
brown,45172,3658122,553977,4257272,2010
butler,5178994,33079852,3933883,42192729,2010
carroll,51974,1649084,166799,1867857,2010
champaign,601345,3516965,143036,4261347,2010
clark,2665130,15246786,2281338,20193254,2010
clermont,1922197,15576197,752766,18251160,2010
clinton,874228,3956237,177497,5007962,2010
columbiana,2783950,10712321,1601584,15097854,2010
coshocton,250312,3831292,64485,4146089,2010
crawford,390734,2436357,60810,2887900,2010
cuyahoga,76652499,412598576,59040947,548292022,2010
darke,58167,1895272,100224,2053662,2010
defiance,142552,1533307,121884,1797743,2010
delaware,1657189,15481185,941186,18079560,2010
erie,4103082,11276751,3365215,18745048,2010
fairfield,927835,13746563,857510,15531908,2010
fayette,657240,1641649,166215,2465104,2010
franklin,39373212,133932077,9945565,183250854,2010
fulton,361816,2400582,94757,2857156,2010
gallia,270644,2570127,105047,2945818,2010
geauga,374080,11609489,655768,12639336,2010
greene,1798470,12934218,674843,15407531,2010
guernsey,1029627,6394648,579943,8004218,2010
hamilton,18674750,121051441,12161963,151888154,2010
hancock,1313520,3711977,379022,5404518,2010
hardin,124557,1528774,345859,1999190,2010
harrison,99809,2902185,62525,3064520,2010
henry,113293,2264636,88062,2465991,2010
highland,205334,3442627,523167,4171128,2010
hocking,122515,3463557,59600,3645672,2010
holmes,31892,1390510,29255,1451657,2010
huron,510570,3632542,165584,4308695,2010
jackson,766975,3582471,38344,4387791,2010
jefferson,2869988,9660907,4367604,16898499,2010
knox,303234,2986974,266572,3556780,2010
lake,10796467,26445944,3025698,40268108,2010
lawrence,126628,5957576,793752,6877956,2010
licking,1043531,9686507,780171,11510209,2010
logan,414641,4528028,583275,5525944,2010
lorain,1855337,22471088,1586538,25912963,2010
lucas,13385952,69091762,10997512,93475226,2010
madison,739635,1928336,132180,2800151,2010
mahoning,10605336,37879411,910044,49394792,2010
marion,391279,5893163,975656,7260097,2010
medina,2541500,16097642,512377,19151519,2010
meigs,60113,5105737,355806,5521656,2010
mercer,255474,1384567,276624,1916665,2010
miami,983441,4573788,724385,6281614,2010
monroe,143319,731020,67652,941991,2010
montgomery,6194005,98853413,27977009,133024427,2010
morgan,0,1436067,38028,1474095,2010
morrow,929247,4826125,238648,5994020,2010
muskingum,2167280,14255349,2118424,18541053,2010
noble,13724,1864501,22402,1900627,2010
ottawa,1555237,5083902,525241,7164380,2010
paulding,50206,1092742,124025,1266972,2010
perry,965856,7649491,139307,8754654,2010
pickaway,230624,4317937,124629,4673191,2010
pike,162454,3814857,15162,3992472,2010
portage,4757633,15843919,1164476,21766028,2010
preble,698806,2734133,328417,3761356,2010
putnam,359759,976470,103827,1440056,2010
richland,665392,16455174,2723650,19844216,2010
ross,933500,3608525,188483,4730508,2010
sandusky,832555,4620142,452948,5905644,2010
scioto,863333,8515693,1583163,10962189,2010
seneca,322143,2880827,310188,3513158,2010
shelby,611811,1941515,127569,2680895,2010
stark,1523248,24076529,8427453,34027229,2010
summit,4253606,79830555,17389816,101473978,2010
trumbull,22990547,31767019,2674993,57432560,2010
tuscarawas,1133855,6829623,348592,8312070,2010
union,316009,3909732,358469,4584211,2010
van wert,312400,920252,147898,1380550,2010
vinton,190121,1904164,10121,2104406,2010
warren,1554549,22385618,761709,24701876,2010
washington,539182,3087460,124087,3750728,2010
wayne,666637,6888023,316878,7871538,2010
williams,155902,2525990,117168,2799060,2010
wood,1369339,8824012,1590830,11784181,2010
wyandot,383474,975993,12756,1372223,2010
adams,NA,2409181,21456,2430637,2011
allen,NA,7346155,6115346,13461501,2011
ashland,NA,4068969,220312,4289281,2011
ashtabula,NA,12724968,3772861,16497829,2011
athens,NA,6846428,562249,7408677,2011
auglaize,NA,1360093,113017,1473109,2011
belmont,NA,8159355,1355880,9515235,2011
brown,NA,3855502,695060,4550562,2011
butler,NA,40090252,3887314,43977566,2011
carroll,NA,1782067,169440,1951506,2011
champaign,NA,3869802,135096,4004898,2011
clark,NA,15569430,2611521,18180951,2011
clermont,NA,16037819,690414,16728232,2011
clinton,NA,5612503,208250,5820753,2011
columbiana,NA,11083625,2069919,13153544,2011
coshocton,NA,3468062,70805,3538867,2011
crawford,NA,2645708,92460,2738168,2011
cuyahoga,NA,489781752,62618878,552400630,2011
darke,NA,2163284,187089,2350373,2011
defiance,NA,1409638,149986,1559624,2011
delaware,NA,15041304,894759,15936063,2011
erie,NA,11220087,3309234,14529321,2011
fairfield,NA,17332777,1233479,18566256,2011
fayette,NA,3925283,180102,4105385,2011
franklin,NA,158698048,12909576,171607624,2011
fulton,NA,2676684,84300,2760985,2011
gallia,NA,2782426,126473,2908900,2011
geauga,NA,10593383,565280,11158664,2011
greene,NA,14015118,685810,14700929,2011
guernsey,NA,0,0,0,2011
hamilton,NA,115212931,11782721,126995652,2011
hancock,NA,3553996,467044,4021039,2011
hardin,NA,1547868,281268,1829137,2011
harrison,NA,3029429,176362,3205791,2011
henry,NA,2245029,104052,2349081,2011
highland,NA,3742953,566449,4309402,2011
hocking,NA,3582662,70364,3653027,2011
holmes,NA,1335829,57159,1392988,2011
huron,NA,3996669,188870,4185539,2011
jackson,NA,3716190,38103,3754293,2011
jefferson,NA,7529108,4764654,12293762,2011
knox,NA,3298761,468016,3766777,2011
lake,NA,31121511,3344432,34465944,2011
lawrence,NA,6283384,913481,7196865,2011
licking,NA,11056473,871435,11927907,2011
logan,NA,4910966,665307,5576272,2011
lorain,NA,22613689,1487360,24101049,2011
lucas,NA,78490908,12771385,91262292,2011
madison,NA,1940208,72781,2012989,2011
mahoning,NA,38909299,1083207,39992506,2011
marion,NA,6767094,1208696,7975790,2011
medina,NA,16400528,476444,16876972,2011
meigs,NA,5288036,383707,5671743,2011
mercer,NA,1692236,350792,2043027,2011
miami,NA,4858806,1066708,5925514,2011
monroe,NA,2667935,71724,2739659,2011
montgomery,NA,116388699,33286125,149674824,2011
morgan,NA,1499102,46644,1545746,2011
morrow,NA,5410152,352378,5762530,2011
muskingum,NA,17241230,2377856,19619085,2011
noble,NA,2608035,13699,2621734,2011
ottawa,NA,5463017,533931,5996948,2011
paulding,NA,1126442,138770,1265212,2011
perry,NA,9296361,164631,9460991,2011
pickaway,NA,7291086,150411,7441497,2011
pike,NA,3993127,58551,4051678,2011
portage,NA,17043823,1194301,18238125,2011
preble,NA,2926521,361072,3287593,2011
putnam,NA,872353,116942,989295,2011
richland,NA,17086919,2804803,19891721,2011
ross,NA,3915300,172992,4088292,2011
sandusky,NA,4901873,530430,5432303,2011
scioto,NA,9699141,1681681,11380821,2011
seneca,NA,2849839,370261,3220100,2011
shelby,NA,2104546,541075,2645621,2011
stark,NA,24956513,9481786,34438299,2011
summit,NA,85785242,20931687,106716929,2011
trumbull,NA,34152437,3498832,37651269,2011
tuscarawas,NA,5846037,409330,6255367,2011
union,NA,4039161,314459,4353621,2011
van wert,NA,740402,113857,854259,2011
vinton,NA,2155100,62823,2217923,2011
warren,NA,33831490,711694,34543184,2011
washington,NA,3003527,127137,3130664,2011
wayne,NA,7318540,395730,7714270,2011
williams,NA,2541693,121885,2663578,2011
wood,NA,8264893,2356022,10620915,2011
wyandot,NA,951816,32644,984460,2011
adams,NA,2672648,41511,2714159,2012
allen,NA,7227530,7201850,14429380,2012
ashland,NA,3943092,300023,4243114,2012
ashtabula,NA,14198653,3896125,18094778,2012
athens,NA,7138566,647350,7785916,2012
auglaize,NA,1437779,169468,1607247,2012
belmont,NA,7474763,1476129,8950892,2012
brown,NA,4261204,788183,5049386,2012
butler,NA,31722414,4014645,35737059,2012
carroll,NA,1788576,198114,1986691,2012
champaign,NA,3821010,159480,3980490,2012
clark,NA,15294630,3026121,18320751,2012
clermont,NA,11869963,620407,12490370,2012
clinton,NA,5019657,248151,5267809,2012
columbiana,NA,11128096,559148,11687245,2012
coshocton,NA,2868980,65564,2934544,2012
crawford,NA,3025264,103698,3128962,2012
cuyahoga,NA,484942857,71067617,556010474,2012
darke,NA,2075192,200064,2275257,2012
defiance,NA,1420244,150657,1570901,2012
delaware,NA,14814247,1452718,16266965,2012
erie,NA,10973634,3518590,14492223,2012
fairfield,NA,14861175,1101759,15962933,2012
fayette,NA,1782276,263307,2045583,2012
franklin,NA,140026716,13813808,153840523,2012
fulton,NA,2271925,81372,2353297,2012
gallia,NA,2663407,93463,2756870,2012
geauga,NA,9436317,589769,10026086,2012
greene,NA,12350113,643300,12993413,2012
guernsey,NA,6976472,837942,7814414,2012
hamilton,NA,99662449,12183394,111845844,2012
hancock,NA,3648506,306884,3955390,2012
hardin,NA,1544280,283543,1827823,2012
harrison,NA,3274798,172252,3447050,2012
henry,NA,2275093,96922,2372014,2012
highland,NA,3701568,620674,4322241,2012
hocking,NA,3292746,85652,3378398,2012
holmes,NA,1064568,44568,1109135,2012
huron,NA,4495177,203281,4698458,2012
jackson,NA,4021590,30595,4052184,2012
jefferson,NA,9099444,5109384,14208828,2012
knox,NA,3332376,330968,3663343,2012
lake,NA,27134729,3182549,30317278,2012
lawrence,NA,6531951,1001632,7533583,2012
licking,NA,10969183,918881,11888064,2012
logan,NA,4886053,658233,5544286,2012
lorain,NA,26710925,1946466,28657391,2012
lucas,NA,78397001,14905167,93302168,2012
madison,NA,2175710,78052,2253762,2012
mahoning,NA,39981033,1232017,41213050,2012
marion,NA,7371813,1319487,8691299,2012
medina,NA,14263088,437251,14700339,2012
meigs,NA,5335301,445904,5781205,2012
mercer,NA,1733420,308381,2041801,2012
miami,NA,5201650,1311731,6513380,2012
monroe,NA,878992,64914,943906,2012
montgomery,NA,115375284,38229946,153605230,2012
morgan,NA,1405534,52541,1458075,2012
morrow,NA,5148597,383447,5532043,2012
muskingum,NA,13800433,2323579,16124012,2012
noble,NA,1583767,19914,1603681,2012
ottawa,NA,6728481,613523,7342004,2012
paulding,NA,1222211,156296,1378507,2012
perry,NA,7412242,180727,7592969,2012
pickaway,NA,4865514,162806,5028320,2012
pike,NA,4187664,56155,4243819,2012
portage,NA,13619227,1111112,14730339,2012
preble,NA,2231351,422563,2653914,2012
putnam,NA,869511,138950,1008461,2012
richland,NA,16433326,3010187,19443513,2012
ross,NA,3495043,134804,3629847,2012
sandusky,NA,4768452,624884,5393336,2012
scioto,NA,10372368,1873059,12245427,2012
seneca,NA,3013752,444072,3457824,2012
shelby,NA,2161179,190831,2352010,2012
stark,NA,26899849,10238789,37138638,2012
summit,NA,84868904,25226462,110095366,2012
trumbull,NA,35689414,4168913,39858326,2012
tuscarawas,NA,5594800,536383,6131182,2012
union,NA,4196675,336108,4532783,2012
van wert,NA,737135,103659,840794,2012
vinton,NA,2395213,60606,2455819,2012
warren,NA,29577603,685972,30263575,2012
washington,NA,3213976,165831,3379807,2012
wayne,NA,6780005,424664,7204668,2012
williams,NA,2471988,131690,2603677,2012
wood,NA,7827484,3343890,11171374,2012
wyandot,NA,1001533,28968,1030501,2012
adams,NA,2822579,34515,2857095,2013
allen,NA,7914155,9335932,17250087,2013
ashland,NA,3636096,305524,3941620,2013
ashtabula,NA,13862823,4206769,18069592,2013
athens,NA,7249309,736650,7985958,2013
auglaize,NA,1314019,159945,1473964,2013
belmont,NA,6570859,1771289,8342148,2013
brown,NA,3727070,838350,4565420,2013
butler,NA,26136591,5816209,31952800,2013
carroll,NA,1776969,209441,1986410,2013
champaign,NA,3801698,181091,3982789,2013
clark,NA,15982683,3693249,19675932,2013
clermont,NA,9799425,508008,10307433,2013
clinton,NA,3985440,267969,4253409,2013
columbiana,NA,11531756,628814,12160569,2013
coshocton,NA,2742727,57656,2800383,2013
crawford,NA,2725788,96778,2822566,2013
cuyahoga,NA,544635703,76181019,620816722,2013
darke,NA,2076484,228439,2304923,2013
defiance,NA,1383991,179605,1563596,2013
delaware,NA,14088725,1178152,15266877,2013
erie,NA,9837742,3611172,13448914,2013
fairfield,NA,13428907,1164067,14592974,2013
fayette,NA,1887724,324462,2212186,2013
franklin,NA,120140324,19853755,139994079,2013
fulton,NA,2213018,100486,2313504,2013
gallia,NA,2839173,92497,2931670,2013
geauga,NA,9344962,638333,9983295,2013
greene,NA,11463105,679411,12142515,2013
guernsey,NA,7049863,944081,7993944,2013
hamilton,NA,82032095,11689857,93721952,2013
hancock,NA,4053921,265485,4319406,2013
hardin,NA,1608150,288171,1896321,2013
harrison,NA,2438250,178686,2616937,2013
henry,NA,2435939,78841,2514779,2013
highland,NA,4130809,688766,4819575,2013
hocking,NA,3854330,101783,3956113,2013
holmes,NA,1220748,45101,1265850,2013
huron,NA,4618130,215899,4834029,2013
jackson,NA,4092031,52403,4144435,2013
jefferson,NA,8741191,5179313,13920504,2013
knox,NA,2751351,269800,3021151,2013
lake,NA,27685831,3581545,31267376,2013
lawrence,NA,6568688,1061609,7630297,2013
licking,NA,8242577,803587,9046164,2013
logan,NA,5148641,590491,5739133,2013
lorain,NA,29346740,5284459,34631198,2013
lucas,NA,74334253,16785443,91119697,2013
madison,NA,2301442,84774,2386216,2013
mahoning,NA,36837483,1294069,38131552,2013
marion,NA,7660476,1558682,9219157,2013
medina,NA,12899097,399408,13298505,2013
meigs,NA,5505745,459598,5965342,2013
mercer,NA,1858095,320746,2178842,2013
miami,NA,5651821,1617648,7269469,2013
monroe,NA,844273,52550,896823,2013
montgomery,NA,119417874,49454097,168871971,2013
morgan,NA,1195496,61898,1257394,2013
morrow,NA,4898510,331901,5230410,2013
muskingum,NA,14015165,2559079,16574244,2013
noble,NA,1468480,17955,1486435,2013
ottawa,NA,6131592,556941,6688533,2013
paulding,NA,1186531,163369,1349900,2013
perry,NA,7030372,182143,7212514,2013
pickaway,NA,4694298,188119,4882416,2013
pike,NA,4310786,66325,4377111,2013
portage,NA,12872292,1096121,13968413,2013
preble,NA,2323855,489865,2813719,2013
putnam,NA,903766,276904,1180670,2013
richland,NA,15569600,3013626,18583226,2013
ross,NA,3665416,155029,3820445,2013
sandusky,NA,4958061,665004,5623065,2013
scioto,NA,10424255,1681607,12105862,2013
seneca,NA,3458308,409025,3867333,2013
shelby,NA,1792102,173310,1965412,2013
stark,NA,32553874,11468175,44022049,2013
summit,NA,73599808,33050784,106650592,2013
trumbull,NA,36253030,4691338,40944369,2013
tuscarawas,NA,5850244,629426,6479670,2013
union,NA,4051052,324227,4375279,2013
van wert,NA,740274,98359,838633,2013
vinton,NA,2625280,76593,2701873,2013
warren,NA,11885901,722884,12608785,2013
washington,NA,3102903,152597,3255500,2013
wayne,NA,6983771,543992,7527763,2013
williams,NA,2356174,135723,2491897,2013
wood,NA,7117428,4207200,11324628,2013
wyandot,NA,963891,52466,1016357,2013
adams,NA,2778886,44312,2823198,2014
allen,NA,8320138,10416415,18736554,2014
ashland,NA,3751035,312190,4063225,2014
ashtabula,NA,13633423,4394691,18028114,2014
athens,NA,7858836,766886,8625722,2014
auglaize,NA,1110418,121078,1231495,2014
belmont,NA,6237725,1901351,8139075,2014
brown,NA,3921553,800509,4722062,2014
butler,NA,25411592,3582031,28993623,2014
carroll,NA,1734862,228103,1962966,2014
champaign,NA,4008699,194472,4203171,2014
clark,NA,16227418,4196810,20424228,2014
clermont,NA,8595782,394838,8990620,2014
clinton,NA,3776526,288769,4065295,2014
columbiana,NA,11252517,579476,11831993,2014
coshocton,NA,2360887,52398,2413285,2014
crawford,NA,3049663,161179,3210842,2014
cuyahoga,NA,578244065,91441007,669685072,2014
darke,NA,1946225,193196,2139421,2014
defiance,NA,1290023,159878,1449901,2014
delaware,NA,12846637,752334,13598970,2014
erie,NA,8564069,2026702,10590771,2014
fairfield,NA,11907579,930477,12838056,2014
fayette,NA,1756190,434604,2190794,2014
franklin,NA,121799619,8957826,130757444,2014
fulton,NA,2316468,98092,2414560,2014
gallia,NA,2818707,89163,2907870,2014
geauga,NA,9622016,704166,10326181,2014
greene,NA,9710932,633749,10344681,2014
guernsey,NA,7246521,1006840,8253361,2014
hamilton,NA,80759023,11029713,91788737,2014
hancock,NA,3503609,250236,3753845,2014
hardin,NA,1707072,316668,2023741,2014
harrison,NA,2236598,196764,2433361,2014
henry,NA,2464961,79994,2544955,2014
highland,NA,4370238,850951,5221189,2014
hocking,NA,2644899,96545,2741443,2014
holmes,NA,1191963,23407,1215370,2014
huron,NA,3875448,196567,4072015,2014
jackson,NA,3796920,50741,3847662,2014
jefferson,NA,7612550,3063717,10676267,2014
knox,NA,2502620,206651,2709271,2014
lake,NA,30469774,3901505,34371279,2014
lawrence,NA,6182198,1196559,7378757,2014
licking,NA,8042216,1190003,9232219,2014
logan,NA,4781413,617924,5399337,2014
lorain,NA,31683001,7251741,38934742,2014
lucas,NA,73972049,18746418,92718468,2014
madison,NA,2489780,99139,2588920,2014
mahoning,NA,35769448,1593090,37362537,2014
marion,NA,7421071,1721781,9142853,2014
medina,NA,10997568,323964,11321533,2014
meigs,NA,5873717,464767,6338484,2014
mercer,NA,2034668,213268,2247936,2014
miami,NA,5412577,1970127,7382704,2014
monroe,NA,970601,74010,1044611,2014
montgomery,NA,135923003,51868858,187791861,2014
morgan,NA,1227150,81023,1308173,2014
morrow,NA,4631296,314330,4945627,2014
muskingum,NA,16252294,2707701,18959995,2014
noble,NA,1528363,21918,1550281,2014
ottawa,NA,4550617,415383,4966e3,2014
paulding,NA,1248063,179501,1427564,2014
perry,NA,6321361,172092,6493453,2014
pickaway,NA,3714828,202416,3917244,2014
pike,NA,4078302,20049,4098351,2014
