county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
morgan,670,508926,3197,512793,2001
morrow,614126,2290312,119006,3023443,2001
muskingum,2368884,5669046,877606,8915536,2001
noble,26216,1072755,14189,1113159,2001
ottawa,172872,2165063,317073,2655009,2001
paulding,115206,629255,65571,810032,2001
perry,867879,2987298,399741,4254918,2001
pickaway,394916,3109316,177317,3681549,2001
pike,142340,2240048,196,2382584,2001
portage,1382615,6779342,461992,8623949,2001
preble,230557,1494033,62817,1787407,2001
putnam,195442,429431,20622,645495,2001
richland,3471272,10439710,2020295,15931277,2001
ross,796023,1472701,60494,2329217,2001
sandusky,515260,1831981,105223,2452464,2001
scioto,911403,2781171,562431,4255005,2001
seneca,366965,1518742,102377,1988084,2001
shelby,1147593,827205,57865,2032663,2001
stark,5658158,18542356,5180600,29381114,2001
summit,22656012,27521916,4677666,54855594,2001
trumbull,11343337,13440868,1228217,26012422,2001
tuscarawas,2071903,2862473,113809,5048185,2001
union,1085411,1457736,29093,2572240,2001
van wert,538853,624843,43615,1207311,2001
vinton,18310,603379,9057,630746,2001
warren,2671237,5938759,392708,9002704,2001
washington,1575668,1930489,15598,3521755,2001
wayne,795820,3914924,1047593,5758337,2001
williams,137971,1113013,79069,1330053,2001
wood,2721922,3441366,515710,6678998,2001
wyandot,76019,401507,6197,483723,2001
adams,302146,3111744,3446,3417336,2002
allen,2992794,4095227,1856828,8944849,2002
ashland,1095779,1590080,2416,2688275,2002
ashtabula,1978992,5102559,1570389,8651940,2002
athens,126205,2760949,125761,3012915,2002
auglaize,313144,907049,58249,1278442,2002
belmont,568081,4204610,543087,5315778,2002
brown,330494,1798975,269612,2399081,2002
butler,7065483,13121433,674556,20861472,2002
carroll,355548,944960,80661,1381169,2002
champaign,169219,1994403,100828,2264450,2002
clark,2524519,7158713,1397129,11080361,2002
clermont,2437215,9115394,153141,11705750,2002
clinton,430207,1828589,56270,2315066,2002
columbiana,2471667,4762976,248416,7483059,2002
coshocton,281832,1534770,27861,1844463,2002
crawford,832846,1273850,22920,2129616,2002
cuyahoga,68508420,170245676,9855887,248609983,2002
darke,685365,1046580,18349,1750294,2002
defiance,712644,771701,86759,1571104,2002
delaware,2620452,8233075,744953,11598480,2002
erie,1630673,5265476,736935,7633084,2002
fairfield,499429,5157010,390900,6047339,2002
fayette,1064439,1018625,44361,2127425,2002
franklin,72070518,58894376,1551017,132515911,2002
fulton,362232,1175050,20688,1557970,2002
gallia,294726,1091865,36923,1423514,2002
geauga,1777660,5227405,416895,7421960,2002
greene,3048197,5512273,382474,8942944,2002
guernsey,744496,3087249,177303,4009048,2002
hamilton,33935189,55436777,2198392,91570358,2002
hancock,1728440,1990060,115268,3833768,2002
hardin,112283,1044186,96265,1252734,2002
harrison,140277,1170930,26421,1337628,2002
henry,1078149,706176,96033,1880358,2002
highland,103885,1722799,184357,2011041,2002
hocking,337973,1621559,26403,1985935,2002
holmes,141569,1189153,14496,1345218,2002
